OBJECTID,Latitude,Longitude,StopID,Stop_name,Direction,WkdyService,SatService,SunService,Mode,Routes_ser,Community_Name,Community_Type,Full_Label
1,40.427446,-79.918799,E54470,TILBURY AVE OPP ALDERSON ST,Both,Yes,Yes,Yes,Bus,"65, 74",SQUIRREL HILL SOUTH,HOOD,Squirrel Hill South Neighborhood
2,40.443237,-79.89235,E54550,TRENTON AVE AT FRANKLIN AVE,Inbound,Yes,Yes,Yes,Bus,71C,WILKINSBURG,BOROUGH,Wilkinsburg Borough
3,40.445738,-79.891336,E54580,TRENTON AVE AT PENN AVE,Inbound,Yes,Yes,Yes,Bus,71C,WILKINSBURG,BOROUGH,Wilkinsburg Borough
4,40.445716,-79.89155,E54585,TRENTON AVE AT PENN AVE FS,Outbound,Yes,Yes,Yes,Bus,71C,WILKINSBURG,BOROUGH,Wilkinsburg Borough
5,40.441895,-79.892333,E54590,TRENTON AVE OPP REBECCA AVE NS,Inbound,Yes,No,No,Bus,71C,WILKINSBURG,BOROUGH,Wilkinsburg Borough
6,40.444056,-79.892056,E54600,TRENTON AVE AT SOUTH AVE,Inbound,Yes,No,No,Bus,71C,WILKINSBURG,BOROUGH,Wilkinsburg Borough
7,40.444325,-79.892127,E54610,TRENTON AVE AT SOUTH AVE,Outbound,Yes,No,No,Bus,71C,WILKINSBURG,BOROUGH,Wilkinsburg Borough
8,40.478163,-79.760811,E54855,UNITY TRESTLE RD AT #1049,Both,Yes,No,No,Bus,"77, P16",PLUM,BOROUGH,Plum Borough
9,40.484592,-79.767427,E54860,UNITY TRESTLE RD AT COLLEGE AVE,Both,Yes,No,No,Bus,"77, P16",PLUM,BOROUGH,Plum Borough
10,40.485513,-79.769154,E54870,UNITY TRESTLE RD AT JACKSON RD,Both,Yes,No,No,Bus,"77, P16",PLUM,BOROUGH,Plum Borough
11,40.491634,-79.784971,E54880,UNITY TRESTLE RD AT LEECHBURG RD,Both,Yes,No,No,Bus,"77, P16",PLUM,BOROUGH,Plum Borough
12,40.48981,-79.779929,E54900,UNITY TRESTLE RD AT EAST ALLEY NS,Both,Yes,No,No,Bus,"77, P16",PLUM,BOROUGH,Plum Borough
13,40.480989,-79.76419,E54940,UNITY TRESTLE RD AT #901,Both,Yes,No,No,Bus,"77, P16",PLUM,BOROUGH,Plum Borough
14,40.486434,-79.771591,E55000,UNITY TRESTLE RD OPP ASHLAND DR FS,Both,Yes,No,No,Bus,"77, P16",PLUM,BOROUGH,Plum Borough
15,40.490458,-79.783085,E55010,UNITY TRESTLE RD OPP UNIVERSAL RD,Both,Yes,No,No,Bus,"77, P16",PLUM,BOROUGH,Plum Borough
