Route,PV
56,6
77,6
12,4
4,3
13,5
14,7
26,4
BLLB,15
RED,22
22,3
21,4
P17,2
Y47,4
51,17
2,6
65,3
83,4
O5,2
38,13
64,5
8,11
7,1
20,4
53L,9
P10,8
P13,3
61C,11
Y1,8
91,12
DQI,2
P1,21
MI,2
11,3
P2,7
41,7
58,4
74,3
36,3
44,4
P71,6
48,5
69,9
93,5
57,4
P68,6
P69,4
71B,8
71D,8
55,4
16,7
BLSV,17
P7,5
61D,12
P67,5
81,3
Y46,7
P3,9
G31,7
6,4
27,4
61A,11
O12,9
P76,13
86,5
G3,8
P12,11
87,10
G2,10
39,11
51L,6
89,1
71,1
15,4
Y45,3
29,5
82,5
P78,7
71C,9
60,1
17,4
24,5
28X,6
61B,9
1,6
88,5
43,2
71A,8
P16,9
52L,5
75,10
59,5
19L,4
Y49,5
67,10
31,7
O1,3
54,8
18,1
79,4
40,4
