Trip,Beginning,End,Direction
11022-1579400,5:39 AM,6:58 AM,Inbound
11023-1579403,6:14 AM,7:33 AM,Inbound
11024-1579397,6:44 AM,8:03 AM,Inbound
11025-1579262,7:13 AM,8:33 AM,Inbound
11026-1579400,7:48 AM,9:08 AM,Inbound
11028-1579404,8:18 AM,9:38 AM,Inbound
11029-1579262,9:30 AM,10:46 AM,Inbound
11030-1579404,10:30 AM,11:46 AM,Inbound
11031-1579542,11:30 AM,12:46 PM,Inbound
11032-1579267,12:30 PM,1:47 PM,Inbound
11033-1579405,1:30 PM,2:47 PM,Inbound
11034-1579291,2:22 PM,3:44 PM,Inbound
11035-1579407,2:46 PM,4:08 PM,Inbound
11036-1579405,3:46 PM,5:08 PM,Inbound
11037-1579264,4:51 PM,6:13 PM,Inbound
11039-1579310,5:44 PM,6:58 PM,Inbound
11041-1579704,6:44 PM,7:58 PM,Inbound
11043-1579310,7:54 PM,9:08 PM,Inbound
11044-1579704,8:59 PM,10:13 PM,Inbound
11045-1579310,10:09 PM,11:23 PM,Inbound
8012-1579400,6:38 AM,7:38 AM,Outbound
8020-1579404,6:58 AM,7:58 AM,Outbound
8029-1579403,7:13 AM,8:13 AM,Outbound
8063-1579262,8:13 AM,9:13 AM,Outbound
8092-1579404,9:18 AM,10:18 AM,Outbound
8104-1579542,10:19 AM,11:20 AM,Outbound
8113-1579267,11:19 AM,12:20 PM,Outbound
8122-1579405,12:19 PM,1:20 PM,Outbound
8131-1579407,1:19 PM,2:20 PM,Outbound
8141-1579405,2:27 PM,3:28 PM,Outbound
8151-1579264,3:18 PM,4:24 PM,Outbound
8161-1579407,3:48 PM,4:54 PM,Outbound
8172-1579310,4:18 PM,5:25 PM,Outbound
8185-1579405,4:48 PM,5:55 PM,Outbound
8200-1579704,5:18 PM,6:25 PM,Outbound
8214-1579264,5:53 PM,7:00 PM,Outbound
8226-1579310,6:38 PM,7:40 PM,Outbound
8236-1579704,7:38 PM,8:40 PM,Outbound
8244-1579310,8:48 PM,9:50 PM,Outbound
8251-1579704,9:53 PM,10:55 PM,Outbound
9910-1579404,6:56 AM,7:18 AM,Inbound
9911-1579542,10:17 AM,10:39 AM,Inbound
9912-1579267,11:17 AM,11:39 AM,Inbound
9913-1579405,12:17 PM,12:39 PM,Inbound
9914-1579407,1:17 PM,1:39 PM,Inbound
9918-1579264,3:15 PM,3:38 PM,Inbound
9937-1579310,4:15 PM,4:38 PM,Inbound
9963-1579704,5:15 PM,5:38 PM,Inbound
