service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2003-Collier-Weekday-35,1,1,1,1,1,0,0,20200315,20200620
2003-Collier-Saturday-75,0,0,0,0,0,1,0,20200315,20200620
2003-Collier-Sunday-17,0,0,0,0,0,0,1,20200315,20200620
2003-Liberty-Weekday-35,1,1,1,1,1,0,0,20200315,20200620
2003-Liberty-Saturday-77,0,0,0,0,0,1,0,20200315,20200620
2003-Liberty-Sunday-15,0,0,0,0,0,0,1,20200315,20200620
2003-Mifflin-Weekday-36,1,1,1,1,1,0,0,20200315,20200620
2003-Mifflin-Saturday-76,0,0,0,0,0,1,0,20200315,20200620
2003-Mifflin-Sunday-15,0,0,0,0,0,0,1,20200315,20200620
2003-Ross-Weekday-35,1,1,1,1,1,0,0,20200315,20200620
2003-Ross-Saturday-75,0,0,0,0,0,1,0,20200315,20200620
2003-Ross-Sunday-17,0,0,0,0,0,0,1,20200315,20200620
2003-Village-Weekday-40,1,1,1,1,1,0,0,20200315,20200620
2003-Village-Saturday-75,0,0,0,0,0,1,0,20200315,20200620
2003-Village-Sunday-15,0,0,0,0,0,0,1,20200315,20200620
W,1,1,1,1,1,0,0,20200315,20200620
S,0,0,0,0,0,1,0,20200315,20200620
U,0,0,0,0,0,0,1,20200315,20200620
