route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
021-183,2003-Collier-Weekday-35,3989-1601542,Outbound-(OS)-CORAOPOLIS-SEWICKLEY TO SEWICKLEY,0,021 -027,0210098
021-183,2003-Collier-Weekday-35,3992-1601758,Outbound-(OU)-CORAOPOLIS-MOON TO UNIVERSITY BLVD PARK-AND-RIDE,0,021 -028,0210099
021-183,2003-Collier-Weekday-35,3994-1601626,Outbound-(OS)-CORAOPOLIS-SEWICKLEY TO SEWICKLEY,0,021 -029,0210098
021-183,2003-Collier-Weekday-35,3996-1601759,Outbound-(OU)-CORAOPOLIS-MOON TO UNIVERSITY BLVD PARK-AND-RIDE,0,021 -030,0210099
024-183,2003-Collier-Weekday-35,3285-1601428,Inbound-(I)-WEST PARK TO DOWNTOWN,1,024 -043,0240222
024-183,2003-Collier-Weekday-35,3286-1601429,Inbound-(I)-WEST PARK TO DOWNTOWN,1,024 -044,0240222
024-183,2003-Collier-Weekday-35,3287-1601430,Inbound-(I)-WEST PARK TO DOWNTOWN,1,024 -045,0240222
024-183,2003-Collier-Weekday-35,3288-1601443,Inbound-(IB)-WEST PARK-PICKFORD TO DOWNTOWN,1,024 -046,0240221
024-183,2003-Collier-Weekday-35,3289-1601428,Inbound-(I)-WEST PARK TO DOWNTOWN,1,024 -043,0240222
024-183,2003-Collier-Weekday-35,3290-1601429,Inbound-(IB)-WEST PARK-PICKFORD TO DOWNTOWN,1,024 -044,0240221
024-183,2003-Collier-Weekday-35,3291-1601430,Inbound-(I)-WEST PARK TO DOWNTOWN,1,024 -045,0240222
024-183,2003-Collier-Weekday-35,3292-1601443,Inbound-(IB)-WEST PARK-PICKFORD TO DOWNTOWN,1,024 -046,0240221
024-183,2003-Collier-Weekday-35,3294-1601638,Inbound-(I)-WEST PARK TO DOWNTOWN,1,024 -047,0240222
024-183,2003-Collier-Weekday-35,2978-1601621,Inbound-(IA)-WEST PARK TO DOWNTOWN,1,024 -051,0240223
024-183,2003-Collier-Weekday-35,3306-1601644,Inbound-(I)-WEST PARK TO DOWNTOWN,1,024 -055,0240222
024-183,2003-Collier-Weekday-35,2984-1601445,Inbound-(IA)-WEST PARK TO DOWNTOWN,1,G2  -303,0240223
