Dist_No,Dist_Name,Route,APC_ON_SUM,APC_OFF_SUM,STOP_CNT
20,Wilkinsburg Wilkins Braddock and vicinity,71C,344,337,19
18,Plum Borough,P16,24,21,29
18,Plum Borough,77,27,24,35
17,Verona Oakmont Penn Hills,P16,287,285,98
42,Homewood/Lincoln-Lemington,74,443,470,102
42,Homewood/Lincoln-Lemington,P17,71,85,29
17,Verona Oakmont Penn Hills,P17,87,5,31
17,Verona Oakmont Penn Hills,79,233,276,48
42,Homewood/Lincoln-Lemington,79,306,258,26
17,Verona Oakmont Penn Hills,P78,288,287,70
8,Oakland,81,595,650,51
20,Wilkinsburg Wilkins Braddock and vicinity,67,481,545,61
20,Wilkinsburg Wilkins Braddock and vicinity,79,473,472,40
20,Wilkinsburg Wilkins Braddock and vicinity,P78,356,301,49
20,Wilkinsburg Wilkins Braddock and vicinity,69,281,325,51
20,Wilkinsburg Wilkins Braddock and vicinity,P67,112,93,65
20,Wilkinsburg Wilkins Braddock and vicinity,P12,13,32,45
13,East Liberty,71B,394,555,12
20,Wilkinsburg Wilkins Braddock and vicinity,61A,1354,1440,118
10,Shadyside,71B,1035,869,21
7,Squirrel Hill,67,152,204,23
7,Squirrel Hill,69,95,162,23
7,Squirrel Hill,74,186,187,37
41,Highland Park,71B,427,326,18
13,East Liberty,75,409,394,23
15,Pittsburgh East (remainder),89,166,203,30
42,Homewood/Lincoln-Lemington,67,209,130,24
42,Homewood/Lincoln-Lemington,69,116,83,24
6,Hazelwood,58,217,211,29
7,Squirrel Hill,58,259,224,27
19,Monroeville Pitcairn Turtle Creek,67,374,384,49
19,Monroeville Pitcairn Turtle Creek,P12,344,345,31
20,Wilkinsburg Wilkins Braddock and vicinity,P16,121,152,20
19,Monroeville Pitcairn Turtle Creek,P67,141,180,7
20,Wilkinsburg Wilkins Braddock and vicinity,86,282,299,16
20,Wilkinsburg Wilkins Braddock and vicinity,71D,298,239,15
20,Wilkinsburg Wilkins Braddock and vicinity,71,78,77,86
20,Wilkinsburg Wilkins Braddock and vicinity,P71,247,189,83
20,Wilkinsburg Wilkins Braddock and vicinity,59,529,520,85
20,Wilkinsburg Wilkins Braddock and vicinity,61B,852,784,63
15,Pittsburgh East (remainder),91,1146,1238,60
14,Strip District,54,134,133,12
15,Pittsburgh East (remainder),77,233,286,30
13,East Liberty,71A,172,529,13
13,East Liberty,71C,466,535,17
21,Wilmerding Wall North Versailles,59,213,237,20
21,Wilmerding Wall North Versailles,P68,128,97,20
8,Oakland,82,290,362,14
42,Homewood/Lincoln-Lemington,71D,327,507,35
42,Homewood/Lincoln-Lemington,86,450,487,35
12,Downtown,82,952,937,14
12,Downtown,81,525,452,16
12,Downtown,83,825,696,14
17,Verona Oakmont Penn Hills,77,644,630,116
15,Pittsburgh East (remainder),87,1138,1136,119
15,Pittsburgh East (remainder),86,565,741,45
15,Pittsburgh East (remainder),54,856,864,77
42,Homewood/Lincoln-Lemington,77,320,363,36
6,Hazelwood,57,468,451,50
6,Hazelwood,93,294,270,46
19,Monroeville Pitcairn Turtle Creek,69,208,217,39
19,Monroeville Pitcairn Turtle Creek,P68,262,257,53
8,Oakland,83,562,566,38
42,Homewood/Lincoln-Lemington,71C,241,266,19
15,Pittsburgh East (remainder),88,1097,1417,47
20,Wilkinsburg Wilkins Braddock and vicinity,P69,52,53,48
13,East Liberty,77,302,356,29
13,East Liberty,82,689,601,34
13,East Liberty,74,181,199,29
13,East Liberty,86,415,478,31
13,East Liberty,89,147,145,29
20,Wilkinsburg Wilkins Braddock and vicinity,P7,143,152,47
20,Wilkinsburg Wilkins Braddock and vicinity,68,54,57,74
10,Shadyside,75,757,760,30
13,East Liberty,P10,54,32,12
13,East Liberty,P17,43,60,24
42,Homewood/Lincoln-Lemington,P10,3,4,4
15,Pittsburgh East (remainder),64,435,467,32
15,Pittsburgh East (remainder),93,508,515,42
21,Wilmerding Wall North Versailles,69,111,118,28
21,Wilmerding Wall North Versailles,P69,18,14,20
10,Shadyside,82,390,476,13
10,Shadyside,86,279,217,8
13,East Liberty,88,482,334,17
41,Highland Park,75,248,303,32
41,Highland Park,87,105,142,37
15,Pittsburgh East (remainder),83,616,809,39
7,Squirrel Hill,P71,16,16,3
7,Squirrel Hill,71,3,2,3
17,Verona Oakmont Penn Hills,74,4,9,1
40,Midtown/Uptown,81,252,293,16
40,Midtown/Uptown,83,265,227,13
7,Squirrel Hill,71D,57,758,8
7,Squirrel Hill,71B,61,415,6
7,Squirrel Hill,28X,0,37,8
8,Oakland,58,320,340,43
6,Squirrel Hill,58,8,11,2
21,Wilmerding Wall North Versailles,55,182,177,25
21,Wilmerding Wall North Versailles,P76,212,212,43
10,Shadyside,71C,465,954,14
10,Shadyside,88,93,203,6
10,Shadyside,77,163,108,5
10,Shadyside,74,147,59,4
10,Shadyside,89,73,29,4
40,Midtown/Uptown,82,295,318,10
19,Monroeville Pitcairn Turtle Creek,68,42,26,53
10,Shadyside,71D,932,337,13
10,Shadyside,28X,47,6,11
42,Homewood/Lincoln-Lemington,28X,0,9,3
5,Allegheny County North (remainder),P78,39,46,13
5,Allegheny County North (remainder),P16,5,2,12
15,Pittsburgh East (remainder),81,118,142,8
8,Oakland,71C,1959,2061,36
8,Oakland,71A,2084,2237,36
8,Oakland,54,1440,1457,34
8,Oakland,93,862,899,38
19,Monroeville Pitcairn Turtle Creek,P69,50,39,38
39,Westmoreland County,69,40,37,16
39,Westmoreland County,P69,19,13,16
42,Homewood/Lincoln-Lemington,82,428,397,28
7,Squirrel Hill,53L,112,110,18
7,Squirrel Hill,52L,34,44,18
7,Squirrel Hill,93,352,329,38
19,Monroeville Pitcairn Turtle Creek,59,87,77,9
13,East Liberty,28X,53,78,3
7,Squirrel Hill,65,166,138,31
21,Wilmerding Wall North Versailles,68,7,20,20
20,Wilkinsburg Wilkins Braddock and vicinity,P1,2718,2889,7
20,Wilkinsburg Wilkins Braddock and vicinity,P3,914,858,7
20,Wilkinsburg Wilkins Braddock and vicinity,P68,457,488,73
20,Wilkinsburg Wilkins Braddock and vicinity,P2,265,42,5
20,Wilkinsburg Wilkins Braddock and vicinity,P76,219,199,28
10,Shadyside,P78,86,73,4
10,Shadyside,P10,32,36,4
10,Shadyside,P7,37,43,4
10,Shadyside,P16,50,39,4
10,Shadyside,P76,55,27,4
10,Shadyside,P12,41,30,4
10,Shadyside,P67,51,25,6
10,Shadyside,P69,40,24,6
42,Homewood/Lincoln-Lemington,P78,7,10,2
42,Homewood/Lincoln-Lemington,P7,5,8,2
42,Homewood/Lincoln-Lemington,P16,2,3,2
42,Homewood/Lincoln-Lemington,P76,3,2,2
42,Homewood/Lincoln-Lemington,P12,1,2,2
42,Homewood/Lincoln-Lemington,P1,432,442,2
42,Homewood/Lincoln-Lemington,P2,91,25,2
42,Homewood/Lincoln-Lemington,P3,88,84,2
42,Homewood/Lincoln-Lemington,P68,27,16,2
42,Homewood/Lincoln-Lemington,P71,7,17,4
42,Homewood/Lincoln-Lemington,P67,7,1,3
42,Homewood/Lincoln-Lemington,P69,4,2,3
15,Pittsburgh East (remainder),P7,6,6,2
15,Pittsburgh East (remainder),P68,9,8,2
15,Pittsburgh East (remainder),P78,5,8,2
15,Pittsburgh East (remainder),P76,5,5,2
15,Pittsburgh East (remainder),P71,6,5,2
15,Pittsburgh East (remainder),P12,2,3,2
15,Pittsburgh East (remainder),P16,2,2,2
15,Pittsburgh East (remainder),P67,3,3,3
10,Shadyside,P1,1795,2212,4
10,Shadyside,P3,508,664,6
10,Shadyside,P2,498,127,4
10,Shadyside,P68,133,88,4
10,Shadyside,P17,57,20,4
10,Shadyside,P71,60,21,4
15,Pittsburgh East (remainder),P1,124,144,2
15,Pittsburgh East (remainder),P2,31,10,2
15,Pittsburgh East (remainder),P17,3,2,2
15,Pittsburgh East (remainder),P69,2,4,3
13,East Liberty,P1,53,53,2
13,East Liberty,P78,13,19,2
13,East Liberty,P2,3,2,2
13,East Liberty,P68,4,6,2
13,East Liberty,P12,2,1,2
13,East Liberty,P3,2,2,2
13,East Liberty,P76,1,1,2
15,Pittsburgh East (remainder),P10,1,2,2
41,Highland Park,71A,495,364,18
18,Plum Borough,P12,226,229,15
8,Oakland,61D,2079,1927,31
8,Oakland,61C,1679,1708,31
8,Oakland,61A,1482,1406,31
8,Oakland,61B,1464,1469,31
8,Oakland,67,589,554,31
8,Oakland,69,406,358,31
8,Oakland,28X,288,457,25
7,Squirrel Hill,61B,808,894,24
7,Squirrel Hill,61A,798,890,19
7,Squirrel Hill,61D,1817,1757,38
7,Squirrel Hill,61C,1440,1297,38
40,Midtown/Uptown,61C,212,170,15
40,Midtown/Uptown,71A,229,198,16
40,Midtown/Uptown,71C,227,189,16
40,Midtown/Uptown,71D,212,177,16
40,Midtown/Uptown,71B,201,176,16
40,Midtown/Uptown,61D,169,144,15
40,Midtown/Uptown,61A,170,145,15
40,Midtown/Uptown,61B,157,144,15
42,Homewood/Lincoln-Lemington,61A,130,10,5
42,Homewood/Lincoln-Lemington,61B,89,8,2
7,Squirrel Hill,64,726,643,46
6,Hazelwood,56,211,217,29
19,Monroeville Pitcairn Turtle Creek,77,69,73,19
22,McKeesport White Oak,P76,87,72,16
7,Squirrel Hill,57,10,27,4
14,Strip District,87,142,172,13
14,Strip District,91,173,303,13
14,Strip District,88,140,221,13
14,Strip District,86,126,168,13
15,Pittsburgh East (remainder),71A,1099,274,15
15,Pittsburgh East (remainder),71C,894,281,11
13,East Liberty,87,308,239,14
10,Shadyside,64,416,367,15
5,Allegheny County North (remainder),2,500,461,179
5,Allegheny County North (remainder),P13,167,164,118
43,Pittsburgh Southwest (remainder),51,2358,2451,43
8,Oakland,71B,1831,1551,34
8,Oakland,71D,1625,1418,34
8,Oakland,75,1032,1033,27
39,Westmoreland County,1,256,261,3
5,Allegheny County North (remainder),1,745,787,180
