id,timestamp,question,fid,text
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,3 - Area of interest,1,McKeesport and the Mon Valley
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,4 - Communities of interest,100,Duquesne
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,4 - Communities of interest,90,Homestead Borough
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,4 - Communities of interest,95,Munhall Borough
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,4 - Communities of interest,92,West Homestead Borough
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,5 - Destinations,19551,RIDC Riverplace / City Center of Duquesne
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,5 - Destinations,19309,The Waterfront
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,6 - Corridor preference,1000,Mon Valley via Homestead (61C Corridor)
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,10 - Routing Type Preference,,2
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,11 - Current Transit Frequency,,"Rarely, maybe a couple times a year"
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,11 - Current Transit Usage,,Social
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,12 - Other Transport Used,,Carpool
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,12 - Other Transport Used,,Private car
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,12 - Why Other Transport Used,,Too slow
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,13 - Age,,25-34 years old
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,13 - Employment status,,Full-time employment
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,13 - Where From,,West Mifflin Borough
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,14 - Gender,,Woman
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,14 - Race,,White
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,15 - Comments,,
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,3 - Area of interest,2,Monroeville and Eastern Suburbs
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,4 - Communities of interest,30,East Pittsburgh Borough
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,4 - Communities of interest,150,Monroeville
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,4 - Communities of interest,135,Swissvale Borough
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,5 - Destinations,17002,Woodland Hills Intermediate Sch
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,5 - Destinations,poi.3109556353238,"Monroeville Mall, 200 Monroeville Mall, Monroeville, Pennsylvania 15146, United States"
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,6 - Corridor preference,1060,Monroeville via Braddock & Turtle Creek
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,7 - Pittsburgh areas,10135,Downtown (Pittsburgh)
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,9 - PAAC Routes Used,15,P1 - East Busway - All Stops
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,10 - Routing Type Preference,,2
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,11 - Current Transit Frequency,,Never
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,11 - Current Transit Usage,,Commuting/Work
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,11 - Current Transit Usage,,School
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,11 - Current Transit Usage,,Social
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,12 - Other Transport Used,,Private car
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,12 - Why Other Transport Used,,Other
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,13 - Age,,12-17 years old
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,13 - Employment status,,Student
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,13 - Where From,,East Pittsburgh Borough
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,14 - Gender,,Woman
01846a81-b601-46a5-aa51-3b1f94c78f95,2019-08-17T16:33:35,14 - Race,,Black or African American
