id,timestamp,3 - Area of interest,4 - Communities of interest,5 - Destinations,6 - Corridor preference,7 - Pittsburgh areas,8 - Allegheny County areas,9 - PAAC Routes Used,10 - Routing Type Preference,11 - Current Transit Frequency,11 - Current Transit Usage,12 - Other Transport Used,12 - Why Other Transport Used,13 - Age,13 - Employment status,13 - Where From,14 - Gender,14 - Race,15 - Comments
426926b2-be9a-4d8e-8aa6-423714dee82f,2019-08-03T18:35:41,"[{'fid': '1', 'text': 'McKeesport and the Mon Valley'}, {'fid': '2', 'text': 'Monroeville and Eastern Suburbs'}]","[{'fid': '110', 'text': 'McKeesport'}, {'fid': '150', 'text': 'Monroeville'}]","[{'fid': '19158', 'text': 'Aldi Store #97'}, {'fid': 'poi.2508260972204', 'text': 'Centers for Rehab Services Forest Hills, 2020 Ardmore Blvd, Pittsburgh, Pennsylvania 15221, United States'}, {'fid': 'poi.1760936660819', 'text': ""Shop 'n Save, 3335 William Penn Hwy, Pittsburgh, Pennsylvania 15235, United States""}]","[{'fid': '1020', 'text': 'Mon Valley via Westinghouse Bridge'}]","[{'fid': '10130', 'text': 'Oakland (Pittsburgh)'}]",[],"[{'fid': '15', 'text': 'P1 - East Busway - All Stops'}]",['2'],"['Rarely, maybe a couple times a year']","['Commuting/Work', 'Errands', 'Medical']",['Private car'],"[""Transit isn't reliable to get me where I'm going on time""]",['65-74 years old'],['Full-time employment'],['Regent Square (Pittsburgh)'],['Man'],['Black or African American'],['']
250af43d-f6db-41fe-a55b-2c99398d308b,2019-09-21T15:57:02,"[{'fid': '1', 'text': 'McKeesport and the Mon Valley'}, {'fid': '2', 'text': 'Monroeville and Eastern Suburbs'}]","[{'fid': '10', 'text': 'Braddock Borough'}, {'fid': '25', 'text': 'Braddock Hills Borough'}, {'fid': '100', 'text': 'Duquesne'}, {'fid': '125', 'text': 'Edgewood Borough'}, {'fid': '90', 'text': 'Homestead Borough'}, {'fid': '110', 'text': 'McKeesport'}, {'fid': '150', 'text': 'Monroeville'}, {'fid': '95', 'text': 'Munhall Borough'}, {'fid': '155', 'text': 'Pitcairn Borough'}, {'fid': '5', 'text': 'Rankin Borough'}, {'fid': '135', 'text': 'Swissvale Borough'}, {'fid': '145', 'text': 'Wilkins Township'}, {'fid': '120', 'text': 'Wilkinsburg Borough'}, {'fid': '60', 'text': 'Wilmerding Borough'}]","[{'fid': '16965', 'text': 'Barrett El Sch'}, {'fid': '19353', 'text': 'Beulah Church'}, {'fid': '19593', 'text': 'Homestead Apartments A '}, {'fid': '19597', 'text': 'John Fraser Hall '}, {'fid': 'poi.2800318753940', 'text': 'Greater Pittsburgh Community Food Bank, 1 N Linden St, Duquesne, Pennsylvania 15110, United States'}]","[{'fid': '1040', 'text': 'Monroeville via 376 (P67 Corridor)'}]","[{'fid': '10135', 'text': 'Downtown (Pittsburgh)'}, {'fid': '10150', 'text': 'East End neighborhoods (Pittsburgh)'}, {'fid': '10143', 'text': 'Lawrenceville (Pittsburgh)'}, {'fid': '10025', 'text': 'Mount Washington and Mount Oliver (Pittsburgh)'}, {'fid': '10137', 'text': 'North Side and North Shore (Pittsburgh)'}, {'fid': '10136', 'text': 'North Side neighborhoods (Pittsburgh)'}, {'fid': '10130', 'text': 'Oakland (Pittsburgh)'}, {'fid': '10187', 'text': 'Shadyside and Squirrel Hill (Pittsburgh)'}, {'fid': '10134', 'text': 'The Strip (Pittsburgh)'}]","[{'fid': '10048', 'text': 'Airport Corridor / Parkway West'}, {'fid': '10003', 'text': 'North Hills / Parkway North'}, {'fid': '10033', 'text': 'Ohio Valley'}]","[{'fid': '20', 'text': '14 - Ohio Valley'}, {'fid': '66', 'text': '21 - Coraopolis'}, {'fid': '69', 'text': '28X - Airport Flyer'}, {'fid': '91', 'text': '4 - Troy Hill'}, {'fid': '3', 'text': '40 - Mt. Washington'}, {'fid': '48', 'text': '53 - Homestead Park'}, {'fid': '4', 'text': '61C - McKeesport - Homestead'}, {'fid': '5', 'text': '65 - Squirrel Hill'}]",[],['Several times a week'],"['Commuting/Work', 'Errands', 'Medical', 'Social']","['Private car', 'Uber/Lyft']","[""Transit doesn't come often enough"", 'Too slow', 'I usually need to carry too many things', ""Transit isn't reliable to get me where I'm going on time""]",['35-44 years old'],['Part-time employment'],['Squirrel Hill South (Pittsburgh)'],['Woman'],['White'],['Pittsburgh bus sytem is the worst. unreliable and slow.']
aea94a48-3639-4c7c-8f93-9c05c46282ea,2019-07-04T15:29:59,"[{'fid': '2', 'text': 'Monroeville and Eastern Suburbs'}]","[{'fid': '185', 'text': 'Chalfant Borough'}, {'fid': '125', 'text': 'Edgewood Borough'}, {'fid': '150', 'text': 'Monroeville'}, {'fid': '145', 'text': 'Wilkins Township'}]","[{'fid': '17031', 'text': 'Braddock Carnegie Library'}, {'fid': '17035', 'text': 'C C Mellor Memorial Library'}, {'fid': '17058', 'text': 'Monroeville Public Library'}, {'fid': 'poi.3289944996607', 'text': 'Braddock Hills Shopping Plaza, Braddock Hills, Pennsylvania 15221, United States'}]","[{'fid': '1040', 'text': 'Monroeville via 376 (P67 Corridor)'}]","[{'fid': '10130', 'text': 'Oakland (Pittsburgh)'}]","[{'fid': '10067', 'text': 'East Hills'}]","[{'fid': '32', 'text': '69 - Trafford'}]","['7-Slower buses with windy routes, but with less need to transfer and closer bus stop spacing.']",['Several times a week'],['Commuting/Work'],['Private car'],"[""Transit doesn't come often enough"", 'No transit service at the times I need it', 'The stops/stations are hard to get to because of bad or no sidewalks']",['35-44 years old'],['Part-time employment (more than one employer)'],['Forest Hills Borough'],['Woman'],['White'],['']
da2837dc-2047-4d7d-9bb0-82547feee7b4,2019-07-30T23:06:44,"[{'fid': '1', 'text': 'McKeesport and the Mon Valley'}]","[{'fid': '10', 'text': 'Braddock Borough'}, {'fid': '25', 'text': 'Braddock Hills Borough'}, {'fid': '185', 'text': 'Chalfant Borough'}, {'fid': '100', 'text': 'Duquesne'}, {'fid': '70', 'text': 'East McKeesport Borough'}, {'fid': '30', 'text': 'East Pittsburgh Borough'}, {'fid': '175', 'text': 'Forest Hills Borough'}, {'fid': '90', 'text': 'Homestead Borough'}, {'fid': '110', 'text': 'McKeesport'}, {'fid': '95', 'text': 'Munhall Borough'}, {'fid': '20', 'text': 'North Braddock Borough'}, {'fid': '75', 'text': 'North Versailles Township'}, {'fid': '5', 'text': 'Rankin Borough'}, {'fid': '135', 'text': 'Swissvale Borough'}, {'fid': '50', 'text': 'Turtle Creek Borough'}, {'fid': '65', 'text': 'Wall Borough'}, {'fid': '92', 'text': 'West Homestead Borough'}, {'fid': '186', 'text': 'Whitaker Borough'}, {'fid': '60', 'text': 'Wilmerding Borough'}]",[],"[{'fid': '1070', 'text': 'Mon Valley via Forest Hills'}]","[{'fid': '10135', 'text': 'Downtown (Pittsburgh)'}]","[{'fid': '10048', 'text': 'Airport Corridor / Parkway West'}]",[],[],['Multiple trips per day'],['Commuting/Work'],['Jitney'],['Public transit is not available where I am travelling to/from'],['35-44 years old'],['Retired'],['Rankin Borough'],['Man'],['White'],['']
009a7c74-36df-485b-b9ab-4d89d73ae94c,2019-08-23T12:16:01,"[{'fid': '1', 'text': 'McKeesport and the Mon Valley'}]","[{'fid': '100', 'text': 'Duquesne'}, {'fid': '90', 'text': 'Homestead Borough'}, {'fid': '95', 'text': 'Munhall Borough'}, {'fid': '92', 'text': 'West Homestead Borough'}]","[{'fid': '19551', 'text': 'RIDC Riverplace / City Center of Duquesne'}, {'fid': '19309', 'text': 'The Waterfront'}]","[{'fid': '1000', 'text': 'Mon Valley via Homestead (61C Corridor)'}]",[],[],[],['2'],"['Rarely, maybe a couple times a year']",['Social'],"['Carpool', 'Private car']",['Too slow'],['25-34 years old'],['Full-time employment'],['West Mifflin Borough'],['Woman'],['White'],['']
ff6125c0-f66d-4316-b0df-29c2378b0fe0,2019-07-06T12:30:09,"[{'fid': '2', 'text': 'Monroeville and Eastern Suburbs'}]","[{'fid': '150', 'text': 'Monroeville'}]","[{'fid': 'poi.1898375574935', 'text': 'Forbes Hospital, 2570 Haymaker Rd, Monroeville, Pennsylvania 15146, United States'}, {'fid': 'poi.1786706422138', 'text': 'Gateway High School, 3000 Mosside Gateway Campus Blvd, Monroeville, Pennsylvania 15146, United States'}, {'fid': 'address.415845762604892', 'text': 'Haymaker Road, Monroeville, Pennsylvania 15146, United States'}, {'fid': 'poi.3221225542190', 'text': 'Miracle Mile Shopping Center, 4100 William Penn Hwy, Monroeville, Pennsylvania 15146, United States'}]","[{'fid': '1040', 'text': 'Monroeville via 376 (P67 Corridor)'}]","[{'fid': '10135', 'text': 'Downtown (Pittsburgh)'}, {'fid': '10137', 'text': 'North Side and North Shore (Pittsburgh)'}, {'fid': '10130', 'text': 'Oakland (Pittsburgh)'}, {'fid': '10134', 'text': 'The Strip (Pittsburgh)'}]","[{'fid': '10048', 'text': 'Airport Corridor / Parkway West'}, {'fid': '10030', 'text': 'Upper Mon Valley'}]","[{'fid': '59', 'text': '67 - Monroeville'}, {'fid': '62', 'text': 'P12 - Holiday Park Flyer'}, {'fid': '64', 'text': 'P67 - Monroeville Flyer'}, {'fid': '40', 'text': 'P69 - Trafford Flyer'}]",[],['Daily commute'],"['Commuting/Work', 'School']",['Private car'],['Public transit is not available where I am travelling to/from'],['55-64 years old'],['Part-time employment'],['Monroeville'],['Woman'],['White'],"['Monroeville used to have much better access on Haymaker Road.  That was removed previously,  With Forbes Hospital and the surrounding medical offices, it would be good to have the bus more accessible. ']"
dd248366-cb6b-48f8-918e-450475759aa6,2019-06-24T18:19:59,"[{'fid': '1', 'text': 'McKeesport and the Mon Valley'}, {'fid': '2', 'text': 'Monroeville and Eastern Suburbs'}]","[{'fid': '30', 'text': 'East Pittsburgh Borough'}, {'fid': '125', 'text': 'Edgewood Borough'}, {'fid': '175', 'text': 'Forest Hills Borough'}, {'fid': '110', 'text': 'McKeesport'}, {'fid': '150', 'text': 'Monroeville'}, {'fid': '75', 'text': 'North Versailles Township'}, {'fid': '155', 'text': 'Pitcairn Borough'}, {'fid': '135', 'text': 'Swissvale Borough'}, {'fid': '50', 'text': 'Turtle Creek Borough'}, {'fid': '65', 'text': 'Wall Borough'}, {'fid': '92', 'text': 'West Homestead Borough'}, {'fid': '145', 'text': 'Wilkins Township'}, {'fid': '60', 'text': 'Wilmerding Borough'}]","[{'fid': 'poi.1898375574935', 'text': 'user-created answer via Mapbox Geocoding Service'}, {'fid': 'poi.2396591830830', 'text': 'user-created answer via Mapbox Geocoding Service'}, {'fid': 'poi.2482491104122', 'text': 'user-created answer via Mapbox Geocoding Service'}, {'fid': 'poi.2602750257664', 'text': 'user-created answer via Mapbox Geocoding Service'}, {'fid': 'poi.2568390469814', 'text': 'user-created answer via Mapbox Geocoding Service'}]","[{'fid': '1020', 'text': 'Mon Valley via Westinghouse Bridge'}]","[{'fid': '10143', 'text': 'Lawrenceville (Pittsburgh)'}]","[{'fid': '10017', 'text': 'South Hills'}]","[{'fid': '102', 'text': '59 - Mon Valley'}, {'fid': '32', 'text': '69 - Trafford'}]",[],"['Rarely, maybe a couple times a year']",['Other'],['ACCESS'],"['Public transit is not available where I am travelling to/from', ""Transit doesn't come often enough"", 'No transit service at the times I need it', 'Too expensive', 'The stops/stations are hard to get to because of bad or no sidewalks', 'I usually need to carry too many things']",['55-64 years old'],['Full-time employment'],['Wilmerding Borough'],['Woman'],['White'],"['My son uses public transportation more than I do, but I do occasionally. I also work with other families who struggle to find transportation in our area. We would definitely benefit from more service to this area.']"
5a74d6fc-357c-4ca8-8fb3-0c53a9a2a18e,2019-07-19T14:14:09,"[{'fid': '2', 'text': 'Monroeville and Eastern Suburbs'}]","[{'fid': '10', 'text': 'Braddock Borough'}, {'fid': '125', 'text': 'Edgewood Borough'}, {'fid': '175', 'text': 'Forest Hills Borough'}, {'fid': '150', 'text': 'Monroeville'}, {'fid': '5', 'text': 'Rankin Borough'}, {'fid': '135', 'text': 'Swissvale Borough'}, {'fid': '145', 'text': 'Wilkins Township'}, {'fid': '120', 'text': 'Wilkinsburg Borough'}]","[{'fid': '19545', 'text': 'Aldi'}, {'fid': '17036', 'text': 'Carnegie Free Library of Swissvale'}, {'fid': '18911', 'text': 'Getgo #3106'}, {'fid': '19546', 'text': 'Giant Eagle'}, {'fid': '17058', 'text': 'Monroeville Public Library'}]","[{'fid': '1050', 'text': 'Monroeville via Wilkinsburg (67 Corridor)'}]","[{'fid': '10135', 'text': 'Downtown (Pittsburgh)'}, {'fid': '10150', 'text': 'East End neighborhoods (Pittsburgh)'}, {'fid': '10137', 'text': 'North Side and North Shore (Pittsburgh)'}, {'fid': '10187', 'text': 'Shadyside and Squirrel Hill (Pittsburgh)'}, {'fid': '10134', 'text': 'The Strip (Pittsburgh)'}]","[{'fid': '10048', 'text': 'Airport Corridor / Parkway West'}]","[{'fid': '69', 'text': '28X - Airport Flyer'}, {'fid': '34', 'text': '77 - Penn Hills'}, {'fid': '15', 'text': 'P1 - East Busway - All Stops'}, {'fid': '63', 'text': 'P16 - Penn Hills Flyer'}, {'fid': '87', 'text': 'P3 - East Busway - Oakland'}]",['4-A Balance.'],['No more than once a week'],['Medical'],"['Private car', 'Walking']","['Public transit is not available where I am travelling to/from', 'I usually need to carry too many things']",['55-64 years old'],['Retired'],['Penn Hills Township'],['Woman'],['Black or African American'],"['Yes,I would like to see bus service returned to Rodi Road and to the Penn Hills Shopping Center.']"
9b08c671-f3f7-4a2a-9b69-e08eff3490cc,2019-06-25T14:34:00,"[{'fid': '2', 'text': 'Monroeville and Eastern Suburbs'}]","[{'fid': '125', 'text': 'Edgewood Borough'}, {'fid': '175', 'text': 'Forest Hills Borough'}, {'fid': '150', 'text': 'Monroeville'}, {'fid': '135', 'text': 'Swissvale Borough'}, {'fid': '120', 'text': 'Wilkinsburg Borough'}]",[],"[{'fid': '1050', 'text': 'Monroeville via Wilkinsburg (67 Corridor)'}]","[{'fid': '10135', 'text': 'Downtown (Pittsburgh)'}, {'fid': '10150', 'text': 'East End neighborhoods (Pittsburgh)'}, {'fid': '10160', 'text': 'Highland Park and surrounding neighborhoods (Pittsburgh)'}, {'fid': '10130', 'text': 'Oakland (Pittsburgh)'}, {'fid': '10162', 'text': 'Penn and Liberty Ave neighborhoods (Pittsburgh)'}, {'fid': '10187', 'text': 'Shadyside and Squirrel Hill (Pittsburgh)'}, {'fid': '10134', 'text': 'The Strip (Pittsburgh)'}]",[],"[{'fid': '59', 'text': '67 - Monroeville'}]",['2'],"['Rarely, maybe a couple times a year']","['Commuting/Work', 'Errands']","['ACCESS', 'Jitney', 'Uber/Lyft']","[""Transit doesn't come often enough"", 'No transit service at the times I need it']",['18-24 years old'],['Full-time employment'],['East Hills (Pittsburgh)'],['Woman'],['Black or African American'],['']
aee9dfa3-d0e7-46bd-abcb-98620a991f5d,2019-07-01T18:20:30,"[{'fid': '1', 'text': 'McKeesport and the Mon Valley'}, {'fid': '2', 'text': 'Monroeville and Eastern Suburbs'}]","[{'fid': '125', 'text': 'Edgewood Borough'}, {'fid': '90', 'text': 'Homestead Borough'}, {'fid': '150', 'text': 'Monroeville'}, {'fid': '135', 'text': 'Swissvale Borough'}, {'fid': '120', 'text': 'Wilkinsburg Borough'}]","[{'fid': '17038', 'text': 'Carnegie Library of Homestead'}, {'fid': '19311', 'text': 'Edgewood Towne Center'}, {'fid': '16790', 'text': 'Gateway SHS'}, {'fid': '19307', 'text': 'Monroeville Mall'}, {'fid': '19309', 'text': 'The Waterfront'}]","[{'fid': '1080', 'text': 'Monroeville via Forest Hills'}]","[{'fid': '10135', 'text': 'Downtown (Pittsburgh)'}, {'fid': '10150', 'text': 'East End neighborhoods (Pittsburgh)'}, {'fid': '10130', 'text': 'Oakland (Pittsburgh)'}, {'fid': '10187', 'text': 'Shadyside and Squirrel Hill (Pittsburgh)'}]",[],"[{'fid': '81', 'text': '52L - Homeville Limited'}, {'fid': '58', 'text': '53L - Homestead Park Limited'}, {'fid': '83', 'text': '58 - Greenfield'}, {'fid': '4', 'text': '61C - McKeesport - Homestead'}, {'fid': '29', 'text': '61D - Murray'}, {'fid': '30', 'text': '64 - Lawrenceville - Waterfront'}]",['3'],['Multiple trips per day'],"['Commuting/Work', 'School', 'Errands', 'Medical', 'Social']","['Bicycle', 'Private car', 'Uber/Lyft', 'Walking']",['Public transit is not available where I am travelling to/from'],['18-24 years old'],['Part-time employment'],['Greenfield (Pittsburgh)'],['Woman'],"['White', 'Asian']",['']
