Route,inbound_trips,outbound_trips,inbound_start,outbound_start,inbound_pk_headway,inbound_offpk_headway,outbound_pk_headway,outbound_offpk_headway,PV,inbound_pk_time,inbound_offpk_time,outbound_pk_time,outbound_offpk_time
52L,0,0,-,-,-,-,-,-,-,-,-,-,-
53,17,17,06:30:00,06:55:00,59.82222222222222,61.34656084656085,60.0,61.116402116402114,2,31.142857142857142,30.8,36.5,37.18181818181818
53L,0,0,-,-,-,-,-,-,-,-,-,-,-
55,18,18,05:26:00,06:03:00,59.527272727272724,59.66103896103896,60.0,59.6951476793249,4,86.875,86.4,81.5,80.75
56,17,17,05:51:00,06:40:00,60.0,60.16095890410959,60.0,60.0,2,49.5,49.72727272727273,51.5,53.0
57,19,19,05:38:00,06:10:00,59.625,59.876606683804624,60.0,59.955555555555556,2,37.0,35.15384615384615,36.5,38.333333333333336
59,18,18,05:10:00,05:35:00,60.81399631675875,59.6824,60.0,59.735566642908054,5,132.25,130.3,130.42857142857142,127.18181818181819
60,0,0,-,-,-,-,-,-,-,-,-,-,-
61A,44,44,05:22:00,06:15:00,25.033667621776505,25.74959283387622,24.60675039246468,25.895823557015486,7,64.0,62.607142857142854,54.8125,54.666666666666664
61B,49,49,04:40:00,05:22:00,25.486685032139576,26.741629464285715,24.3310546875,26.40722291407223,6,52.88235294117647,49.96551724137931,45.23529411764706,44.925925925925924
61C,47,47,04:11:00,05:07:00,24.565116279069766,25.598839803659082,24.10731707317073,25.8248502994012,7,66.70588235294117,64.33333333333333,57.94117647058823,57.142857142857146
61D,46,46,06:38:00,07:22:00,24.31851851851852,24.850988700564972,23.10968660968661,25.647011952191235,6,53.1764705882353,54.04,42.86666666666667,41.76923076923077
64,37,37,06:24:00,06:11:00,30.028333333333332,30.474678111587984,30.031073446327685,30.02247191011236,4,47.5,47.69565217391305,41.92857142857143,41.68181818181818
65,0,0,-,-,-,-,-,-,-,-,-,-,-
67,23,16,06:19:00,07:00:00,60.196467991169975,61.11390532544379,62.88928571428571,60.07129798903108,4,52.25,41.8,51.333333333333336,50.9
68,10,10,07:57:00,07:09:00,90.16447368421052,90.0,91.0,89.88141025641026,2,43.25,43.0,48.5,47.666666666666664
69,11,11,07:10:00,06:30:00,92.0,89.97428571428571,89.74305555555556,90.32291666666667,1,42.0,43.142857142857146,40.75,40.285714285714285
71,0,0,-,-,-,-,-,-,-,-,-,-,-
71C,36,36,05:42:00,06:26:00,29.911184210526315,30.081024930747922,30.357323232323232,29.87776141384389,4,49.285714285714285,49.72727272727273,46.30769230769231,44.08695652173913
71D,39,39,05:10:00,05:48:00,29.907004830917874,30.057163020465772,30.126470588235293,29.895316804407713,4,42.92857142857143,42.541666666666664,42.0,40.0
74,22,22,07:22:00,06:45:00,46.28219696969697,45.73009708737864,46.667247386759584,46.610864745011085,2,36.625,36.142857142857146,39.22222222222222,39.30769230769231
77,22,16,06:09:00,07:00:00,62.52319587628866,61.83553597650514,68.42663043478261,61.55570652173913,3,44.375,41.357142857142854,54.833333333333336,54.4
79,32,31,07:11:00,06:08:00,42.28448275862069,38.53768382352941,44.025948103792416,38.22268470343392,3,26.4,24.272727272727273,26.636363636363637,26.0
86,45,45,05:11:00,05:45:00,27.315384615384616,26.783669141039237,26.240625,27.156316916488223,6,41.666666666666664,40.666666666666664,46.92857142857143,46.55555555555556
93,0,0,-,-,-,-,-,-,-,-,-,-,-
P1,58,58,05:43:00,06:03:00,18.037037037037038,19.98768472906404,17.63157894736842,20.022916666666667,4,20.9,20.35135135135135,23.285714285714285,23.914285714285715
P12,0,0,-,-,-,-,-,-,-,-,-,-,-
P16,0,0,-,-,-,-,-,-,-,-,-,-,-
P17,0,0,-,-,-,-,-,-,-,-,-,-,-
P2,0,0,-,-,-,-,-,-,-,-,-,-,-
P3,0,0,-,-,-,-,-,-,-,-,-,-,-
P67,0,0,-,-,-,-,-,-,-,-,-,-,-
P68,0,0,-,-,-,-,-,-,-,-,-,-,-
P69,0,0,-,-,-,-,-,-,-,-,-,-,-
P7,0,0,-,-,-,-,-,-,-,-,-,-,-
P71,0,0,-,-,-,-,-,-,-,-,-,-,-
P76,0,0,-,-,-,-,-,-,-,-,-,-,-
P78,0,0,-,-,-,-,-,-,-,-,-,-,-
