Route,inbound_trips,outbound_trips,inbound_start,outbound_start,inbound_pk_headway,inbound_offpk_headway,outbound_pk_headway,outbound_offpk_headway,PV,inbound_pk_time,inbound_offpk_time,outbound_pk_time,outbound_offpk_time
52L,0,0,-,-,-,-,-,-,-,-,-,-,-
53,0,0,-,-,-,-,-,-,-,-,-,-,-
53L,0,0,-,-,-,-,-,-,-,-,-,-,-
55,17,17,05:23:00,06:03:00,60.0,59.25,60.488425925925924,59.576388888888886,4,84.0,84.66666666666667,80.83333333333333,80.27272727272727
56,16,16,06:52:00,07:40:00,60.0,60.0,60.25454545454546,60.0,2,48.5,50.2,49.42857142857143,50.0
57,18,18,06:35:00,07:10:00,60.29375,60.0,60.52777777777778,59.824691358024694,2,35.333333333333336,34.75,36.333333333333336,37.09090909090909
59,14,14,06:05:00,06:35:00,60.38489871086556,60.0,60.0,59.949726775956286,5,128.375,131.0,125.71428571428571,125.42857142857143
60,0,0,-,-,-,-,-,-,-,-,-,-,-
61A,32,32,05:09:00,06:00:00,36.031496062992126,36.196509009009006,37.30277442702051,33.193527918781726,6,57.45454545454545,57.714285714285715,54.72727272727273,56.35
61B,33,33,04:51:00,05:30:00,36.108484005563284,35.97888975762314,36.08360655737705,35.2185154295246,4,47.833333333333336,48.095238095238095,43.18181818181818,42.666666666666664
61C,33,33,04:52:00,05:45:00,33.85,35.98329993319973,35.66219512195122,33.31460674157304,5,61.833333333333336,60.714285714285715,55.666666666666664,55.35
61D,29,29,06:50:00,07:33:00,34.782539682539685,33.81164021164021,34.042328042328045,33.297325102880656,4,49.416666666666664,50.8235294117647,42.22222222222222,42.0
64,23,23,06:31:00,06:22:00,43.72857142857143,46.734848484848484,44.32687651331719,46.252696456086284,3,44.55555555555556,46.07142857142857,40.22222222222222,41.142857142857146
65,0,0,-,-,-,-,-,-,-,-,-,-,-
67,13,13,07:17:00,08:00:00,61.4245939675174,63.766129032258064,61.666666666666664,63.75429975429975,2,54.142857142857146,60.5,48.8,47.25
68,8,8,09:28:00,08:40:00,90.0,89.83333333333333,90.0,90.0,1,41.333333333333336,41.6,43.333333333333336,43.8
69,10,10,08:38:00,07:58:00,90.0,89.91428571428571,91.1875,90.51041666666667,1,43.0,41.42857142857143,37.5,39.0
71,0,0,-,-,-,-,-,-,-,-,-,-,-
71C,27,27,06:03:00,06:42:00,43.19407894736842,37.515037593984964,40.5570987654321,38.98296059637913,4,46.3,48.411764705882355,44.45454545454545,43.0
71D,29,29,04:46:00,05:23:00,44.91304347826087,39.74503025064823,45.06127450980392,39.862132352941174,3,41.0,40.85,39.5,40.05263157894737
74,0,0,-,-,-,-,-,-,-,-,-,-,-
77,20,14,06:25:00,07:14:00,59.50517598343685,61.95959595959596,61.6,61.17391304347826,4,41.77777777777778,36.54545454545455,50.42857142857143,52.0
79,17,18,07:13:00,06:21:00,59.847682119205295,59.05169867060561,60.0,60.333333333333336,2,32.0,32.0,32.0,32.0
86,32,32,05:10:00,05:45:00,37.048611111111114,35.24852941176471,38.57142857142857,32.19141689373297,3,39.90909090909091,39.75,44.333333333333336,42.81818181818182
93,0,0,-,-,-,-,-,-,-,-,-,-,-
P1,45,45,05:43:00,06:03:00,23.897435897435898,23.703703703703702,23.571428571428573,23.846153846153847,4,19.866666666666667,19.4,23.125,22.75862068965517
P12,0,0,-,-,-,-,-,-,-,-,-,-,-
P16,0,0,-,-,-,-,-,-,-,-,-,-,-
P17,0,0,-,-,-,-,-,-,-,-,-,-,-
P2,0,0,-,-,-,-,-,-,-,-,-,-,-
P3,0,0,-,-,-,-,-,-,-,-,-,-,-
P67,0,0,-,-,-,-,-,-,-,-,-,-,-
P68,0,0,-,-,-,-,-,-,-,-,-,-,-
P69,0,0,-,-,-,-,-,-,-,-,-,-,-
P7,0,0,-,-,-,-,-,-,-,-,-,-,-
P71,0,0,-,-,-,-,-,-,-,-,-,-,-
P76,0,0,-,-,-,-,-,-,-,-,-,-,-
P78,0,0,-,-,-,-,-,-,-,-,-,-,-
