,id,addr,timestamp,Area_of_interest,Communities_of_interest,Destinations,Corridor_preference,Pittsburgh_areas,Allegheny_County_areas,PAAC_Routes_Used,Routing_Type_Preference,Current_Transit_Usage,Other_Transport_Used,Why_Other_Transport_Used,Age,Employment_status,Where_From,Gender,Race,Comments,from_NameGIS,from_LABEL,from_COG,from_FIPS,from_MUNICODE,from_OBJECTID
0,aea94a48-3639-4c7c-8f93-9c05c46282ea,173.136.2.46,2019-07-04T15:29:59,Monroeville and Eastern Suburbs,Chalfant Borough| Edgewood Borough| Monroeville| Wilkins Township,"Braddock Carnegie Library| C C Mellor Memorial Library| Monroeville Public Library| Braddock Hills Shopping Plaza, Braddock Hills, Pennsylvania 15221, United States",Monroeville via 376 (P67 Corridor),Oakland (Pittsburgh),East Hills,69 - Trafford,"7-Slower buses with windy routes, but with less need to transfer and closer bus stop spacing.",Several times a week,Private car,Transit doesnt come often enough| No transit service at the times I need it| The stops/stations are hard to get to because of bad or no sidewalks,35-44 years old,Part-time employment (more than one employer),Forest Hills Borough,Woman,White,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
1,c649168d-5e86-4426-b32d-9e61ca2057ad,96.66.175.153,2019-07-01T13:14:09,McKeesport and the Mon Valley| Monroeville and Eastern Suburbs,Churchill Borough| Edgewood Borough| Forest Hills Borough| Monroeville| Wilkinsburg Borough,Aldi #56| Costco #649| Forbes Hospital| UPMC McKeesport| Woodland Hills JSHS,Mon Valley via Forest Hills,Downtown (Pittsburgh)| North Side and North Shore (Pittsburgh)| Oakland (Pittsburgh),,69 - Trafford| P1 - East Busway - All Stops| P69 - Trafford Flyer| P76 - Lincoln Highway Flyer,2,Several times a week,Private car| Uber/Lyft| Walking,No transit service at the times I need it| Other,35-44 years old,Full-time employment,Forest Hills Borough,Man,White,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
2,c4a22e49-cb1a-4356-92db-9084ba2dbd4f,74.98.218.10,2019-07-17T20:55:11,Monroeville and Eastern Suburbs,Forest Hills Borough,"Downtown, Pittsburgh, Pennsylvania 15222, United States",Mon Valley via Forest Hills,Downtown (Pittsburgh),Airport Corridor / Parkway West,P1 - East Busway - All Stops,"1-Faster and more direct buses, but with more transfers and wider bus stop spacing.","Rarely, maybe a couple times a year",Private car,Too slow,55-64 years old,Full-time employment,Forest Hills Borough,Man,White,"I think gondolas to move people would help with the transit solution. This avoids traffic and provides direct routes.  I know the city would love to connect downtown with oakland without adding to the traffic congestion.  What better solution than an aerial gondola.  I have been to several ski towns that use gondolas to move people around town not just up the mountain.   Also less frequent stops for buses, people should be able to walk 1/4 of a mile to a transit stop.   I visit New York frequently and walking several blocks is the norm. I have taken a bus that stops 3 times in a block.  Way to slow.",FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
3,e84ac63e-0016-4a87-81d4-2ee0d31c0249,174.229.4.149,2019-07-04T15:13:36,Monroeville and Eastern Suburbs,Braddock Borough| Braddock Hills Borough| Chalfant Borough| Churchill Borough| East Pittsburgh Borough| Edgewood Borough| Forest Hills Borough| Monroeville| North Braddock Borough| Rankin Borough| Swissvale Borough| Turtle Creek Borough| Wilkins Township,Hawkins Village | Prospect Terrace | Rankin Christian Center| Woodland Hills Academy| Woodland Hills JSHS,Monroeville via Braddock & Turtle Creek,Downtown (Pittsburgh)| East End neighborhoods (Pittsburgh)| Oakland (Pittsburgh)| Penn and Liberty Ave neighborhoods (Pittsburgh),Airport Corridor / Parkway West| East Hills| Upper Mon Valley,P3 - East Busway - Oakland,,Several times a week,Private car,Public transit is not available where I am travelling to/from| No transit service at the times I need it,55-64 years old,Full-time employment,Forest Hills Borough,Woman,White,I had used public transit for years to go from my borough to Oakland for a daily commute until service was curtailed to the point that it was no longer feasible.  Its a shame because there are many people who Ive commiserated with who would LOVE to use public transit but the money seems to be targeted to benefit populations that have ample resources rather than working families and those lower on the earnings scale.  Better busing is an opportunity to move everyone forward.,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
4,c787cc59-8f02-498f-b8af-aa5563faaab7,130.49.152.54,2019-06-25T11:37:25,McKeesport and the Mon Valley,Braddock Borough| Braddock Hills Borough| Forest Hills Borough| Homestead Borough| North Braddock Borough| North Versailles Township| Rankin Borough| Swissvale Borough| West Homestead Borough,ALDI| C C Mellor Library Forest Hills| General Braddock Tower | Hawkins Village | Rite Aid Pharmacies #10910,Mon Valley via Forest Hills,Downtown (Pittsburgh)| Oakland (Pittsburgh),,,,Several times a week,Bicycle| Uber/Lyft| Other,Public transit is not available where I am travelling to/from| Transit doesnt come often enough| No transit service at the times I need it| Transit isnt reliable to get me where Im going on time,45-54 years old,Full-time employment,Forest Hills Borough,Woman,White,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
5,0270610c-e34c-420f-a183-bb3987e19d7c,173.136.2.46,2019-07-04T14:17:23,Monroeville and Eastern Suburbs,Forest Hills Borough| Turtle Creek Borough| Wilkins Township,"Downtown Deli, Pittsburgh, Pennsylvania 15213, United States| Shadyside, Shadyside, Pennsylvania 15232, United States| Squirrel Hill South, Pittsburgh, Pennsylvania 15217, United States| Monroeville, Pennsylvania, United States",Monroeville via 376 (P67 Corridor),North Side and North Shore (Pittsburgh),Airport Corridor / Parkway West,P69 - Trafford Flyer| P76 - Lincoln Highway Flyer,"1-Faster and more direct buses, but with more transfers and wider bus stop spacing.",Daily commute,Private car| Uber/Lyft,Public transit is not available where I am travelling to/from,45-54 years old,Full-time employment,Forest Hills Borough,Woman,White,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
6,509cc9f3-c0e5-4c5a-a80a-51f105da3ab4,174.229.4.149,2019-07-04T14:40:55,Monroeville and Eastern Suburbs,Forest Hills Borough| Monroeville| Swissvale Borough,Aldi| Edgewood Towne Center| Miracle Mile| Woodland Hills Intermediate Sch| Woodland Hills JSHS,Monroeville via Forest Hills,Downtown (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh),Northeast Allegheny County,P1 - East Busway - All Stops| P76 - Lincoln Highway Flyer,,Daily commute,Private car,Transit doesnt come often enough| No transit service at the times I need it| Transit isnt reliable to get me where Im going on time,45-54 years old,Full-time employment,Forest Hills Borough,Woman,White,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
7,c4da5deb-4590-455f-b01e-66ad5adf8be6,173.112.64.82,2019-07-04T15:13:21,Monroeville and Eastern Suburbs,Braddock Hills Borough| Forest Hills Borough| North Braddock Borough,"Downtown, Pittsburgh, Pennsylvania 15222, United States",Mon Valley via Forest Hills,Downtown (Pittsburgh)| Mon Valley neighborhoods (Pittsburgh)| Oakland (Pittsburgh)| The Strip (Pittsburgh),Airport Corridor / Parkway West| Northeast Allegheny County| South Hills,12 - McKnight| P69 - Trafford Flyer| P76 - Lincoln Highway Flyer,"1-Faster and more direct buses, but with more transfers and wider bus stop spacing.",Multiple trips per day,Carpool| Private car| Uber/Lyft,Transit doesnt come often enough| Too slow,35-44 years old,Part-time employment,Forest Hills Borough,Man,Asian,"more buses, more walk",FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
8,503964cf-38f8-4439-837b-7facfdd5b556,24.3.76.142,2019-07-24T13:18:38,Monroeville and Eastern Suburbs,Edgewood Borough| Forest Hills Borough| Monroeville| Turtle Creek Borough| Wilkinsburg Borough,,Monroeville via Forest Hills,Downtown (Pittsburgh)| East End neighborhoods (Pittsburgh),Airport Corridor / Parkway West,,,"Rarely, maybe a couple times a year",Bicycle| Private car,Too expensive| Transit isnt reliable to get me where Im going on time,35-44 years old,Full-time employment,Forest Hills Borough,Man,White,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
9,0cfeeaf6-fe5e-4f48-81b2-56e5ebd043b4,64.58.242.171,2019-06-27T11:47:13,Monroeville and Eastern Suburbs,Forest Hills Borough,Aldi #56| Forbes Road CTC| Giant Eagle #60| Giant Eagle #77| Woodland Hills JSHS,Monroeville via Forest Hills,Downtown (Pittsburgh)| East End neighborhoods (Pittsburgh)| Oakland (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh),Allegheny Valley,P1 - East Busway - All Stops| P69 - Trafford Flyer| P76 - Lincoln Highway Flyer,3,"Rarely, maybe a couple times a year",Bicycle| Private car| Uber/Lyft| Walking,Public transit is not available where I am travelling to/from| Transit isnt reliable to get me where Im going on time,45-54 years old,Full-time employment,Forest Hills Borough,Man,White,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
