Route,inbound_trips,outbound_trips,inbound_start,outbound_start,inbound_pk_headway,inbound_offpk_headway,outbound_pk_headway,outbound_offpk_headway,PV,inbound_pk_time,inbound_offpk_time,outbound_pk_time,outbound_offpk_time
1,24,24,04:33:00,06:15:00,46.06497175141243,47.673469387755105,38.99032258064516,49.27385570209465,6,85.625,84.8125,87.5,76.35714285714286
2,27,26,03:57:00,04:50:00,34.07102593010146,45.302580140734946,35.327044025157235,49.891338582677164,6,67.63636363636364,64.125,71.54545454545455,64.13333333333334
4,23,23,05:10:00,05:45:00,39.541666666666664,47.90185185185185,33.138888888888886,55.224074074074075,3,34.3,34.61538461538461,37.81818181818182,37.0
6,31,32,04:32:00,05:13:00,28.0,46.81014492753623,25.205627705627705,46.40986394557823,4,33.0,30.833333333333332,32.46153846153846,31.647058823529413
7,6,6,05:53:00,06:20:00,60.0,-,59.452991452991455,-,1,25.2,27.0,27.2,27.0
8,71,71,04:51:00,05:30:00,13.088165680473372,16.673076923076923,11.621635347892331,19.249099099099098,11,40.535714285714285,40.25581395348837,40.78787878787879,39.68421052631579
11,25,25,05:22:00,04:39:00,28.8,57.4,29.56451612903226,57.233870967741936,3,1.0,1.0,48.083333333333336,45.07692307692308
12,23,22,05:23:00,06:20:00,44.482678983833715,49.33724340175953,43.08430913348946,49.07084019769358,4,66.22222222222223,66.0,67.77777777777777,62.84615384615385
13,42,42,05:31:00,06:15:00,23.336150234741783,29.074784910655197,20.480314960629922,31.65712187958884,5,43.294117647058826,40.68,42.166666666666664,38.65217391304348
14,38,36,04:47:00,05:50:00,22.083673469387755,34.17894736842105,22.28544600938967,37.971830985915496,7,51.125,48.36363636363637,48.529411764705884,44.44444444444444
15,30,29,05:08:00,05:49:00,29.470909090909092,42.317142857142855,29.545454545454547,45.16723549488054,4,34.84615384615385,32.88235294117647,34.38461538461539,32.875
16,70,69,03:54:00,04:25:00,14.142006802721088,19.28240740740741,13.701121794871796,20.080070134424314,7,34.73076923076923,32.86046511627907,33.892857142857146,31.871794871794872
17,33,33,04:55:00,05:40:00,32.22222222222222,35.277073170731704,29.885918003565063,36.256127450980394,4,45.54545454545455,44.95454545454545,44.92307692307692,44.0
18,12,11,05:02:00,05:28:00,40.2,40.0,40.333333333333336,40.0,1,13.0,13.0,14.0,14.0
20,23,23,04:33:00,05:20:00,39.193014705882355,40.845588235294116,33.71568627450981,47.950980392156865,4,46.9,47.07692307692308,43.63636363636363,40.833333333333336
21,31,30,04:41:00,05:15:00,32.675170068027214,46.950602409638556,32.503989361702125,51.34701492537314,4,52.583333333333336,47.31578947368421,48.357142857142854,43.8125
22,25,25,05:18:00,05:50:00,38.956043956043956,42.938856015779095,33.96218487394958,46.36877828054298,3,33.888888888888886,32.75,28.88888888888889,26.5625
24,29,29,04:50:00,05:45:00,38.720763723150355,40.91884057971014,34.36915887850467,47.68197879858657,5,48.54545454545455,47.72222222222222,42.25,38.411764705882355
26,35,35,05:02:00,05:30:00,24.70510708401977,39.59207459207459,22.183835182250395,41.9671052631579,4,32.142857142857146,30.0,30.266666666666666,26.68421052631579
27,33,33,04:46:00,05:15:00,26.37784522003035,35.34717416378316,23.108781127129753,40.92782152230971,4,32.285714285714285,29.842105263157894,32.75,30.764705882352942
29,22,22,05:21:00,06:20:00,43.56578947368421,52.438995215311,30.949333333333332,59.16952380952381,5,63.5,62.07142857142857,62.666666666666664,58.5
31,34,34,05:00:00,05:55:00,25.851894374282434,35.43097014925373,21.782857142857143,41.03061224489796,7,61.2,58.8421052631579,56.1764705882353,51.05882352941177
36,21,21,05:11:00,05:39:00,42.326241134751776,40.53191489361702,35.06078431372549,51.19281045751634,3,37.25,34.30769230769231,45.25,41.0
38,61,62,05:22:00,06:09:00,17.681272084805652,32.71106758080313,14.626119010005265,46.132934131736526,13,40.85294117647059,38.629629629629626,43.3,35.31818181818182
39,53,43,04:42:00,05:29:00,17.183941605839415,31.714285714285715,13.494047619047619,39.6234375,11,37.31818181818182,26.741935483870968,36.04347826086956,33.0
40,25,26,06:05:00,06:50:00,37.66550522648084,50.54471544715447,34.01033591731266,48.2037422037422,4,35.666666666666664,34.266666666666666,32.90909090909091,28.928571428571427
41,36,36,04:57:00,05:45:00,27.022222222222222,33.867231638418076,20.45263157894737,41.10614035087719,7,57.42857142857143,54.72727272727273,46.94117647058823,41.833333333333336
43,22,22,05:56:00,06:25:00,41.16988416988417,55.30810810810811,34.83984375,65.79230769230769,2,29.22222222222222,28.692307692307693,25.3,22.416666666666668
44,32,32,05:25:00,06:31:00,30.883098591549295,33.05385252692626,30.87121212121212,32.84803921568628,4,53.916666666666664,51.9,53.23076923076923,51.26315789473684
48,44,44,05:09:00,05:45:00,24.1265664160401,26.971570717839374,20.66060606060606,29.15947925142392,5,42.6875,38.214285714285715,34.294117647058826,31.384615384615383
51,103,103,03:46:00,04:30:00,12.238813229571985,16.802421924792863,11.514649681528663,17.39609952925353,17,50.34146341463415,46.442622950819676,43.022222222222226,42.50909090909091
54,58,56,03:37:00,04:31:00,26.543640897755612,30.081521739130434,26.83645443196005,30.82910321489002,8,69.05,61.82857142857143,71.04761904761905,61.45161290322581
55,18,18,05:19:00,06:03:00,60.084848484848486,59.36753246753247,60.0,60.061505832449626,4,88.375,87.1,85.0,82.41666666666667
56,31,29,04:57:00,05:50:00,30.00711743772242,45.15665236051502,28.158008658008658,49.66746126340882,6,50.46666666666667,51.0,57.357142857142854,52.642857142857146
57,31,31,04:46:00,05:20:00,26.575,44.515,24.796581196581197,47.589928057553955,4,37.38461538461539,36.22222222222222,40.13333333333333,36.375
58,26,26,05:17:00,05:55:00,32.11622807017544,41.92577597840756,30.15967741935484,45.382697947214076,4,44.0,41.8125,47.416666666666664,43.142857142857146
59,19,19,05:05:00,05:35:00,60.51012891344383,59.608301886792454,60.0,59.53546592489569,5,135.5,126.81818181818181,133.0,115.18181818181819
60,15,15,06:26:00,06:15:00,59.875,59.886792452830186,59.982142857142854,59.892857142857146,1,20.333333333333332,19.88888888888889,39.625,35.142857142857146
64,40,40,05:10:00,05:40:00,29.926388888888887,30.080816326530613,28.043024771838333,30.203687445127304,5,53.357142857142854,46.958333333333336,49.666666666666664,42.08695652173913
65,13,10,06:07:00,06:40:00,27.126436781609197,27.78,31.91828793774319,-,3,31.0,25.666666666666668,26.22222222222222,17.0
67,34,27,04:56:00,06:05:00,32.1385737439222,47.65167682926829,29.38814317673378,49.89289501590668,10,71.375,69.0,81.75,64.53333333333333
69,27,24,04:18:00,05:40:00,43.96862745098039,47.401692708333336,37.72477876106195,53.40755467196819,9,80.66666666666667,74.0,84.0,73.83333333333333
71,7,7,09:00:00,08:30:00,-,70.0,70.0,70.0,1,31.0,31.0,30.0,30.0
74,28,27,05:57:00,05:43:00,37.115979381443296,39.645114942528735,37.05,40.59525691699605,3,49.0,41.44444444444444,47.8,43.8235294117647
75,47,47,04:51:00,05:45:00,17.088565763384004,30.995022123893804,17.23396674584323,35.692919649960224,10,58.04761904761905,53.38461538461539,50.76923076923077,49.95
77,31,31,04:37:00,05:55:00,36.1875589066918,39.84661058881742,34.50038910505837,42.47841105354059,6,78.45454545454545,80.45,80.0,72.27777777777777
79,39,39,05:12:00,05:54:00,37.67782426778243,36.6252129471891,31.372623574144487,36.59240069084629,4,23.416666666666668,24.04,31.142857142857142,25.416666666666668
81,32,32,04:59:00,05:32:00,35.0,37.24287343215507,34.759637188208615,37.1354292623942,3,44.36363636363637,38.42857142857143,33.45454545454545,30.0
82,52,52,04:44:00,05:20:00,20.199391171993913,23.61579200770342,20.19925650557621,23.71528903295516,5,44.5,41.28125,43.42857142857143,38.666666666666664
83,33,33,05:11:00,05:50:00,31.25344827586207,36.282837967401726,28.665584415584416,37.002232142857146,4,52.5,48.476190476190474,41.23076923076923,37.73684210526316
86,43,43,03:52:00,04:30:00,30.276136363636365,30.78556263269639,29.698863636363637,30.453072625698326,5,48.0,42.77777777777778,56.0,47.34615384615385
87,52,52,05:24:00,05:58:00,16.943075117370892,34.87122736418511,16.68421052631579,37.05372492836676,10,35.333333333333336,32.68,39.06896551724138,34.26086956521739
88,56,56,04:10:00,04:35:00,20.145922746781117,23.169209431345354,19.879866518353726,23.247491638795985,5,32.27777777777778,29.305555555555557,37.3,33.303030303030305
89,23,23,05:46:00,05:30:00,47.5,47.75,47.5,47.72222222222222,1,17.5,16.4,19.5,17.266666666666666
91,70,70,04:29:00,04:45:00,14.831697054698457,21.918141592920353,13.012589173310953,24.503679476696647,12,47.2,44.43589743589744,50.96969696969697,47.2
93,33,33,06:26:00,05:11:00,29.73882113821138,30.024390243902438,29.855882352941176,30.16985294117647,5,56.285714285714285,50.578947368421055,57.214285714285715,53.73684210526316
19L,11,10,05:40:00,16:00:00,17.685,14.59375,16.345410628019323,-,4,47.833333333333336,51.2,42.2,-
28X,40,40,04:37:00,03:17:00,30.401980198019803,29.573546180159635,29.875984251968504,30.092037228541884,6,74.21428571428571,65.8,76.21428571428571,65.73076923076923
51L,17,9,06:02:00,14:55:00,17.5,33.717948717948715,18.553571428571427,30.0,6,23.083333333333332,18.0,35.57142857142857,34.0
52L,14,10,05:31:00,06:17:00,37.994285714285716,29.078014184397162,31.900195694716242,-,5,35.888888888888886,29.6,56.55555555555556,48.0
53L,29,26,04:48:00,05:37:00,29.316069057104915,52.90204678362573,29.314,59.248051948051945,9,52.6,54.785714285714285,76.5,73.25
61A,55,55,04:55:00,05:45:00,19.398907103825138,22.58127572016461,16.190988223246286,23.463483146067414,11,71.45454545454545,62.27272727272727,64.3913043478261,54.903225806451616
61B,57,57,04:43:00,05:22:00,19.01311249137336,23.375231910946198,17.267690253671564,24.426283821093318,9,58.31818181818182,52.0,51.458333333333336,45.13333333333333
61C,57,57,04:15:00,05:07:00,18.50996677740864,22.357366771159874,15.76940133037694,23.850554323725056,11,75.78260869565217,67.9090909090909,65.58333333333333,57.225806451612904
61D,65,70,05:12:00,05:52:00,14.21968253968254,20.221016280217068,12.777065527065528,21.738693467336685,12,61.03703703703704,53.47222222222222,43.0625,41.0
71A,70,66,04:24:00,04:56:00,13.807051282051281,19.86596038691847,15.218104062722738,20.50626204238921,8,45.035714285714285,40.075,44.0,39.0
71B,67,64,04:35:00,05:05:00,14.836748182419035,20.095643939393938,16.22590361445783,20.669264490988798,8,45.851851851851855,40.13157894736842,41.125,37.351351351351354
71C,61,61,05:13:00,06:01:00,16.65011961722488,19.31615925058548,15.283564814814815,19.949817518248175,9,58.583333333333336,54.108108108108105,52.80769230769231,48.61764705882353
71D,67,64,04:12:00,04:48:00,14.940289855072464,20.696346073078537,15.713554987212277,21.136363636363637,8,51.111111111111114,44.1578947368421,44.92,40.638888888888886
G2,91,91,05:08:00,05:32:00,8.928455284552845,14.908148148148149,8.206395348837209,16.14222873900293,10,25.11627906976744,23.833333333333332,28.022222222222222,24.543478260869566
G3,21,23,04:58:00,05:35:00,18.467032967032967,15.657142857142857,13.58095238095238,21.6,8,40.733333333333334,38.0,42.625,38.0
