,Where_From,from_NameGIS, I only use public transit, I usually need to carry too many things, No transit service at the times I need it, Other, The stops/stations are hard to get to because of bad or no sidewalks, Too expensive, Too slow, Transit doesnt come often enough, Transit isnt reliable to get me where Im going on time,I only use public transit,I usually need to carry too many things,No transit service at the times I need it,Other,Public transit is not available where I am travelling to/from,The stops/stations are hard to get to because of bad or no sidewalks,Too expensive,Too slow,Transit doesnt come often enough,Transit isnt reliable to get me where Im going on time
0,Aleppo Township,ALEPPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,Avalon Borough,AVALON,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Bellevue Borough,BELLEVUE,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3,Bethel Park Borough,BETHEL PARK,0,0,1,0,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0
4,Braddock Borough,BRADDOCK HILLS,0,7,9,3,3,4,9,6,9,0,2,3,7,11,2,2,6,8,0
5,Braddock Hills Borough,BRADDOCK HILLS,0,0,2,0,1,1,0,1,1,0,0,0,2,2,0,0,1,0,0
6,Brentwood Borough,BRENTWOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Chalfant Borough,CHALFANT,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
8,Churchill Borough,CHURCHILL,0,2,3,1,3,0,1,2,1,0,0,0,0,7,0,0,1,2,0
9,Clairton,CLAIRTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Crafton Borough,CRAFTON,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
11,Dormont Borough,DORMONT,0,1,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0
12,Dravosburg Borough,DRAVOSBURG,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
13,Duquesne,DUQUESNE,0,8,6,1,9,8,1,4,8,0,1,1,0,5,0,4,0,4,0
14,East McKeesport Borough,EAST MCKEESPORT,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1
15,Edgewood Borough,EDGEWOOD,0,2,2,1,2,2,3,3,4,0,1,0,0,6,0,0,1,1,0
16,Edgeworth Borough,EDGEWORTH,0,2,1,0,0,0,0,2,2,0,0,0,0,2,0,0,1,0,0
17,Forest Hills Borough,FOREST HILLS,0,2,4,1,1,0,3,1,4,0,0,1,1,7,0,1,4,4,0
18,Glassport Borough,GLASSPORT,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
19,Hampton Township,HAMPTON,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
