,index,dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
0,1,Pittsburgh Chateau Area,65,97.0,28.0,62.0,71.0,3.0,6.0,144.0,15.0,6.0,1.0,1425.0,5.0,37.0,37.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,5.0,54.0,46.0
1,2,Pittsburgh Lower North Side,89,84.0,34.0,14.0,120.0,3.0,10.0,243.0,37.0,17.0,4.0,1527.0,15.0,116.0,125.0,0.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,77.0,4.0,12.0,88.0,74.0
2,3,Pittsburgh Upper North Side,123,215.0,64.0,93.0,258.0,5.0,10.0,261.0,30.0,15.0,2.0,2861.0,13.0,101.0,98.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,2.0,11.0,76.0,70.0
3,4,Allegheny County Northwest,163,109.0,42.0,343.0,201.0,4.0,6.0,177.0,15.0,8.0,1.0,2746.0,6.0,58.0,41.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,285.0,0.0,0.0,7.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0,1.0,5.0,56.0,41.0
4,5,Allegheny County North (remainder),62,171.0,40.0,68.0,1357.0,6.0,24.0,816.0,22.0,75.0,3.0,6979.0,84.0,190.0,311.0,0.0,31.0,2.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,59.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,93.0,154.0,38.0,160.0,56.0,38.0
5,6,Hazelwood,8,13.0,2.0,3.0,14.0,29.0,44.0,509.0,47.0,21.0,21.0,1232.0,13.0,19.0,31.0,1.0,3.0,0.0,6.0,17.0,0.0,1.0,0.0,0.0,5.0,17.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2.0,13.0,29.0,19.0
6,7,Squirrel Hill,28,40.0,6.0,9.0,58.0,53.0,215.0,4153.0,90.0,279.0,70.0,3632.0,179.0,85.0,317.0,1.0,22.0,0.0,24.0,119.0,4.0,1.0,0.0,0.0,11.0,14.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,32.0,173.0,54.0,41.0
7,8,Oakland,50,77.0,18.0,20.0,115.0,47.0,234.0,2438.0,217.0,347.0,31.0,3087.0,255.0,139.0,549.0,1.0,24.0,1.0,31.0,119.0,4.0,2.0,1.0,1.0,9.0,33.0,2.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,377.0,85.0,186.0,118.0,101.0
8,9,South Side,31,49.0,9.0,9.0,47.0,19.0,35.0,1247.0,62.0,38.0,10.0,2290.0,20.0,73.0,113.0,0.0,5.0,0.0,7.0,20.0,0.0,1.0,0.0,0.0,3.0,24.0,2.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,192.0,6.0,18.0,175.0,72.0
9,10,Shadyside,15,32.0,6.0,6.0,72.0,11.0,137.0,2677.0,38.0,112.0,12.0,1745.0,171.0,98.0,390.0,0.0,19.0,0.0,13.0,63.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,32.0,165.0,27.0,20.0
