,District,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
0,Pittsburgh Chateau Area,65.0,93.0,75.5,112.5,66.5,5.5,17.0,97.0,23.0,10.5,4.5,751.0,9.5,22.5,54.0,0.5,4.0,0.0,2.0,18.5,1.5,1.0,0.5,0.0,6.0,12.0,0.0,87.0,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,34.5,3.5,8.5,108.0,54.5
1,Pittsburgh Lower North Side,93.0,84.0,124.5,61.5,145.5,8.0,25.0,160.0,43.0,24.5,8.0,817.5,21.0,68.0,145.5,1.0,9.0,0.5,3.0,29.0,2.0,1.0,0.5,0.0,9.0,19.0,1.0,80.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,57.5,10.5,18.5,140.5,77.0
2,Pittsburgh Upper North Side,75.5,124.5,64.0,67.5,149.0,3.5,8.0,139.5,19.5,10.5,2.5,1439.0,10.0,52.0,64.0,0.0,2.0,0.0,0.5,7.5,0.0,0.0,0.0,0.0,1.5,4.5,0.0,78.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,7.0,55.5,40.5
3,Allegheny County Northwest,112.5,61.5,67.5,343.0,134.5,3.5,7.5,98.5,12.0,7.0,2.0,1384.5,5.5,31.0,32.0,0.0,1.5,0.0,1.0,7.5,0.5,0.0,0.0,0.0,1.0,4.5,0.0,201.0,0.0,0.0,28.5,162.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,38.0,2.0,4.5,55.5,31.5
4,Allegheny County North (remainder),66.5,145.5,149.0,134.5,1357.0,10.0,41.0,465.5,34.5,73.5,9.5,3525.5,104.5,104.5,303.5,0.5,50.5,2.0,12.0,55.5,2.5,0.5,0.0,0.0,7.0,11.0,0.0,67.0,7.0,5.0,3.5,9.5,24.5,0.0,0.0,0.0,0.0,0.0,235.0,99.5,79.5,143.5,99.0,44.0
5,Hazelwood,5.5,8.0,3.5,3.5,10.0,29.0,48.5,278.0,33.0,16.0,26.0,623.0,11.0,10.0,25.0,9.0,4.0,0.0,3.5,24.0,1.0,6.0,2.0,0.5,19.0,21.0,2.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,36.0,3.0,12.5,36.5,17.5
6,Squirrel Hill,17.0,25.0,8.0,7.5,41.0,48.5,215.0,2193.5,62.5,208.0,74.5,1843.5,130.0,44.5,225.5,3.5,28.5,0.5,16.5,175.5,7.5,7.0,1.0,0.0,47.5,15.5,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,147.5,38.0,162.5,51.5,29.0
7,Oakland,97.0,160.0,139.5,98.5,465.5,278.0,2193.5,2438.0,732.0,1512.0,176.0,2276.5,631.0,138.0,2089.5,23.5,339.5,23.0,109.0,1348.5,84.0,36.0,11.0,1.0,261.5,241.5,8.5,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.5,438.0,581.0,1012.5,829.5,462.0
8,South Side,23.0,43.0,19.5,12.0,34.5,33.0,62.5,732.0,62.0,38.0,19.5,1168.0,22.0,42.0,108.0,3.0,8.0,0.5,6.5,49.0,2.5,9.5,2.5,0.5,17.0,48.5,5.5,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,121.0,7.5,23.0,284.5,65.0
9,Shadyside,10.5,24.5,10.5,7.0,73.5,16.0,208.0,1512.0,38.0,112.0,17.0,946.0,165.0,56.5,361.5,1.0,44.0,1.0,12.5,173.5,4.5,3.0,0.5,0.0,13.0,10.0,0.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,94.5,113.5,221.5,39.5,22.5
