,District,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles
0,Pittsburgh Chateau Area,16.0,2.5,0.5
1,Pittsburgh Lower North Side,24.0,6.0,0.5
2,Pittsburgh Upper North Side,4.5,4.0,0.0
3,Allegheny County Northwest,5.0,2.0,0.0
4,Allegheny County North (remainder),46.5,9.5,1.0
5,Hazelwood,47.0,15.5,17.0
6,Squirrel Hill,189.0,97.5,12.0
7,Oakland,1488.0,227.5,66.5
8,South Side,48.5,13.0,11.0
9,Shadyside,137.5,38.5,5.0
10,Waterfront (West Homestead Homestead Munhall(part)),81.5,57.0,22.5
11,Downtown,2357.5,350.0,94.0
12,East Liberty,164.0,41.0,4.0
13,Strip District,77.0,9.0,2.0
14,Pittsburgh East (remainder),192.5,49.5,7.0
15,Hays Lincoln Place,2.0,1.5,2.0
16,Verona Oakmont Penn Hills,122.0,67.5,9.5
17,Plum Borough,17.5,2.0,0.5
18,Monroeville Pitcairn Turtle Creek,185.0,86.5,44.0
19,Wilkinsburg Wilkins Braddock and vicinity,477.5,397.0,55.0
20,Wilmerding Wall North Versailles,78.5,62.0,44.0
21,McKeesport White Oak,40.0,32.5,92.0
22,Lincoln Liberty Port Vue,4.0,3.0,12.0
23,Elizabeth Forward South Versailles,0.5,0.5,10.0
24,Munhall Whitaker Duquesne,59.5,67.0,52.0
25,Baldwin Brentwood Whitehall West Mifflin,15.5,9.5,47.5
26,Allegheny County Southeast (remainder),7.0,5.5,18.0
27,Allegheny County West,17.0,4.5,2.0
28,Armstrong County East,0.0,0.0,0.0
29,Armstrong County West,0.0,0.0,0.0
30,Beaver County South,0.0,0.0,0.0
31,Beaver County North,0.0,0.0,0.0
32,Butler County,0.0,0.0,0.0
33,Fayette County,0.0,0.0,0.0
34,Greene County,0.0,0.0,0.0
35,Indiana County,0.0,0.0,0.0
36,Lawrence County,0.0,0.0,0.0
37,Washington County,4.0,2.0,3.0
38,Westmoreland County,76.0,22.0,23.5
39,Midtown/Uptown,176.0,28.5,13.5
40,Highland Park,32.0,11.0,1.0
41,Homewood/Lincoln-Lemington,271.5,93.0,8.0
42,Pittsburgh Southwest (remainder),42.0,19.5,6.5
43,Allegheny County Southcentral,23.0,6.0,5.0
