Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
589,398.0,188.0,101.0,176.0,26.0,17.0,174.0,88.0,13.0,3.0,625.0,12.0,63.0,90.0,1.0,1.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,267.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,3.0,9.0,241.0,136.0
226,429.0,114.0,21.0,93.0,17.0,10.0,102.0,63.0,11.0,2.0,441.0,15.0,48.0,81.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,3.0,10.0,113.0,58.0
936,1002.0,770.0,304.0,897.0,66.0,48.0,627.0,222.0,54.0,11.0,2418.0,56.0,250.0,383.0,1.0,11.0,0.0,8.0,24.0,2.0,0.0,0.0,0.0,3.0,17.0,0.0,649.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,334.0,10.0,38.0,494.0,254.0
1027,720.0,502.0,7611.0,2488.0,68.0,54.0,589.0,244.0,39.0,10.0,1491.0,38.0,159.0,264.0,3.0,7.0,0.0,4.0,26.0,0.0,0.0,0.0,0.0,3.0,18.0,1.0,4889.0,0.0,0.0,131.0,325.0,78.0,0.0,0.0,0.0,0.0,49.0,0.0,271.0,7.0,28.0,759.0,502.0
3119,4373.0,2916.0,4026.0,118407.0,469.0,842.0,7554.0,1219.0,1065.0,88.0,14250.0,1844.0,1755.0,6079.0,8.0,1864.0,301.0,754.0,606.0,44.0,6.0,0.0,0.0,34.0,37.0,0.0,4489.0,24.0,65.0,80.0,304.0,3112.0,0.0,0.0,0.0,0.0,8.0,1566.0,2060.0,489.0,2722.0,2195.0,1153.0
63,89.0,26.0,9.0,62.0,1641.0,247.0,1042.0,276.0,84.0,88.0,517.0,69.0,43.0,160.0,22.0,17.0,1.0,16.0,85.0,6.0,5.0,1.0,1.0,20.0,73.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,163.0,10.0,61.0,137.0,58.0
231,285.0,109.0,28.0,348.0,921.0,2142.0,3104.0,616.0,636.0,232.0,1296.0,558.0,160.0,1051.0,16.0,122.0,6.0,84.0,618.0,22.0,15.0,1.0,0.0,61.0,67.0,9.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,389.0,71.0,545.0,348.0,161.0
83,110.0,45.0,8.0,86.0,179.0,145.0,2199.0,248.0,95.0,23.0,511.0,69.0,52.0,288.0,1.0,12.0,1.0,11.0,48.0,1.0,2.0,1.0,0.0,6.0,10.0,3.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,198.0,8.0,56.0,124.0,60.0
114,154.0,51.0,12.0,67.0,146.0,66.0,598.0,902.0,32.0,21.0,846.0,27.0,66.0,155.0,4.0,6.0,0.0,7.0,28.0,2.0,2.0,1.0,0.0,8.0,40.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,279.0,3.0,21.0,409.0,121.0
69,115.0,61.0,6.0,178.0,121.0,257.0,1102.0,122.0,537.0,24.0,334.0,321.0,77.0,720.0,2.0,40.0,2.0,18.0,106.0,4.0,3.0,0.0,0.0,6.0,13.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,104.0,41.0,197.0,80.0,38.0
