Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
607,414.0,190.0,108.0,183.0,27.0,19.0,187.0,91.0,13.0,3.0,745.0,12.0,66.0,94.0,1.0,1.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,278.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,107.0,3.0,9.0,254.0,144.0
234,445.0,116.0,23.0,97.0,18.0,10.0,111.0,67.0,11.0,2.0,526.0,15.0,49.0,85.0,0.0,5.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,79.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0,3.0,12.0,119.0,62.0
968,1041.0,791.0,315.0,937.0,67.0,50.0,672.0,234.0,58.0,11.0,2864.0,61.0,269.0,397.0,1.0,12.0,0.0,8.0,26.0,2.0,0.0,0.0,0.0,3.0,17.0,0.0,679.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,352.0,10.0,40.0,522.0,267.0
1065,763.0,528.0,7845.0,2616.0,71.0,60.0,646.0,260.0,42.0,10.0,1954.0,41.0,172.0,279.0,4.0,7.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,3.0,20.0,1.0,5135.0,0.0,0.0,139.0,338.0,84.0,0.0,0.0,0.0,0.0,56.0,0.0,294.0,8.0,30.0,809.0,536.0
3296,4685.0,3076.0,4224.0,122692.0,499.0,902.0,8188.0,1295.0,1128.0,95.0,18765.0,1955.0,1891.0,6426.0,9.0,1972.0,317.0,821.0,668.0,47.0,8.0,0.0,0.0,41.0,38.0,0.0,4840.0,27.0,72.0,88.0,329.0,3301.0,0.0,0.0,0.0,0.0,8.0,1635.0,2239.0,520.0,2866.0,2399.0,1242.0
66,94.0,28.0,9.0,66.0,1683.0,255.0,1096.0,286.0,89.0,91.0,617.0,72.0,45.0,167.0,23.0,18.0,1.0,16.0,88.0,7.0,6.0,1.0,1.0,20.0,77.0,7.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,173.0,10.0,65.0,145.0,61.0
243,303.0,112.0,30.0,365.0,954.0,2197.0,3257.0,639.0,655.0,240.0,1568.0,579.0,168.0,1089.0,16.0,126.0,6.0,89.0,641.0,22.0,17.0,1.0,0.0,64.0,68.0,10.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,411.0,74.0,562.0,372.0,171.0
88,116.0,47.0,9.0,91.0,186.0,149.0,2301.0,261.0,102.0,25.0,623.0,71.0,54.0,300.0,1.0,12.0,1.0,11.0,52.0,1.0,2.0,1.0,0.0,8.0,10.0,3.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,210.0,8.0,58.0,129.0,61.0
118,161.0,53.0,13.0,71.0,151.0,72.0,631.0,925.0,33.0,23.0,996.0,27.0,70.0,164.0,4.0,7.0,0.0,7.0,29.0,2.0,3.0,1.0,0.0,8.0,44.0,1.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,295.0,3.0,22.0,429.0,126.0
75,119.0,63.0,6.0,187.0,125.0,266.0,1157.0,128.0,551.0,26.0,401.0,332.0,82.0,742.0,2.0,41.0,2.0,18.0,111.0,4.0,4.0,0.0,0.0,7.0,13.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,111.0,43.0,204.0,85.0,39.0
35,48.0,16.0,5.0,45.0,253.0,143.0,383.0,141.0,46.0,671.0,264.0,42.0,19.0,86.0,32.0,25.0,2.0,44.0,224.0,24.0,22.0,2.0,1.0,127.0,106.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,64.0,6.0,48.0,125.0,59.0
60,102.0,37.0,7.0,34.0,15.0,9.0,82.0,64.0,8.0,4.0,1039.0,6.0,42.0,53.0,3.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,1.0,5.0,61.0,35.0
30,54.0,27.0,4.0,134.0,41.0,91.0,303.0,43.0,111.0,10.0,148.0,306.0,31.0,282.0,2.0,28.0,1.0,11.0,53.0,1.0,2.0,0.0,0.0,2.0,6.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,41.0,139.0,34.0,15.0
29,49.0,24.0,1.0,28.0,7.0,5.0,59.0,22.0,7.0,2.0,178.0,7.0,54.0,53.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,6.0,31.0,14.0
293,505.0,265.0,38.0,809.0,188.0,366.0,2904.0,340.0,578.0,36.0,1951.0,657.0,333.0,3074.0,6.0,87.0,3.0,26.0,157.0,11.0,4.0,0.0,0.0,13.0,19.0,1.0,137.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,536.0,136.0,362.0,309.0,149.0
