Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
3,4.0,2.0,3.0,4.0,1.0,1.0,29.0,1.0,1.0,0.0,138.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,5.0,4.0
13,9.0,7.0,3.0,27.0,3.0,6.0,99.0,10.0,8.0,2.0,325.0,6.0,24.0,23.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,2.0,5.0,22.0,17.0
4,5.0,3.0,3.0,12.0,1.0,1.0,11.0,2.0,1.0,0.0,25.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,4.0
4,3.0,3.0,20.0,12.0,0.0,1.0,6.0,1.0,0.0,0.0,39.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0
2,3.0,2.0,4.0,71.0,1.0,2.0,10.0,2.0,2.0,1.0,72.0,3.0,7.0,11.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,2.0,8.0,4.0,3.0
1,1.0,0.0,0.0,2.0,0.0,6.0,84.0,7.0,2.0,4.0,35.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,4.0,3.0
1,2.0,0.0,1.0,5.0,6.0,58.0,622.0,7.0,39.0,9.0,303.0,43.0,9.0,22.0,0.0,3.0,0.0,4.0,23.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,8.0,30.0,4.0,4.0
13,27.0,8.0,15.0,79.0,63.0,532.0,3256.0,127.0,617.0,39.0,2017.0,335.0,162.0,531.0,1.0,23.0,1.0,34.0,176.0,15.0,5.0,1.0,1.0,15.0,19.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,613.0,104.0,228.0,59.0,64.0
4,7.0,3.0,3.0,12.0,10.0,20.0,483.0,2.0,16.0,4.0,458.0,10.0,19.0,23.0,1.0,2.0,0.0,3.0,7.0,1.0,1.0,0.0,0.0,2.0,8.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,113.0,3.0,7.0,29.0,16.0
1,2.0,1.0,1.0,15.0,3.0,57.0,823.0,5.0,35.0,2.0,300.0,134.0,13.0,25.0,0.0,4.0,0.0,3.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,44.0,66.0,4.0,4.0
