,52L,53L,57,59,61C,61D,64
d1-11,0,0,0,0,0,0,0
d2-11,0,0,0,0,0,0,0
d3-11,0,0,0,0,0,0,0
d4-11,0,0,0,0,0,0,0
d5-11,0,0,0,0,0,0,0
d6-11,24,55,62,0,114,135,36
d7-11,24,55,62,0,114,135,36
d8-11,0,0,62,0,114,135,0
d9-11,0,0,0,0,0,0,0
d10-11,0,0,0,0,0,0,36
d11-11,24,55,62,38,114,135,36
d12-11,24,55,62,0,114,135,0
d13-11,0,0,0,0,0,0,0
d14-11,0,0,0,0,0,0,0
d15-11,0,0,0,0,0,0,36
d16-11,0,55,0,0,0,0,0
d17-11,0,0,0,0,0,0,0
d18-11,0,0,0,0,0,0,0
d19-11,0,0,0,38,0,0,0
d20-11,0,0,0,38,0,0,0
d21-11,0,0,0,38,0,0,0
d22-11,0,0,0,38,114,0,0
d23-11,0,0,0,38,0,0,0
d24-11,0,0,0,0,0,0,0
d25-11,24,55,0,38,114,0,0
d26-11,0,55,0,38,0,0,0
d27-11,0,0,0,0,0,0,0
d28-11,0,0,0,0,0,0,0
d29-11,0,0,0,0,0,0,0
d30-11,0,0,0,0,0,0,0
d31-11,0,0,0,0,0,0,0
d32-11,0,0,0,0,0,0,0
d33-11,0,0,0,0,0,0,0
d34-11,0,0,0,0,0,0,0
d35-11,0,0,0,0,0,0,0
d36-11,0,0,0,0,0,0,0
d37-11,0,0,0,0,0,0,0
d38-11,0,0,0,0,0,0,0
d39-11,0,0,0,0,0,0,0
d40-11,24,55,62,0,114,135,0
d41-11,0,0,0,0,0,0,0
d42-11,0,0,0,0,0,0,36
d43-11,0,0,0,0,0,0,0
d44-11,0,0,0,0,0,0,0
