,74,77,79,P16,P17,P78
d1-17,0,0,0,0,0,0
d2-17,0,0,0,0,0,0
d3-17,0,0,0,0,0,0
d4-17,0,0,0,0,0,0
d5-17,0,0,0,28,0,50
d6-17,0,0,0,0,0,0
d7-17,55,0,0,0,0,0
d8-17,0,0,0,0,0,0
d9-17,0,0,0,0,0,0
d10-17,55,67,0,28,14,50
d11-17,0,0,0,0,0,0
d12-17,0,67,0,28,14,50
d13-17,55,67,0,28,14,50
d14-17,0,0,0,0,0,0
d15-17,0,67,0,28,14,50
d16-17,0,0,0,0,0,0
d17-17,55,67,78,28,14,50
d18-17,0,67,0,28,0,0
d19-17,0,67,0,0,0,0
d20-17,0,0,78,28,0,50
d21-17,0,0,0,0,0,0
d22-17,0,0,0,0,0,0
d23-17,0,0,0,0,0,0
d24-17,0,0,0,0,0,0
d25-17,0,0,0,0,0,0
d26-17,0,0,0,0,0,0
d27-17,0,0,0,0,0,0
d28-17,0,0,0,0,0,0
d29-17,0,0,0,0,0,0
d30-17,0,0,0,0,0,0
d31-17,0,0,0,0,0,0
d32-17,0,0,0,0,0,0
d33-17,0,0,0,0,0,0
d34-17,0,0,0,0,0,0
d35-17,0,0,0,0,0,0
d36-17,0,0,0,0,0,0
d37-17,0,0,0,0,0,0
d38-17,0,0,0,0,0,0
d39-17,0,0,0,0,0,0
d40-17,0,0,0,0,0,0
d41-17,0,0,0,0,0,0
d42-17,55,67,78,28,14,50
d43-17,0,0,0,0,0,0
d44-17,0,0,0,0,0,0
