,77,P12,P16
d1-18,0,0,0
d2-18,0,0,0
d3-18,0,0,0
d4-18,0,0,0
d5-18,0,0,28
d6-18,0,0,0
d7-18,0,0,0
d8-18,0,0,0
d9-18,0,0,0
d10-18,67,38,28
d11-18,0,0,0
d12-18,67,38,28
d13-18,67,38,28
d14-18,0,0,0
d15-18,67,38,28
d16-18,0,0,0
d17-18,67,0,28
d18-18,67,38,28
d19-18,67,38,0
d20-18,0,38,28
d21-18,0,0,0
d22-18,0,0,0
d23-18,0,0,0
d24-18,0,0,0
d25-18,0,0,0
d26-18,0,0,0
d27-18,0,0,0
d28-18,0,0,0
d29-18,0,0,0
d30-18,0,0,0
d31-18,0,0,0
d32-18,0,0,0
d33-18,0,0,0
d34-18,0,0,0
d35-18,0,0,0
d36-18,0,0,0
d37-18,0,0,0
d38-18,0,0,0
d39-18,0,0,0
d40-18,0,0,0
d41-18,0,0,0
d42-18,67,38,28
d43-18,0,0,0
d44-18,0,0,0
