,59,67,69,77,P12,P67,P68,P69
d1-19,0,0,0,0,0,0,0,0
d2-19,0,0,0,0,0,0,0,0
d3-19,0,0,0,0,0,0,0,0
d4-19,0,0,0,0,0,0,0,0
d5-19,0,0,0,0,0,0,0,0
d6-19,0,0,0,0,0,0,0,0
d7-19,0,59,49,0,0,0,0,0
d8-19,0,59,49,0,0,0,0,0
d9-19,0,0,0,0,0,0,0,0
d10-19,0,0,0,67,38,19,49,12
d11-19,38,0,0,0,0,0,0,0
d12-19,0,59,49,67,38,19,49,12
d13-19,0,0,0,67,38,19,49,12
d14-19,0,0,0,0,0,0,0,0
d15-19,0,0,0,67,38,19,49,12
d16-19,0,0,0,0,0,0,0,0
d17-19,0,0,0,67,0,0,0,0
d18-19,0,0,0,67,38,0,0,0
d19-19,38,59,49,67,38,19,49,12
d20-19,38,59,49,0,38,19,49,12
d21-19,38,0,49,0,0,0,49,12
d22-19,38,0,0,0,0,0,0,0
d23-19,38,0,0,0,0,0,0,0
d24-19,0,0,0,0,0,0,0,0
d25-19,38,0,0,0,0,0,0,0
d26-19,38,0,0,0,0,0,0,0
d27-19,0,0,0,0,0,0,0,0
d28-19,0,0,0,0,0,0,0,0
d29-19,0,0,0,0,0,0,0,0
d30-19,0,0,0,0,0,0,0,0
d31-19,0,0,0,0,0,0,0,0
d32-19,0,0,0,0,0,0,0,0
d33-19,0,0,0,0,0,0,0,0
d34-19,0,0,0,0,0,0,0,0
d35-19,0,0,0,0,0,0,0,0
d36-19,0,0,0,0,0,0,0,0
d37-19,0,0,0,0,0,0,0,0
d38-19,0,0,0,0,0,0,0,0
d39-19,0,0,49,0,0,0,0,12
d40-19,0,59,49,0,0,0,0,0
d41-19,0,0,0,0,0,0,0,0
d42-19,0,59,49,67,38,19,49,12
d43-19,0,0,0,0,0,0,0,0
d44-19,0,0,0,0,0,0,0,0
