,59,61A,61B,67,69,71,71C,71D,79,86,P1,P12,P16,P2,P3,P67,P68,P69,P7,P71,P76,P78
d1-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d4-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5-20,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,50
d6-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d7-20,0,110,114,59,49,14,0,131,0,0,0,0,0,0,0,0,0,0,0,30,0,0
d8-20,0,110,114,59,49,0,122,131,0,0,0,0,0,0,113,0,0,0,0,0,0,0
d9-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d10-20,0,0,0,0,0,0,122,131,0,86,260,38,28,42,113,19,49,12,29,30,34,50
d11-20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d12-20,0,110,114,59,49,0,122,131,0,86,260,38,28,42,0,19,49,12,29,30,34,50
d13-20,0,0,0,0,0,0,122,131,0,86,260,38,28,42,113,19,49,12,29,30,34,50
d14-20,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
d15-20,0,0,0,0,0,0,122,0,0,86,260,38,28,42,113,19,49,12,29,30,34,50
d16-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d17-20,0,0,0,0,0,0,0,0,78,0,0,0,28,0,0,0,0,0,0,0,0,50
d18-20,0,0,0,0,0,0,0,0,0,0,0,38,28,0,0,0,0,0,0,0,0,0
d19-20,38,0,0,59,49,0,0,0,0,0,0,38,0,0,0,19,49,12,0,0,0,0
d20-20,38,110,114,59,49,14,122,131,78,86,260,38,28,42,113,19,49,12,29,30,34,50
d21-20,38,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,49,12,0,0,34,0
d22-20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,34,0
d23-20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d24-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d25-20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
d26-20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d27-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d28-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d29-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d30-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d31-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d32-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d33-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d34-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d35-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d36-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d37-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d38-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d39-20,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
d40-20,0,110,114,59,49,0,122,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d41-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d42-20,0,110,114,59,49,14,122,131,78,86,260,38,28,42,113,19,49,12,29,30,34,50
d43-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d44-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
