,55,56,59,60,61C,P7,P76
d1-22,0,0,0,0,0,0,0
d2-22,0,0,0,0,0,0,0
d3-22,0,0,0,0,0,0,0
d4-22,0,0,0,0,0,0,0
d5-22,0,0,0,0,0,0,0
d6-22,0,60,0,0,114,0,0
d7-22,0,0,0,0,114,0,0
d8-22,0,60,0,0,114,0,0
d9-22,0,0,0,0,0,0,0
d10-22,0,0,0,0,0,29,34
d11-22,0,0,38,0,114,0,0
d12-22,0,60,0,0,114,29,34
d13-22,0,0,0,0,0,29,34
d14-22,0,0,0,0,0,0,0
d15-22,0,0,0,0,0,29,34
d16-22,0,60,0,0,0,0,0
d17-22,0,0,0,0,0,0,0
d18-22,0,0,0,0,0,0,0
d19-22,0,0,38,0,0,0,0
d20-22,0,0,38,0,0,29,34
d21-22,36,0,38,0,0,0,34
d22-22,36,60,38,30,114,29,34
d23-22,36,60,38,0,0,0,0
d24-22,0,0,0,0,0,0,0
d25-22,0,60,38,0,114,29,0
d26-22,36,60,38,0,0,0,0
d27-22,36,0,0,0,0,0,0
d28-22,0,0,0,0,0,0,0
d29-22,0,0,0,0,0,0,0
d30-22,0,0,0,0,0,0,0
d31-22,0,0,0,0,0,0,0
d32-22,0,0,0,0,0,0,0
d33-22,0,0,0,0,0,0,0
d34-22,0,0,0,0,0,0,0
d35-22,0,0,0,0,0,0,0
d36-22,0,0,0,0,0,0,0
d37-22,0,0,0,0,0,0,0
d38-22,0,0,0,0,0,0,0
d39-22,0,0,0,0,0,0,0
d40-22,0,60,0,0,114,0,0
d41-22,0,0,0,0,0,0,0
d42-22,0,0,0,0,0,29,34
d43-22,0,0,0,0,0,0,0
d44-22,0,0,0,0,0,0,0
