,55,56,59
d1-23,0,0,0
d2-23,0,0,0
d3-23,0,0,0
d4-23,0,0,0
d5-23,0,0,0
d6-23,0,60,0
d7-23,0,0,0
d8-23,0,60,0
d9-23,0,0,0
d10-23,0,0,0
d11-23,0,0,38
d12-23,0,60,0
d13-23,0,0,0
d14-23,0,0,0
d15-23,0,0,0
d16-23,0,60,0
d17-23,0,0,0
d18-23,0,0,0
d19-23,0,0,38
d20-23,0,0,38
d21-23,36,0,38
d22-23,36,60,38
d23-23,36,60,38
d24-23,0,0,0
d25-23,0,60,38
d26-23,36,60,38
d27-23,36,0,0
d28-23,0,0,0
d29-23,0,0,0
d30-23,0,0,0
d31-23,0,0,0
d32-23,0,0,0
d33-23,0,0,0
d34-23,0,0,0
d35-23,0,0,0
d36-23,0,0,0
d37-23,0,0,0
d38-23,0,0,0
d39-23,0,0,0
d40-23,0,60,0
d41-23,0,0,0
d42-23,0,0,0
d43-23,0,0,0
d44-23,0,0,0
