,52L,53L,56,59,61C,P7
d1-25,0,0,0,0,0,0
d2-25,0,0,0,0,0,0
d3-25,0,0,0,0,0,0
d4-25,0,0,0,0,0,0
d5-25,0,0,0,0,0,0
d6-25,24,55,60,0,114,0
d7-25,24,55,0,0,114,0
d8-25,0,0,60,0,114,0
d9-25,0,0,0,0,0,0
d10-25,0,0,0,0,0,29
d11-25,24,55,0,38,114,0
d12-25,24,55,60,0,114,29
d13-25,0,0,0,0,0,29
d14-25,0,0,0,0,0,0
d15-25,0,0,0,0,0,29
d16-25,0,55,60,0,0,0
d17-25,0,0,0,0,0,0
d18-25,0,0,0,0,0,0
d19-25,0,0,0,38,0,0
d20-25,0,0,0,38,0,29
d21-25,0,0,0,38,0,0
d22-25,0,0,60,38,114,29
d23-25,0,0,60,38,0,0
d24-25,0,0,0,0,0,0
d25-25,24,55,60,38,114,29
d26-25,0,55,60,38,0,0
d27-25,0,0,0,0,0,0
d28-25,0,0,0,0,0,0
d29-25,0,0,0,0,0,0
d30-25,0,0,0,0,0,0
d31-25,0,0,0,0,0,0
d32-25,0,0,0,0,0,0
d33-25,0,0,0,0,0,0
d34-25,0,0,0,0,0,0
d35-25,0,0,0,0,0,0
d36-25,0,0,0,0,0,0
d37-25,0,0,0,0,0,0
d38-25,0,0,0,0,0,0
d39-25,0,0,0,0,0,0
d40-25,24,55,60,0,114,0
d41-25,0,0,0,0,0,0
d42-25,0,0,0,0,0,29
d43-25,0,0,0,0,0,0
d44-25,0,0,0,0,0,0
