,route,dist_from,fromDistName,dist_to,toDistName,SPC_20,SPC_45,APC_19_curr,APC_45_proj
0,14,1,Pittsburgh Chateau Area,1,Pittsburgh Chateau Area,5.6923076923076925,6.568047337278105,50.316563946669135,58.057573784618214
88,14,3,Pittsburgh Upper North Side,1,Pittsburgh Chateau Area,21.568720379146924,22.796208530805686,190.6544686036113,201.50472291438587
132,14,4,Allegheny County Northwest,1,Pittsburgh Chateau Area,40.612794612794616,43.35353535353536,358.99258923566293,383.21908298776293
1364,14,32,Beaver County North,1,Pittsburgh Chateau Area,6.0,7.0,53.03637821405665,61.87577458306609
0,16,1,Pittsburgh Chateau Area,1,Pittsburgh Chateau Area,10.692307692307693,12.337278106508874,9.347906652692947,10.786046137722629
44,16,2,Pittsburgh Lower North Side,1,Pittsburgh Chateau Area,16.045395590142668,16.045395590142668,14.02792217531224,14.02792217531224
88,16,3,Pittsburgh Upper North Side,1,Pittsburgh Chateau Area,40.514218009478675,42.81990521327013,35.42014866743133,37.43592948590302
132,16,4,Allegheny County Northwest,1,Pittsburgh Chateau Area,76.28619528619528,81.43434343434343,66.69432389581263,71.19516783970182
484,16,12,Downtown,1,Pittsburgh Chateau Area,14.308823529411766,17.282085561497333,12.509698608750854,15.109116501478308
0,13,1,Pittsburgh Chateau Area,1,Pittsburgh Chateau Area,6.461538461538463,7.455621301775147,19.26897406265845,22.233431610759745
44,13,2,Pittsburgh Lower North Side,1,Pittsburgh Chateau Area,9.696498054474707,9.696498054474707,28.915957186116497,28.915957186116497
88,13,3,Pittsburgh Upper North Side,1,Pittsburgh Chateau Area,24.48341232227488,25.876777251184826,73.01206048860392,77.1672184025895
132,13,4,Allegheny County Northwest,1,Pittsburgh Chateau Area,46.101010101010104,49.21212121212122,137.477966460516,146.75562063883305
176,13,5,Allegheny County North (remainder),1,Pittsburgh Chateau Area,34.72000000000001,36.960000000000015,103.5386206300181,110.21853163840636
484,13,12,Downtown,1,Pittsburgh Chateau Area,8.647058823529411,10.44385026737968,25.786421172087035,31.144638558494737
0,18,1,Pittsburgh Chateau Area,1,Pittsburgh Chateau Area,1.7692307692307692,2.041420118343195,28.39263485477178,32.76073252473666
44,18,2,Pittsburgh Lower North Side,1,Pittsburgh Chateau Area,2.6549935149156942,2.6549935149156942,42.60736514522822,42.60736514522822
0,17,1,Pittsburgh Chateau Area,1,Pittsburgh Chateau Area,5.0769230769230775,5.857988165680473,35.45794722078018,40.913016023977114
44,17,2,Pittsburgh Lower North Side,1,Pittsburgh Chateau Area,7.618677042801558,7.618677042801558,53.20991560887506,53.20991560887506
88,17,3,Pittsburgh Upper North Side,1,Pittsburgh Chateau Area,19.23696682464455,20.331753554502367,134.35369100954384,141.9998360263471
176,17,5,Allegheny County North (remainder),1,Pittsburgh Chateau Area,27.28,29.04,190.52736973299213,202.81945810286257
484,17,12,Downtown,1,Pittsburgh Chateau Area,6.794117647058824,8.20588235294118,47.45107642780877,57.31104036085996
0,RED,1,Pittsburgh Chateau Area,1,Pittsburgh Chateau Area,12.0,13.846153846153843,0.0,0.0
44,RED,2,Pittsburgh Lower North Side,1,Pittsburgh Chateau Area,18.007782101167315,18.007782101167315,0.0,0.0
484,RED,12,Downtown,1,Pittsburgh Chateau Area,16.058823529411768,19.3957219251337,0.0,0.0
1848,RED,43,Pittsburgh Southwest (remainder),1,Pittsburgh Chateau Area,63.18,64.74000000000002,0.0,0.0
1892,RED,44,Allegheny County Southcentral,1,Pittsburgh Chateau Area,24.57,24.959999999999997,0.0,0.0
0,15,1,Pittsburgh Chateau Area,1,Pittsburgh Chateau Area,4.538461538461538,5.236686390532543,1.7038142194084056,1.965939483932775
44,15,2,Pittsburgh Lower North Side,1,Pittsburgh Chateau Area,6.810635538261996,6.810635538261996,2.556826266998087,2.556826266998087
88,15,3,Pittsburgh Upper North Side,1,Pittsburgh Chateau Area,17.196682464454977,18.175355450236964,6.455921651265499,6.82333182654077
484,15,12,Downtown,1,Pittsburgh Chateau Area,6.0735294117647065,7.335561497326205,2.280104323031837,2.7538922343111802
572,15,14,Strip District,1,Pittsburgh Chateau Area,8.0,16.0,3.0033335392961726,6.006667078592345
45,8,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,8.744868035190617,8.848973607038126,27.208583586393644,27.532495295755478
46,8,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,5.2081984897518865,5.667745415318229,16.204670370403647,17.634494226615733
48,8,2,Pittsburgh Lower North Side,5,Allegheny County North (remainder),33.02325581395349,32.19767441860465,102.74780734175229,100.17911215820848
55,8,2,Pittsburgh Lower North Side,12,Downtown,176.718826405868,258.6552567237165,549.8389387014505,804.7740851327716
45,2,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,3.2639296187683287,3.3027859237536665,2.9319594381889704,2.96686371721503
46,2,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,1.9439050701186624,2.1154261057173676,1.7461929278452213,1.9002687744197995
48,2,2,Pittsburgh Lower North Side,5,Allegheny County North (remainder),12.325581395348838,12.017441860465116,11.071961998033652,10.79516294808281
55,2,2,Pittsburgh Lower North Side,12,Downtown,65.95843520782395,96.54034229828852,59.24988563593216,86.72134538068659
45,6,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,3.879765395894428,3.925953079178886,7.834294924971166,7.927560340744634
46,6,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,2.3106796116504853,2.5145631067961163,4.665886647152396,5.077582527783489
55,6,2,Pittsburgh Lower North Side,12,Downtown,78.40342298288509,114.75550122249392,158.3177012262569,231.72237212880435
57,6,2,Pittsburgh Lower North Side,14,Strip District,21.88023952095808,30.556886227544904,44.18211720161954,61.7026119539859
44,15,2,Pittsburgh Lower North Side,1,Pittsburgh Chateau Area,6.810635538261996,6.810635538261996,17.965715915571415,17.965715915571415
45,15,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,3.6334310850439886,3.6766862170087986,9.58459607858634,9.698698412855228
46,15,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,2.1639697950377563,2.354908306364617,5.708316994664305,6.211992023605272
55,15,2,Pittsburgh Lower North Side,12,Downtown,73.42542787286064,107.46943765281176,193.68829395321367,283.4926895778865
57,15,2,Pittsburgh Lower North Side,14,Strip District,20.491017964071855,28.61676646706586,54.053077057964245,75.4879179602604
45,7,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,0.7390029325513198,0.7478005865102642,0.6645774726561666,0.6724891092354068
46,7,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,0.44012944983818775,0.4789644012944984,0.39580373031158345,0.43072758886848783
48,7,2,Pittsburgh Lower North Side,5,Allegheny County North (remainder),2.7906976744186047,2.7209302325581395,2.509644719554294,2.446903601565437
55,7,2,Pittsburgh Lower North Side,12,Downtown,14.93398533007335,21.85819070904646,13.429974077477956,19.65683828628896
45,12,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,2.7712609970674484,2.80425219941349,4.964784648666655,5.02388922781745
46,12,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,1.6504854368932038,1.7961165048543688,2.956886691151241,3.2177884580175267
48,12,2,Pittsburgh Lower North Side,5,Allegheny County North (remainder),10.465116279069766,10.203488372093021,18.748522316670314,18.279809258753556
55,12,2,Pittsburgh Lower North Side,12,Downtown,56.00244498777506,81.96821515892422,100.32980634351179,146.84814484462927
44,16,2,Pittsburgh Lower North Side,1,Pittsburgh Chateau Area,16.045395590142668,16.045395590142668,41.211033185122275,41.211033185122275
45,16,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,8.560117302052786,8.662023460410559,21.985826165617155,22.247562191398316
46,16,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,5.098166127292341,5.548004314994606,13.094142321064636,14.249507819982103
47,16,2,Pittsburgh Lower North Side,4,Allegheny County Northwest,8.72645739910314,9.349775784753364,22.413054476757697,24.013986939383248
55,16,2,Pittsburgh Lower North Side,12,Downtown,172.98533007334962,253.1907090464548,444.29594385143827,650.2956349102585
44,18,2,Pittsburgh Lower North Side,1,Pittsburgh Chateau Area,2.6549935149156942,2.6549935149156942,3.912634293081221,3.912634293081221
45,18,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,1.4164222873900292,1.433284457478006,2.087365706918779,2.1122152986678127
44,13,2,Pittsburgh Lower North Side,1,Pittsburgh Chateau Area,9.696498054474707,9.696498054474707,18.827288955050523,18.827288955050523
45,13,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,5.173020527859237,5.234604105571848,10.044239858684735,10.163814142716697
46,13,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,3.0809061488673137,3.3527508090614884,5.982067957137249,6.509897482767006
47,13,2,Pittsburgh Lower North Side,4,Allegheny County Northwest,5.27354260089686,5.650224215246636,10.239419407508203,10.970806508044502
48,13,2,Pittsburgh Lower North Side,5,Allegheny County North (remainder),19.534883720930235,19.04651162790698,37.930075213859304,36.98182333351282
55,13,2,Pittsburgh Lower North Side,12,Downtown,104.53789731051344,153.0073349633252,202.97690860776004,297.08800965182957
45,O5,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,0.3695014662756599,0.3739002932551321,0.03909279250918627,0.0395581828962004
46,O5,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,0.22006472491909387,0.2394822006472492,0.023282572371269614,0.02533691699226399
48,O5,2,Pittsburgh Lower North Side,5,Allegheny County North (remainder),1.3953488372093024,1.3604651162790697,0.147626159973782,0.14393550597443747
55,O5,2,Pittsburgh Lower North Side,12,Downtown,7.466992665036675,10.92909535452323,0.7899984751457622,1.156284605075821
45,54,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,7.0205278592375375,7.1041055718475095,5.568423578231711,5.634714335115422
46,54,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,4.181229773462783,4.550161812297734,3.3163971318651275,3.609020408206168
51,54,2,Pittsburgh Lower North Side,8,Oakland,243.0,354.0,192.73863114578702,280.7797342617638
52,54,2,Pittsburgh Lower North Side,9,South Side,37.0,40.0,29.347034371992265,31.726523645397045
57,54,2,Pittsburgh Lower North Side,14,Strip District,39.59281437125749,55.293413173652695,31.403559033437915,43.856694512215014
58,54,2,Pittsburgh Lower North Side,15,Pittsburgh East (remainder),125.0,133.0,99.14538639186576,105.49069112094517
86,54,2,Pittsburgh Lower North Side,43,Pittsburgh Southwest (remainder),19.517509727626454,20.848249027237344,15.480568346820185,16.536061643194284
45,P13,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,0.8621700879765396,0.872434017595308,0.16009867911989878,0.16200461577608807
48,P13,2,Pittsburgh Lower North Side,5,Allegheny County North (remainder),3.255813953488372,3.1744186046511627,0.6045808369865502,0.5894663160618864
55,P13,2,Pittsburgh Lower North Side,12,Downtown,17.422982885085574,25.501222493887536,3.235320483893551,4.735390492142821
44,17,2,Pittsburgh Lower North Side,1,Pittsburgh Chateau Area,7.618677042801558,7.618677042801558,21.711144772187495,21.711144772187495
45,17,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,4.064516129032258,4.112903225806452,11.582758740205202,11.720648725207647
46,17,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,2.4207119741100325,2.634304207119741,6.8983667146421705,7.507046130640009
48,17,2,Pittsburgh Lower North Side,5,Allegheny County North (remainder),15.348837209302324,14.965116279069766,43.739985940309786,42.64648629180204
55,17,2,Pittsburgh Lower North Side,12,Downtown,82.13691931540342,120.22004889975553,234.06774383265534,342.5942419554583
44,RED,2,Pittsburgh Lower North Side,1,Pittsburgh Chateau Area,18.007782101167315,18.007782101167315,0.0,0.0
45,RED,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,9.607038123167156,9.721407624633434,0.0,0.0
55,RED,2,Pittsburgh Lower North Side,12,Downtown,194.14180929095355,284.156479217604,0.0,0.0
86,RED,2,Pittsburgh Lower North Side,43,Pittsburgh Southwest (remainder),26.708171206225682,28.529182879377426,0.0,0.0
87,RED,2,Pittsburgh Lower North Side,44,Allegheny County Southcentral,28.86,28.469999999999995,0.0,0.0
45,1,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,2.956011730205279,2.9912023460410566,3.6779612678539535,3.7217465210426917
46,1,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,1.760517799352751,1.9158576051779936,2.1904907247906062,2.3837693181544832
48,1,2,Pittsburgh Lower North Side,5,Allegheny County North (remainder),11.16279069767442,10.88372093023256,13.889089616148373,13.541862375744664
55,1,2,Pittsburgh Lower North Side,12,Downtown,59.7359413202934,87.43276283618584,74.32530670626879,108.78654910838951
57,1,2,Pittsburgh Lower North Side,14,Strip District,16.67065868263473,23.2814371257485,20.742149402798823,28.96748451080525
82,1,2,Pittsburgh Lower North Side,39,Westmoreland County,1.0,0.0,1.2442309447799582,0.0
85,1,2,Pittsburgh Lower North Side,42,Homewood/Lincoln-Lemington,12.0,14.0,14.930771337359499,17.419233226919417
45,4,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,2.8328445747800584,2.866568914956012,3.9092792509186256,3.9558182896200385
46,4,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,1.6871628910463865,1.836030204962244,2.3282572371269614,2.533691699226399
48,4,2,Pittsburgh Lower North Side,5,Allegheny County North (remainder),10.697674418604652,10.430232558139537,14.762615997378203,14.393550597443747
55,4,2,Pittsburgh Lower North Side,12,Downtown,57.24694376528117,83.78973105134476,78.9998475145762,115.62846050758209
45,11,2,Pittsburgh Lower North Side,2,Pittsburgh Lower North Side,3.0791788856304985,3.1158357771261,6.595383169394332,6.673899635696647
46,11,2,Pittsburgh Lower North Side,3,Pittsburgh Upper North Side,1.8338727076591157,1.9956850053937434,3.928025502951554,4.274615988506103
55,11,2,Pittsburgh Lower North Side,12,Downtown,62.22493887530561,91.0757946210269,133.28141359047675,195.07790397820276
57,11,2,Pittsburgh Lower North Side,14,Strip District,17.365269461077844,24.25149700598802,37.19517773717739,51.944989598471864
89,8,3,Pittsburgh Upper North Side,2,Pittsburgh Lower North Side,32.934196332254594,34.006472491909385,50.73367984692725,52.385474074501616
90,8,3,Pittsburgh Upper North Side,3,Pittsburgh Upper North Side,8.453953488372091,9.642790697674418,13.022943246981065,14.854294641087776
92,8,3,Pittsburgh Upper North Side,5,Allegheny County North (remainder),66.01081081081081,65.4990990990991,101.68674857967902,100.89847921084431
99,8,3,Pittsburgh Upper North Side,12,Downtown,458.01803833145436,495.79932356257046,705.5566283264127,763.7570352767913
89,6,3,Pittsburgh Upper North Side,2,Pittsburgh Lower North Side,14.611650485436893,15.087378640776697,32.39692066571906,33.45170412925409
90,6,3,Pittsburgh Upper North Side,3,Pittsburgh Upper North Side,3.7506976744186047,4.278139534883721,8.316038980014193,9.485481961578689
99,6,3,Pittsburgh Upper North Side,12,Downtown,203.20518602029316,219.96730552423904,450.5461102374076,487.7110462793608
101,6,3,Pittsburgh Upper North Side,14,Strip District,17.92394366197183,25.2,39.7409301168592,55.87338689697036
90,19L,3,Pittsburgh Upper North Side,3,Pittsburgh Upper North Side,1.2502325581395348,1.4260465116279069,0.0,0.0
91,19L,3,Pittsburgh Upper North Side,4,Allegheny County Northwest,6.1415094339622645,6.273584905660377,0.0,0.0
99,19L,3,Pittsburgh Upper North Side,12,Downtown,67.73506200676437,73.32243517474632,0.0,0.0
101,19L,3,Pittsburgh Upper North Side,14,Strip District,5.974647887323942,8.399999999999999,0.0,0.0
88,14,3,Pittsburgh Upper North Side,1,Pittsburgh Chateau Area,21.568720379146924,22.796208530805686,7.700556540772872,8.138799595938806
90,14,3,Pittsburgh Upper North Side,3,Pittsburgh Upper North Side,4.405581395348837,5.025116279069767,1.5728994596573542,1.7940884461716697
91,14,3,Pittsburgh Upper North Side,4,Allegheny County Northwest,21.641509433962263,22.10691823899371,7.726543999569771,7.8927062361196585
89,2,3,Pittsburgh Upper North Side,2,Pittsburgh Lower North Side,12.292340884573894,12.692556634304205,0.6407238557017217,0.661584632398987
90,2,3,Pittsburgh Upper North Side,3,Pittsburgh Upper North Side,3.1553488372093024,3.5990697674418604,0.16446885845785505,0.18759729167849093
92,2,3,Pittsburgh Upper North Side,5,Allegheny County North (remainder),24.63783783783784,24.44684684684685,1.2842184091578293,1.2742632276914896
99,2,3,Pittsburgh Upper North Side,12,Downtown,170.95039458850056,185.0518602029312,8.910588876682594,9.64561123770919
89,4,3,Pittsburgh Upper North Side,2,Pittsburgh Lower North Side,10.668824163969797,11.016181229773462,11.766019895613436,12.149099613145033
90,4,3,Pittsburgh Upper North Side,3,Pittsburgh Upper North Side,2.7386046511627913,3.1237209302325586,3.0202463098624293,3.4449684471868336
92,4,3,Pittsburgh Upper North Side,5,Allegheny County North (remainder),21.383783783783787,21.218018018018025,23.582919877261958,23.400106544880085
99,4,3,Pittsburgh Upper North Side,12,Downtown,148.37204058624576,160.61104847801576,163.63081391726215,177.128497274296
89,7,3,Pittsburgh Upper North Side,2,Pittsburgh Lower North Side,2.783171521035599,2.87378640776699,2.9706287855261646,3.067346932031667
90,7,3,Pittsburgh Upper North Side,3,Pittsburgh Upper North Side,0.7144186046511628,0.8148837209302325,0.7625374346682371,0.8697692614184579
92,7,3,Pittsburgh Upper North Side,5,Allegheny County North (remainder),5.578378378378378,5.535135135135135,5.954103533368118,5.907947692024179
99,7,3,Pittsburgh Upper North Side,12,Downtown,38.70574971815107,41.89853438556933,41.31273024643748,44.720561193015335
89,12,3,Pittsburgh Upper North Side,2,Pittsburgh Lower North Side,10.436893203883496,10.776699029126213,3.960838380701552,4.089795909375555
90,12,3,Pittsburgh Upper North Side,3,Pittsburgh Upper North Side,2.6790697674418604,3.055813953488372,1.0167165795576492,1.1596923485579436
92,12,3,Pittsburgh Upper North Side,5,Allegheny County North (remainder),20.918918918918923,20.75675675675676,7.9388047111574895,7.877263589365572
99,12,3,Pittsburgh Upper North Side,12,Downtown,145.14656144306653,157.11950394588501,55.08364032858331,59.62741492402044
88,16,3,Pittsburgh Upper North Side,1,Pittsburgh Chateau Area,40.514218009478675,42.81990521327013,27.506031744766148,29.071415665199986
89,16,3,Pittsburgh Upper North Side,2,Pittsburgh Lower North Side,32.238403451995694,33.28802588996764,21.887391447212647,22.600004192005613
90,16,3,Pittsburgh Upper North Side,3,Pittsburgh Upper North Side,8.275348837209302,9.43906976744186,5.618324109379044,6.408400937260472
91,16,3,Pittsburgh Upper North Side,4,Allegheny County Northwest,40.650943396226424,41.52515723270441,27.598857745438778,28.19238156792133
99,16,3,Pittsburgh Upper North Side,12,Downtown,448.3416009019165,485.32468996617797,304.38939495320335,329.49806227545287
88,13,3,Pittsburgh Upper North Side,1,Pittsburgh Chateau Area,24.48341232227488,25.876777251184826,11.363242080943538,12.009930654655768
89,13,3,Pittsburgh Upper North Side,2,Pittsburgh Lower North Side,19.482200647249197,20.116504854368934,9.042079564325936,9.336472852466779
90,13,3,Pittsburgh Upper North Side,3,Pittsburgh Upper North Side,5.000930232558139,5.704186046511627,2.3210318935308987,2.6474270035586813
91,13,3,Pittsburgh Upper North Side,4,Allegheny County Northwest,24.566037735849058,25.09433962264151,11.401590190435908,11.64678567840227
92,13,3,Pittsburgh Upper North Side,5,Allegheny County North (remainder),39.04864864864865,38.745945945945955,18.12326001325436,17.982769625554717
99,13,3,Pittsburgh Upper North Side,12,Downtown,270.9402480270574,293.2897406989852,125.74879625750935,136.121643484623
89,O5,3,Pittsburgh Upper North Side,2,Pittsburgh Lower North Side,1.3915857605177997,1.4368932038834952,0.17474286973683328,0.18043217247245108
90,O5,3,Pittsburgh Upper North Side,3,Pittsburgh Upper North Side,0.3572093023255814,0.40744186046511627,0.04485514321577866,0.051162897730497536
92,O5,3,Pittsburgh Upper North Side,5,Allegheny County North (remainder),2.789189189189189,2.7675675675675677,0.3502413843157717,0.34752633482495177
99,O5,3,Pittsburgh Upper North Side,12,Downtown,19.35287485907553,20.94926719278466,2.4301606027316165,2.630621246647961
