,Dist_No,District_Name,1 Pittsburgh Chateau Area,2 Pittsburgh Lower North Side,3 Pittsburgh Upper North Side,4 Allegheny County Northwest,5 Allegheny County North (remainder),6 Hazelwood,7 Squirrel Hill,8 Oakland,9 South Side,10 Shadyside,11 Waterfront (West Homestead Homestead Munhall(part)),12 Downtown,13 East Liberty,14 Strip District,15 Pittsburgh East (remainder),16 Hays Lincoln Place,17 Verona Oakmont Penn Hills,18 Plum Borough,19 Monroeville Pitcairn Turtle Creek,20 Wilkinsburg Wilkins Braddock and vicinity,21 Wilmerding Wall North Versailles,22 McKeesport White Oak,23 Lincoln Liberty Port Vue,24 Elizabeth Forward South Versailles,25 Munhall Whitaker Duquesne,26 Baldwin Brentwood Whitehall West Mifflin,27 Allegheny County Southeast (remainder),28 Allegheny County West,29 Armstrong County East,30 Armstrong County West,31 Beaver County South,32 Beaver County North,33 Butler County,34 Fayette County,35 Greene County,36 Indiana County,37 Lawrence County,38 Washington County,39 Westmoreland County,40 Midtown/Uptown,41 Highland Park,42 Homewood/Lincoln-Lemington,43 Pittsburgh Southwest (remainder),44 Allegheny County Southcentral
0,1,Pittsburgh Chateau Area,0.019619680048294598,0.044475011462631824,0.025044722719141325,0.041527126590756865,0.02888527257933279,0.05555555555555555,0.0375,0.11631663974151858,0.027829313543599257,0.04838709677419355,0.008695652173913044,0.3464624361779723,0.04807692307692308,0.10541310541310542,0.060655737704918035,0.0,0.0,0.0,0.020833333333333332,0.02197802197802198,0.0,0.0,0.0,0.0,0.0,0.020618556701030927,0.0,0.02498048399687744,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.10454545454545454,0.041666666666666664,0.04716981132075472,0.028287061288632794,0.027267338470657973
1,2,Pittsburgh Lower North Side,0.04994388327721661,0.024705882352941175,0.03423967774420947,0.025179856115107913,0.043258832011535686,0.046153846153846156,0.055865921787709494,0.1717314487632509,0.05666156202143951,0.07834101382488479,0.029411764705882353,0.3035181872391175,0.08108108108108109,0.18325434439178515,0.1152073732718894,0.0,0.03409090909090909,0.0,0.03076923076923077,0.035175879396984924,0.0,0.0,0.0,0.0,0.023809523809523808,0.034482758620689655,0.047619047619047616,0.04395085066162571,0,0,0.0,0.0,0.0,0,0,0,0,0.022222222222222223,0.037037037037037035,0.12748344370860928,0.08695652173913043,0.06382978723404255,0.05382262996941896,0.0453153704837722
2,3,Pittsburgh Upper North Side,0.03128179043743642,0.04600898780226835,0.01632236674317776,0.03125,0.024489795918367346,0.04672897196261682,0.038461538461538464,0.09103592605510986,0.02843601895734597,0.04297994269340974,0.011235955056179775,0.28332343038225394,0.04513888888888889,0.08721934369602763,0.0511482254697286,0.0,0.01818181818181818,0.0,0.022222222222222223,0.02120141342756184,0.0,0.0,0.0,0,0.0,0.01818181818181818,0.0,0.019356675206376316,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.07634854771784233,0.03125,0.03859649122807018,0.026902654867256636,0.024587284861257466
3,4,Allegheny County Northwest,0.05361842105263158,0.05680041688379364,0.027131782945736434,0.007205428229313278,0.013448414291449218,0.056338028169014086,0.03680981595092025,0.09866220735785954,0.024469820554649267,0.055944055944055944,0.009708737864077669,0.4307450980392157,0.05084745762711865,0.1475826972010178,0.059593023255813955,0.0,0.024390243902439025,0.0,0.02702702702702703,0.019736842105263157,0.0,0.0,0.0,0,0.0,0.018404907975460124,0.0,0.010604651162790697,0,0,0.007253886010362694,0.013595166163141994,0.0,0,0,0,0,0.008,0.0,0.11683848797250859,0.05,0.04504504504504504,0.022699635184434536,0.01995133819951338
4,5,Allegheny County North (remainder),0.009520884520884522,0.017079504594486615,0.005878030859662013,0.004333970681963034,0.0022748265381900964,0.015,0.01284796573875803,0.04947853504729566,0.007201309328968904,0.025649794801641587,0.0051635111876075735,0.2049873700287846,0.021281986318723082,0.05576753742295274,0.022531333768021446,0.0,0.004087552742616034,0.0017050298380221654,0.005619834710743801,0.007596067917783735,0.005555555555555556,0.0,0.0,0.0,0.0,0.004070556309362279,0.0,0.00351357789423535,0.0,0.003076923076923077,0.0,0.0,0.0003298878381350341,0,0,0.0,0.0,0.0,0.009167077378018728,0.04294478527607362,0.027920646583394562,0.016759191369016446,0.008754103486009067,0.006597222222222222
5,6,Hazelwood,0.03137254901960784,0.036011080332409975,0.014925373134328358,0.037037037037037035,0.022508038585209004,0.01828499369482976,0.036758563074352546,0.10972192282819573,0.026965002868617326,0.04439746300211417,0.018783542039355994,0.4143962327615203,0.04529616724738676,0.09547738693467336,0.044797687861271675,0.008064516129032258,0.016304347826086956,0.0,0.0196078431372549,0.02111801242236025,0.0,0.010638297872340425,0.0,0.0,0.017605633802816902,0.018722466960352423,0.0136986301369863,0.026101141924959218,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1038961038961039,0.04,0.04513888888888889,0.03176341730558598,0.026170798898071626
6,7,Squirrel Hill,0.030803080308030802,0.03404255319148936,0.01405152224824356,0.034220532319391636,0.016954106986261326,0.03441558441558441,0.02060176312763511,0.20846300572231705,0.02476609796367639,0.06514125612888162,0.021109770808202654,0.41338493057136355,0.06376914855717848,0.12108262108262108,0.06680716543730242,0.007042253521126761,0.017214397496087636,0.0,0.017204301075268817,0.021288014311270125,0.015503875968992248,0.005,0.0,0.0,0.014012738853503185,0.013474494706448507,0.0,0.020356234096692113,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.1565017261219793,0.06765327695560254,0.058803535010197146,0.025280898876404494,0.02127659574468085
7,8,Oakland,0.05827505827505827,0.06492411467116357,0.03214285714285714,0.05115089514066496,0.0358814352574103,0.06135770234986945,0.09105058365758754,0.10086884567645842,0.05740740740740741,0.14892703862660944,0.028677150786308975,0.39390072731912723,0.19844357976653695,0.1678743961352657,0.11786174323744096,0.009523809523809525,0.038834951456310676,0.016129032258064516,0.0491283676703645,0.06831228473019518,0.031496062992125984,0.014084507042253521,0.017857142857142856,0.034482758620689655,0.024390243902439025,0.030726256983240222,0.019230769230769232,0.050385837494325916,0,0,0.0,0.0,0.0,0,0,0,0,0.025974025974025976,0.013888888888888888,0.17616822429906542,0.32196969696969696,0.1650399290150843,0.0446124763705104,0.045929968167348796
8,9,South Side,0.042119565217391304,0.04743465634075508,0.022113022113022112,0.033210332103321034,0.026704545454545453,0.04,0.042787286063569685,0.1941762690750545,0.009593068234565991,0.07238095238095238,0.01579778830963665,0.3212231729555337,0.07604562737642585,0.13419117647058823,0.08975377283558379,0.0,0.02512562814070352,0.0,0.024054982817869417,0.027624309392265192,0.0,0.0125,0.0,0.0,0.014150943396226415,0.021660649819494584,0.02666666666666667,0.03115423901940756,0,0,0.0,0.0,0.0,0,0,0,0,0.01694915254237288,0.0,0.11381149970361588,0.11320754716981132,0.06206896551724138,0.04409171075837742,0.029764365440264572
9,10,Shadyside,0.04310344827586207,0.04610951008645533,0.018292682926829267,0.05,0.026277372262773723,0.03985507246376811,0.06425891181988742,0.24684186260949748,0.04025423728813559,0.0249888442659527,0.020761245674740483,0.477167076838939,0.07373868046571798,0.17223198594024605,0.08169250104733976,0.0,0.028315946348733235,0.0,0.02564102564102564,0.03891290920321186,0.01,0.0,0.0,0.0,0.012345679012345678,0.01845018450184502,0.0,0.02912621359223301,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.20572916666666666,0.07729468599033816,0.0980975029726516,0.033582089552238806,0.02936857562408223
10,11,Waterfront (West Homestead Homestead Munhall(part)),0.04040404040404041,0.046153846153846156,0.03,0.045454545454545456,0.03292181069958848,0.061386138613861385,0.06923751095530237,0.13414124529878813,0.03403755868544601,0.05275779376498801,0.0,0.3276570757486788,0.04912280701754386,0.11016949152542373,0.056795131845841784,0.017777777777777778,0.023255813953488372,0.0,0.03104575163398693,0.033478893740902474,0.023178807947019868,0.021798365122615803,0.01282051282051282,0.0,0.03333333333333333,0.024810475534114404,0.028368794326241134,0.03299492385786802,0,0,0,0,0,0,0,0,0,0.02631578947368421,0.01680672268907563,0.11191335740072202,0.05454545454545454,0.04424778761061947,0.034013605442176874,0.029333333333333333
