,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
Pittsburgh Chateau Area,3313,1782,3932,3040,6512,255,909,858,736,348,198,1188,206,185,1597,112,480,89,248,1085,107,109,50,1,469,1327,145,3543,0,0,80,199,109,0,0,0,0,146,67,271,251,378,5821,3508
Pittsburgh Lower North Side,2181.0,3400.0,4673.0,1919.0,10012.0,361.0,1175.0,1186.0,1033.0,694.0,260.0,2017.0,384.0,369.0,3117.0,152.0,797.0,130.0,317.0,1398.0,137.0,135.0,73.0,4.0,581.0,1830.0,168.0,2842.0,0.0,1.0,26.0,188.0,174.0,0.0,0.0,0.0,0.0,154.0,131.0,453.0,488.0,652.0,6376.0,4074.0
Pittsburgh Upper North Side,1118.0,993.0,3921.0,1548.0,6805.0,134.0,427.0,560.0,407.0,328.0,100.0,817.0,189.0,182.0,1449.0,52.0,342.0,44.0,109.0,532.0,49.0,34.0,21.0,2.0,197.0,656.0,49.0,1445.0,0.0,0.0,30.0,118.0,159.0,0.0,0.0,0.0,0.0,45.0,64.0,190.0,223.0,295.0,2243.0,1362.0
Allegheny County Northwest,1493.0,556.0,2976.0,47603.0,15690.0,81.0,263.0,391.0,271.0,120.0,66.0,567.0,72.0,89.0,529.0,29.0,83.0,5.0,49.0,273.0,20.0,4.0,4.0,0.0,67.0,326.0,17.0,11777.0,0.0,0.0,5379.0,10652.0,1077.0,0.0,0.0,0.0,3.0,191.0,5.0,114.0,69.0,114.0,2487.0,1277.0
Allegheny County North (remainder),2458.0,2774.0,10535.0,14946.0,596529.0,622.0,3421.0,3205.0,1760.0,2740.0,486.0,3210.0,2508.0,654.0,11035.0,181.0,16243.0,5224.0,1683.0,5017.0,349.0,182.0,22.0,1.0,655.0,2064.0,57.0,6647.0,4308.0,5408.0,1316.0,13934.0,41786.0,0.0,0.0,28.0,453.0,66.0,39099.0,865.0,4717.0,7046.0,8022.0,4272.0
Hazelwood,54.0,65.0,107.0,71.0,400.0,1586.0,1540.0,766.0,475.0,276.0,505.0,229.0,113.0,30.0,399.0,428.0,349.0,94.0,205.0,1020.0,123.0,399.0,331.0,240.0,1078.0,1556.0,374.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,216.0,101.0,101.0,319.0,883.0,516.0
Squirrel Hill,160.0,179.0,260.0,163.0,1868.0,1197.0,10436.0,2570.0,818.0,2132.0,1141.0,608.0,969.0,90.0,2317.0,344.0,2018.0,394.0,790.0,5768.0,447.0,601.0,289.0,166.0,1888.0,1273.0,293.0,434.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,47.0,1002.0,221.0,824.0,2751.0,1451.0,845.0
Oakland,1238.0,1415.0,2867.0,1794.0,16492.0,4639.0,19922.0,24170.0,6422.0,10845.0,2393.0,3658.0,3487.0,673.0,19695.0,1465.0,8212.0,1617.0,3040.0,15006.0,1709.0,1623.0,1416.0,107.0,5961.0,8491.0,967.0,3685.0,0.0,0.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,107.0,1396.0,2005.0,3758.0,8562.0,14093.0,7839.0
South Side,539.0,653.0,1055.0,613.0,3055.0,1743.0,3634.0,3780.0,6463.0,944.0,852.0,2019.0,344.0,256.0,2144.0,712.0,1187.0,264.0,719.0,3377.0,371.0,713.0,613.0,118.0,1852.0,4831.0,741.0,1595.0,0.0,0.0,1.0,11.0,6.0,0.0,0.0,0.0,0.0,168.0,311.0,693.0,305.0,901.0,10454.0,4274.0
Shadyside,124.0,217.0,349.0,143.0,2924.0,473.0,4283.0,2330.0,525.0,4482.0,417.0,580.0,1508.0,135.0,4656.0,133.0,2000.0,316.0,538.0,3542.0,326.0,288.0,108.0,38.0,746.0,641.0,99.0,293.0,0.0,3.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,10.0,647.0,201.0,1347.0,2784.0,1080.0,644.0
