,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
Pittsburgh Chateau Area,65,89,123,163,62,8,28,50,31,15,8,77,14,8,71,1,8,0,3,33,3,2,1,0,12,20,0,78,0,0,1,6,0,0,0,0,0,0,1,23,6,12,162,63
Pittsburgh Lower North Side,97.0,84.0,215.0,109.0,171.0,13.0,40.0,77.0,49.0,32.0,12.0,108.0,27.0,20.0,166.0,2.0,15.0,1.0,4.0,51.0,4.0,2.0,1.0,0.0,17.0,30.0,1.0,67.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,17.0,25.0,193.0,80.0
Pittsburgh Upper North Side,28.0,34.0,64.0,42.0,40.0,2.0,6.0,18.0,9.0,6.0,3.0,17.0,7.0,3.0,30.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,35.0,11.0
Allegheny County Northwest,62.0,14.0,93.0,343.0,68.0,3.0,9.0,20.0,9.0,6.0,3.0,23.0,5.0,4.0,23.0,0.0,2.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,117.0,0.0,0.0,50.0,288.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,55.0,22.0
Allegheny County North (remainder),71.0,120.0,258.0,201.0,1357.0,14.0,58.0,115.0,47.0,72.0,16.0,72.0,125.0,19.0,296.0,1.0,70.0,2.0,7.0,94.0,4.0,1.0,0.0,0.0,14.0,19.0,0.0,75.0,14.0,9.0,7.0,19.0,43.0,0.0,0.0,0.0,0.0,0.0,377.0,45.0,121.0,127.0,142.0,50.0
Hazelwood,3.0,3.0,5.0,4.0,6.0,29.0,53.0,47.0,19.0,11.0,31.0,14.0,9.0,1.0,19.0,17.0,5.0,0.0,1.0,31.0,2.0,11.0,4.0,1.0,33.0,25.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,4.0,12.0,44.0,16.0
Squirrel Hill,6.0,10.0,10.0,6.0,24.0,44.0,215.0,234.0,35.0,137.0,79.0,55.0,81.0,4.0,134.0,6.0,35.0,1.0,9.0,232.0,11.0,13.0,2.0,0.0,84.0,17.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,23.0,44.0,152.0,49.0,17.0
Oakland,144.0,243.0,261.0,177.0,816.0,509.0,4153.0,2438.0,1247.0,2677.0,321.0,1466.0,1007.0,137.0,3630.0,46.0,655.0,45.0,187.0,2578.0,164.0,70.0,21.0,1.0,514.0,450.0,15.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,499.0,1077.0,1839.0,1541.0,823.0
South Side,15.0,37.0,30.0,15.0,22.0,47.0,90.0,217.0,62.0,38.0,29.0,46.0,24.0,11.0,103.0,6.0,11.0,1.0,6.0,78.0,5.0,18.0,5.0,1.0,31.0,73.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,9.0,28.0,394.0,58.0
Shadyside,6.0,17.0,15.0,8.0,75.0,21.0,279.0,347.0,38.0,112.0,22.0,147.0,159.0,15.0,333.0,2.0,69.0,2.0,12.0,284.0,8.0,6.0,1.0,0.0,24.0,15.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,195.0,278.0,52.0,25.0
Waterfront (West Homestead Homestead Munhall(part)),1.0,4.0,2.0,1.0,3.0,21.0,70.0,31.0,10.0,12.0,0.0,4.0,11.0,1.0,18.0,14.0,4.0,0.0,7.0,104.0,11.0,31.0,6.0,0.0,248.0,21.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,13.0,25.0,5.0
