,Dist_No,District_Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,Pittsburgh Chateau Area,75,0.01931496265773886,0.04360587002096436,0.02359208523592085,0.041113219481340925,0.02640776699029126,0.05732484076433121,0.03867403314917127,0.14225053078556263,0.028125,0.056451612903225805,0.0078125,0.33716255025847214,0.04838709677419355,0.10467289719626169,0.05625879043600562,0.0,0.01639344262295082,0.0,0.0,0.015463917525773196,0.0,0.0,0.0,0.0,0.0,0.017467248908296942,0.0,0.023290386521308225,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.11392405063291139,0.06666666666666667,0.03759398496240601,0.027192982456140352,0.026063829787234042
1,Pittsburgh Lower North Side,89,0.047875201721355565,0.02450273854136639,0.03360581289736603,0.027624309392265192,0.041666666666666664,0.0718562874251497,0.07291666666666667,0.24549237170596394,0.055710306406685235,0.09615384615384616,0.028985507246376812,0.37405857740585774,0.0845771144278607,0.18346545866364666,0.11223628691983123,0.0,0.03571428571428571,0.0,0.01818181818181818,0.037914691943127965,0.0,0.0,0.0,0.0,0.04081632653061224,0.03225806451612903,0.0,0.04134129536058796,0,0,0.0,0.0,0.0,0,0,0,0,0.020833333333333332,0.0,0.16055625790139064,0.09433962264150944,0.06829268292682927,0.05272013460459899,0.04279015240328253
2,Pittsburgh Upper North Side,130,0.030274802049371215,0.04595321879528048,0.016139730267521555,0.03106605624591236,0.02408051923619603,0.04666666666666667,0.043010752688172046,0.12084993359893759,0.027545909849749584,0.04885057471264368,0.009900990099009901,0.25677804493823064,0.04559270516717325,0.08569704284852142,0.048220973782771535,0.0,0.017543859649122806,0.0,0.023809523809523808,0.024390243902439025,0.0,0.0,0.0,0,0.0,0.01858736059479554,0.0,0.01903114186851211,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.08861578266494179,0.05263157894736842,0.03353658536585366,0.026866604186191814,0.023255813953488372
3,Allegheny County Northwest,174,0.04977116704805492,0.05445783132530121,0.025442477876106196,0.0067529331874599165,0.012492015047199944,0.05291005291005291,0.050761421319796954,0.15828770532603284,0.023383768913342505,0.06521739130434782,0.00909090909090909,0.42171060774848373,0.05426356589147287,0.13846153846153847,0.05605095541401274,0.0,0.02631578947368421,0.0,0.0,0.02027027027027027,0.0,0.0,0.0,0,0.0,0.016853932584269662,0.0,0.009668318194329756,0,0,0.007121057985757884,0.012800620636152055,0.0,0,0,0,0,0.008849557522123894,0.0,0.13658536585365855,0.07142857142857142,0.0390625,0.022750775594622543,0.018410417602155366
4,Allegheny County North (remainder),66,0.008956439136924956,0.016148161664081746,0.005467136435427044,0.0036319612590799033,0.0019993808369021208,0.020318021201413426,0.014838129496402877,0.05826868337333259,0.00784313725490196,0.02133245815556285,0.005076142131979695,0.1846984169997516,0.018949181739879414,0.05239666213856006,0.019648778091612428,0.0,0.003934660784547514,0.0014419610670511895,0.004798818752307124,0.006697362913352867,0.00558659217877095,0.0,0.0,0.0,0.0,0.004424778761061947,0.0,0.0028364998662028366,0.0,0.0026109660574412533,0.0,0.0,0.0003720435822482062,0,0,0.0,0.0,0.0,0.009189957366177167,0.048274486335527625,0.014953271028037384,0.011995345089965088,0.008762469668374224,0.006093649775497113
5,Hazelwood,11,0.031609195402298854,0.03455723542116631,0.016129032258064516,0.02564102564102564,0.019122609673790775,0.0008562865705722849,0.05471289274106175,0.13687557970054326,0.025159461374911412,0.04327666151468315,0.018833535844471446,0.3774124374553252,0.04408352668213457,0.08450704225352113,0.04735883424408015,0.005128205128205128,0.016835016835016835,0.0,0.017897091722595078,0.01987281399046105,0.02247191011235955,0.013422818791946308,0.0,0.0,0.014218009478672985,0.01747997086671522,0.016129032258064516,0.024324324324324326,0,0,0,0,0,0,0,0,0,0.0,0.0,0.09905254091300603,0.05194805194805195,0.04112554112554113,0.027853260869565216,0.02541544477028348
6,Squirrel Hill,30,0.03289473684210526,0.039723661485319514,0.01282051282051282,0.040892193308550186,0.017613636363636363,0.06743785380260892,0.03180325242329568,0.2589089605092115,0.027717522294528802,0.08824874256973023,0.023563674874238813,0.4919166342033502,0.09740458015267175,0.12359550561797752,0.07296058661778185,0.007633587786259542,0.01971830985915493,0.0,0.020097020097020097,0.028245099552400062,0.02027027027027027,0.015789473684210527,0.0,0.0,0.019036954087346025,0.012833168805528134,0.013513513513513514,0.025792811839323467,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.24214343271555197,0.10338680926916222,0.08032128514056225,0.031315240083507306,0.025757575757575757
7,Oakland,43,0.052121212121212124,0.07252946509519492,0.031578947368421054,0.06349206349206349,0.043339706819630335,0.08253358925143954,0.24874551971326164,0.22848465725329337,0.06737503018594543,0.34644613321412604,0.05130513051305131,0.5477573785730886,0.31096681096681095,0.24906015037593984,0.16773547094188376,0.010752688172043012,0.051036682615629984,0.0136986301369863,0.0744336569579288,0.12243767313019391,0.12878787878787878,0.03787878787878788,0.02127659574468085,0.04,0.05263157894736842,0.029501525940996948,0.018691588785046728,0.05619004111466423,0,0,0.0,0.0,0.0,0,0,0,0,0.024691358024691357,0.013071895424836602,0.3455637091394263,0.4261168384879725,0.239642567018684,0.048369759942672876,0.054737810487580495
8,South Side,29,0.038821954484605084,0.04865938430983118,0.02304147465437788,0.040145985401459854,0.025279247501469725,0.04552352048558422,0.06195652173913044,0.24588535754824065,0.009497591190640055,0.08576998050682261,0.01749271137026239,0.3878086603841107,0.09310344827586207,0.12566844919786097,0.08502633559066967,0.011111111111111112,0.02403846153846154,0.0,0.02702702702702703,0.026041666666666668,0.017543859649122806,0.023529411764705882,0.0,0.0,0.017543859649122806,0.020318021201413426,0.0136986301369863,0.03187250996015936,0,0,0.0,0.0,0.0,0,0,0,0,0.015873015873015872,0.0,0.18948707079270877,0.10909090909090909,0.06389776357827476,0.04421148587055606,0.03054065208419315
9,Shadyside,16,0.045584045584045586,0.049926578560939794,0.016901408450704224,0.05357142857142857,0.027961736571008096,0.04945054945054945,0.10333333333333333,0.3112195972452271,0.0444234404536862,0.03337874659400545,0.02280130293159609,0.5704809286898839,0.15747126436781608,0.16412213740458015,0.08162882341902795,0.0,0.027496382054992764,0.0,0.026694045174537988,0.040516735173223725,0.028846153846153848,0.0,0.0,0.0,0.01875,0.01984126984126984,0.0,0.035830618892508145,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.30494505494505497,0.20386266094420602,0.12750263435194942,0.04151838671411625,0.0350076103500761
