,index,dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
0,1,Pittsburgh Chateau Area,3883,2385.0,1314.0,1581.0,2575.0,157.0,181.0,1413.0,640.0,124.0,128.0,5223.0,124.0,535.0,711.0,7.0,61.0,6.0,51.0,194.0,12.0,14.0,5.0,3.0,41.0,229.0,17.0,4036.0,0.0,0.0,7.0,9.0,15.0,0.0,0.0,0.0,0.0,37.0,19.0,632.0,30.0,133.0,2280.0,1880.0
1,2,Pittsburgh Lower North Side,1859,3469.0,1101.0,543.0,2808.0,167.0,192.0,1442.0,718.0,208.0,138.0,5975.0,201.0,883.0,1185.0,12.0,84.0,15.0,55.0,211.0,12.0,19.0,6.0,1.0,49.0,217.0,19.0,2177.0,0.0,0.0,4.0,9.0,19.0,0.0,0.0,0.0,0.0,48.0,28.0,791.0,53.0,205.0,1783.0,1706.0
2,3,Pittsburgh Upper North Side,4294,4831.0,4523.0,3058.0,10631.0,300.0,279.0,3012.0,1198.0,348.0,202.0,12061.0,329.0,1657.0,2136.0,12.0,114.0,4.0,42.0,287.0,10.0,11.0,4.0,0.0,51.0,269.0,15.0,6936.0,0.0,0.0,4.0,13.0,24.0,0.0,0.0,0.0,0.0,30.0,16.0,1546.0,76.0,328.0,3201.0,3053.0
3,4,Allegheny County Northwest,3496,2075.0,1808.0,53014.0,14089.0,189.0,197.0,2009.0,727.0,138.0,110.0,8079.0,129.0,585.0,785.0,10.0,38.0,4.0,35.0,148.0,8.0,6.0,3.0,0.0,28.0,178.0,14.0,29064.0,0.0,0.0,983.0,2578.0,674.0,0.0,0.0,0.0,0.0,113.0,4.0,820.0,28.0,128.0,2901.0,2227.0
4,5,Allegheny County North (remainder),7369,10961.0,8231.0,18172.0,697716.0,1132.0,2224.0,17917.0,3570.0,3047.0,591.0,44283.0,4644.0,5153.0,16286.0,39.0,8387.0,1387.0,2709.0,2389.0,179.0,90.0,19.0,1.0,204.0,678.0,52.0,18685.0,156.0,383.0,353.0,1892.0,18815.0,0.0,0.0,2.0,8.0,64.0,10555.0,5013.0,1605.0,11171.0,7418.0,6236.0
5,6,Hazelwood,348,463.0,186.0,117.0,889.0,7007.0,1846.0,7547.0,2822.0,647.0,1646.0,4197.0,431.0,355.0,1098.0,195.0,297.0,18.0,447.0,1258.0,89.0,149.0,51.0,16.0,422.0,1373.0,124.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,42.0,1161.0,77.0,462.0,1472.0,1023.0
6,7,Squirrel Hill,912,1158.0,468.0,269.0,3520.0,4063.0,12483.0,22309.0,4149.0,4374.0,3777.0,10268.0,3275.0,979.0,5455.0,131.0,1420.0,68.0,1443.0,6479.0,296.0,190.0,37.0,8.0,893.0,1013.0,74.0,2365.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,22.0,136.0,2482.0,561.0,3486.0,2395.0,1980.0
7,8,Oakland,825,1103.0,570.0,378.0,3138.0,2084.0,2790.0,25354.0,4141.0,2237.0,1111.0,8606.0,1386.0,1064.0,4990.0,93.0,627.0,73.0,618.0,1805.0,132.0,132.0,47.0,25.0,361.0,983.0,107.0,2189.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,81.0,153.0,2998.0,291.0,1231.0,2791.0,2174.0
8,9,South Side,747,1007.0,434.0,274.0,1701.0,1318.0,920.0,7048.0,7265.0,513.0,686.0,8383.0,290.0,748.0,1329.0,90.0,208.0,22.0,296.0,768.0,57.0,85.0,35.0,17.0,228.0,1132.0,73.0,2008.0,0.0,0.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,63.0,55.0,2359.0,55.0,313.0,4388.0,2423.0
9,10,Shadyside,351,681.0,355.0,112.0,2718.0,728.0,2400.0,11471.0,1058.0,4404.0,614.0,4221.0,2610.0,786.0,5329.0,25.0,691.0,37.0,487.0,1703.0,104.0,42.0,8.0,3.0,160.0,252.0,16.0,614.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,65.0,1092.0,466.0,1898.0,843.0,657.0
