,index,dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
0,1,Pittsburgh Chateau Area,75,104.0,31.0,65.0,68.0,9.0,7.0,201.0,18.0,7.0,1.0,1761.0,6.0,56.0,40.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,2.0,5.0,62.0,49.0
1,2,Pittsburgh Lower North Side,89,85.0,37.0,15.0,117.0,12.0,14.0,354.0,40.0,20.0,4.0,2235.0,17.0,162.0,133.0,0.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,127.0,5.0,14.0,94.0,73.0
2,3,Pittsburgh Upper North Side,130,222.0,73.0,95.0,256.0,14.0,12.0,364.0,33.0,17.0,2.0,3097.0,15.0,142.0,103.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,4.0,11.0,86.0,71.0
3,4,Allegheny County Northwest,174,113.0,46.0,358.0,176.0,10.0,10.0,318.0,17.0,9.0,1.0,3407.0,7.0,81.0,44.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,281.0,0.0,0.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,112.0,2.0,5.0,66.0,41.0
4,5,Allegheny County North (remainder),66,177.0,45.0,66.0,1395.0,23.0,33.0,1044.0,28.0,65.0,3.0,8179.0,88.0,270.0,320.0,0.0,33.0,2.0,13.0,16.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,53.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,97.0,242.0,24.0,134.0,65.0,38.0
5,6,Hazelwood,11,16.0,3.0,3.0,17.0,6.0,101.0,1033.0,71.0,28.0,31.0,1584.0,19.0,30.0,52.0,1.0,5.0,0.0,8.0,25.0,2.0,2.0,0.0,0.0,6.0,24.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,4.0,19.0,41.0,26.0
6,7,Squirrel Hill,30,46.0,6.0,11.0,62.0,274.0,397.0,5776.0,115.0,386.0,89.0,5051.0,319.0,121.0,398.0,1.0,28.0,0.0,29.0,183.0,6.0,3.0,0.0,0.0,17.0,13.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,58.0,280.0,75.0,51.0
7,8,Oakland,43,80.0,18.0,24.0,136.0,172.0,694.0,5793.0,279.0,775.0,57.0,4714.0,431.0,265.0,837.0,1.0,32.0,1.0,46.0,221.0,17.0,5.0,1.0,1.0,19.0,29.0,2.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1036.0,124.0,295.0,135.0,119.0
8,9,South Side,29,49.0,10.0,11.0,43.0,60.0,57.0,1733.0,69.0,44.0,12.0,3251.0,27.0,94.0,113.0,1.0,5.0,0.0,8.0,20.0,1.0,2.0,0.0,0.0,4.0,23.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,447.0,6.0,20.0,194.0,74.0
9,10,Shadyside,16,34.0,6.0,6.0,76.0,36.0,248.0,3570.0,47.0,147.0,14.0,2408.0,411.0,129.0,435.0,0.0,19.0,0.0,13.0,69.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,95.0,242.0,35.0,23.0
10,11,Waterfront (West Homestead Homestead Munhall(part)),8,11.0,3.0,3.0,14.0,79.0,129.0,640.0,34.0,30.0,0.0,626.0,25.0,16.0,36.0,4.0,8.0,0.0,21.0,101.0,11.0,10.0,1.0,1.0,81.0,37.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,76.0,6.0,22.0,31.0,22.0
11,12,Downtown,93,240.0,22.0,44.0,160.0,66.0,350.0,2799.0,197.0,384.0,37.0,5511.0,245.0,551.0,587.0,0.0,28.0,0.0,25.0,154.0,12.0,4.0,0.0,0.0,14.0,39.0,2.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1234.0,90.0,154.0,419.0,275.0
12,13,East Liberty,15,29.0,6.0,5.0,127.0,23.0,157.0,1291.0,29.0,294.0,14.0,1010.0,188.0,90.0,410.0,0.0,32.0,1.0,19.0,73.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,83.0,141.0,29.0,22.0
