Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
517,365.0,168.0,100.0,191.0,8.0,14.0,191.0,74.0,12.0,3.0,498.0,11.0,42.0,88.0,0.0,5.0,0.0,5.0,9.0,2.0,0.0,0.0,0.0,2.0,11.0,0.0,291.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,80.0,2.0,10.0,215.0,137.0
215,414.0,102.0,23.0,109.0,5.0,11.0,129.0,57.0,13.0,2.0,466.0,13.0,35.0,82.0,0.0,4.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,83.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,68.0,2.0,9.0,105.0,69.0
877,991.0,692.0,307.0,971.0,24.0,50.0,702.0,211.0,60.0,9.0,1899.0,53.0,185.0,383.0,2.0,14.0,1.0,11.0,32.0,4.0,0.0,0.0,0.0,3.0,18.0,2.0,711.0,0.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,7.0,1.0,283.0,7.0,38.0,466.0,275.0
908,669.0,438.0,7061.0,2634.0,25.0,45.0,643.0,209.0,44.0,9.0,1149.0,38.0,111.0,250.0,3.0,9.0,0.0,8.0,33.0,2.0,0.0,0.0,0.0,2.0,17.0,1.0,4711.0,0.0,0.0,126.0,359.0,136.0,0.0,0.0,0.0,0.0,56.0,0.0,212.0,3.0,27.0,669.0,477.0
2676,3902.0,2346.0,3488.0,102202.0,158.0,682.0,7124.0,1047.0,974.0,100.0,10458.0,1490.0,1141.0,5062.0,10.0,1602.0,261.0,819.0,577.0,50.0,6.0,0.0,0.0,20.0,54.0,0.0,4026.0,25.0,51.0,69.0,269.0,3207.0,0.0,0.0,1.0,1.0,13.0,1465.0,1500.0,369.0,2205.0,1843.0,1149.0
66,93.0,30.0,11.0,70.0,316.0,198.0,707.0,277.0,79.0,81.0,418.0,58.0,35.0,131.0,17.0,14.0,1.0,19.0,77.0,5.0,5.0,2.0,0.0,23.0,63.0,6.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,122.0,8.0,51.0,132.0,60.0
251,314.0,110.0,33.0,412.0,330.0,1795.0,2978.0,575.0,659.0,226.0,1353.0,519.0,123.0,964.0,23.0,126.0,9.0,97.0,604.0,27.0,16.0,2.0,1.0,60.0,80.0,5.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,322.0,65.0,506.0,351.0,197.0
97,126.0,48.0,14.0,108.0,49.0,143.0,2826.0,211.0,103.0,27.0,584.0,69.0,45.0,271.0,6.0,15.0,0.0,14.0,56.0,3.0,1.0,1.0,0.0,9.0,12.0,4.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,177.0,9.0,56.0,138.0,70.0
122,173.0,57.0,16.0,93.0,53.0,62.0,577.0,812.0,40.0,25.0,817.0,29.0,54.0,163.0,5.0,7.0,0.0,9.0,37.0,4.0,2.0,1.0,0.0,7.0,41.0,6.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,260.0,4.0,23.0,387.0,133.0
72,124.0,59.0,10.0,209.0,41.0,238.0,1272.0,104.0,519.0,31.0,364.0,326.0,56.0,629.0,3.0,43.0,2.0,20.0,108.0,5.0,3.0,0.0,0.0,6.0,13.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,94.0,42.0,185.0,81.0,45.0
47,60.0,17.0,6.0,60.0,91.0,142.0,371.0,125.0,58.0,640.0,261.0,46.0,19.0,92.0,30.0,20.0,2.0,33.0,171.0,22.0,24.0,4.0,1.0,126.0,98.0,11.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,56.0,7.0,46.0,115.0,64.0
38,72.0,20.0,5.0,25.0,4.0,5.0,61.0,36.0,6.0,2.0,757.0,3.0,19.0,33.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,2.0,37.0,22.0
30,51.0,28.0,3.0,152.0,15.0,86.0,314.0,37.0,121.0,11.0,120.0,301.0,20.0,236.0,2.0,30.0,1.0,10.0,54.0,4.0,1.0,1.0,0.0,2.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,134.0,30.0,19.0
12,20.0,9.0,1.0,14.0,2.0,3.0,29.0,10.0,3.0,0.0,54.0,3.0,16.0,24.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,11.0,6.0
287,509.0,242.0,40.0,873.0,62.0,312.0,2667.0,302.0,543.0,41.0,1446.0,559.0,230.0,2650.0,3.0,88.0,4.0,31.0,154.0,11.0,6.0,0.0,0.0,11.0,26.0,0.0,170.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,429.0,117.0,314.0,296.0,156.0
39,53.0,17.0,6.0,47.0,121.0,90.0,435.0,154.0,37.0,219.0,354.0,31.0,22.0,64.0,108.0,9.0,2.0,17.0,66.0,11.0,31.0,9.0,1.0,153.0,247.0,27.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,70.0,3.0,28.0,156.0,87.0
232,333.0,136.0,27.0,3075.0,127.0,666.0,3295.0,341.0,619.0,125.0,1275.0,1028.0,151.0,1223.0,11.0,9053.0,617.0,1957.0,2351.0,226.0,64.0,9.0,0.0,63.0,46.0,7.0,101.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,249.0,277.0,148.0,1709.0,286.0,148.0
65,92.0,33.0,2.0,1625.0,67.0,207.0,1221.0,185.0,196.0,64.0,700.0,282.0,64.0,418.0,3.0,2163.0,4949.0,3618.0,766.0,132.0,48.0,3.0,3.0,35.0,2.0,1.0,2.0,8.0,2.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,1424.0,147.0,45.0,446.0,61.0,16.0
166,202.0,64.0,15.0,496.0,82.0,276.0,1445.0,253.0,175.0,144.0,1154.0,215.0,73.0,311.0,11.0,1064.0,403.0,10664.0,1868.0,838.0,204.0,18.0,10.0,104.0,71.0,19.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,575.0,190.0,28.0,338.0,226.0,101.0
314,406.0,154.0,48.0,788.0,250.0,1178.0,3267.0,644.0,651.0,492.0,1648.0,784.0,123.0,1032.0,34.0,1332.0,67.0,1641.0,5281.0,653.0,180.0,17.0,7.0,256.0,144.0,27.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,135.0,418.0,89.0,1265.0,471.0,301.0
81,94.0,31.0,8.0,155.0,46.0,154.0,763.0,122.0,106.0,165.0,502.0,132.0,38.0,184.0,12.0,271.0,29.0,1356.0,1246.0,1592.0,549.0,44.0,17.0,208.0,124.0,41.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,282.0,90.0,17.0,195.0,117.0,59.0
73,91.0,19.0,0.0,77.0,138.0,213.0,982.0,248.0,134.0,415.0,905.0,151.0,48.0,245.0,58.0,244.0,29.0,1031.0,1056.0,1274.0,3917.0,347.0,171.0,828.0,659.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,552.0,157.0,23.0,183.0,179.0,159.0
38,55.0,13.0,0.0,3.0,105.0,87.0,582.0,174.0,53.0,179.0,647.0,49.0,32.0,88.0,50.0,65.0,8.0,229.0,281.0,255.0,1141.0,809.0,153.0,393.0,716.0,473.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,68.0,128.0,104.0,7.0,56.0,143.0,166.0
0,0.0,0.0,0.0,0.0,148.0,131.0,59.0,88.0,26.0,225.0,7.0,32.0,0.0,13.0,51.0,107.0,18.0,582.0,480.0,468.0,1775.0,523.0,3143.0,385.0,1332.0,1120.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,645.0,1064.0,10.0,3.0,81.0,163.0,321.0
199,246.0,84.0,22.0,243.0,351.0,522.0,1835.0,468.0,211.0,1500.0,1119.0,186.0,73.0,362.0,192.0,120.0,13.0,286.0,964.0,303.0,662.0,102.0,19.0,2630.0,1190.0,216.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,67.0,242.0,23.0,215.0,499.0,424.0
506,613.0,184.0,69.0,277.0,610.0,415.0,3075.0,1433.0,193.0,877.0,2943.0,175.0,186.0,494.0,260.0,48.0,1.0,108.0,332.0,91.0,258.0,85.0,37.0,579.0,10299.0,1140.0,994.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,334.0,33.0,617.0,24.0,146.0,3302.0,4449.0
110,113.0,27.0,3.0,3.0,179.0,160.0,685.0,385.0,69.0,262.0,867.0,46.0,44.0,112.0,81.0,29.0,1.0,124.0,225.0,115.0,405.0,279.0,204.0,385.0,3657.0,6795.0,419.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1217.0,119.0,189.0,6.0,56.0,689.0,3211.0
1269,1057.0,436.0,2289.0,1349.0,44.0,96.0,1095.0,500.0,64.0,26.0,2937.0,52.0,207.0,407.0,9.0,15.0,0.0,11.0,59.0,2.0,0.0,0.0,0.0,9.0,102.0,27.0,58978.0,0.0,0.0,534.0,310.0,91.0,0.0,0.0,0.0,0.0,2582.0,0.0,431.0,10.0,38.0,3345.0,5951.0
0,0.0,0.0,0.0,2052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,388.0,620.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17375.0,2744.0,0.0,0.0,1077.0,0.0,0.0,3117.0,0.0,0.0,3757.0,0.0,0.0,7.0,0.0,0.0
0,0.0,0.0,0.0,2216.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,18.0,0.0,122.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1682.0,6363.0,0.0,0.0,3299.0,0.0,0.0,26.0,0.0,0.0,336.0,0.0,5.0,62.0,0.0,0.0
54,15.0,21.0,1684.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12671.0,0.0,0.0,14014.0,4333.0,404.0,0.0,0.0,0.0,19.0,762.0,0.0,2.0,0.0,0.0,78.0,167.0
146,136.0,86.0,3401.0,4985.0,0.0,0.0,3.0,7.0,2.0,0.0,228.0,0.0,24.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7834.0,0.0,0.0,7279.0,44454.0,6480.0,0.0,0.0,0.0,2234.0,83.0,0.0,32.0,0.0,0.0,84.0,73.0
73,106.0,106.0,670.0,16180.0,0.0,2.0,2.0,2.0,12.0,0.0,83.0,41.0,23.0,142.0,0.0,210.0,32.0,64.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,131.0,556.0,93.0,1072.0,114314.0,0.0,0.0,1.0,1052.0,0.0,321.0,18.0,19.0,122.0,10.0,4.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,79.0,37.0,164.0,5.0,131.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,68579.0,1463.0,0.0,0.0,3733.0,10865.0,0.0,0.0,0.0,0.0,24.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901.0,21508.0,0.0,0.0,1509.0,12.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,38.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,20.0,0.0,0.0,1.0,0.0,0.0,53868.0,0.0,0.0,1958.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,1.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,404.0,5053.0,3619.0,0.0,0.0,0.0,50209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,85.0,20.0,95.0,9.0,59.0,20.0,16.0,82.0,2.0,111.0,428.0,0.0,21.0,22.0,44.0,0.0,0.0,25.0,32.0,85.0,361.0,180.0,538.0,208.0,1996.0,2712.0,10052.0,0.0,0.0,68.0,18.0,0.0,1555.0,733.0,0.0,0.0,110329.0,2751.0,55.0,0.0,2.0,805.0,8024.0
38,76.0,38.0,0.0,10455.0,159.0,713.0,953.0,205.0,478.0,488.0,571.0,720.0,71.0,899.0,51.0,4034.0,2820.0,13208.0,4007.0,3148.0,2674.0,361.0,936.0,724.0,1345.0,953.0,0.0,1162.0,149.0,0.0,0.0,648.0,1893.0,1.0,2385.0,0.0,3551.0,188327.0,160.0,119.0,1304.0,67.0,159.0
25,37.0,15.0,2.0,21.0,6.0,8.0,95.0,44.0,7.0,1.0,270.0,5.0,15.0,39.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,125.0,1.0,3.0,31.0,15.0
69,113.0,52.0,9.0,495.0,26.0,153.0,629.0,70.0,196.0,20.0,162.0,451.0,50.0,587.0,2.0,59.0,5.0,18.0,87.0,5.0,3.0,0.0,0.0,4.0,11.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,196.0,225.0,63.0,41.0
87,144.0,65.0,12.0,656.0,74.0,468.0,1493.0,148.0,386.0,57.0,379.0,609.0,64.0,647.0,6.0,282.0,12.0,100.0,539.0,31.0,9.0,0.0,0.0,19.0,23.0,4.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,117.0,66.0,1131.0,108.0,62.0
1627,1628.0,477.0,310.0,775.0,222.0,257.0,3032.0,2248.0,168.0,261.0,5456.0,134.0,370.0,837.0,74.0,42.0,2.0,60.0,168.0,15.0,21.0,6.0,4.0,87.0,1119.0,77.0,4261.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,161.0,1.0,1058.0,16.0,106.0,8293.0,6035.0
1253,1407.0,406.0,288.0,688.0,196.0,229.0,2443.0,1156.0,154.0,247.0,4693.0,126.0,356.0,723.0,63.0,22.0,0.0,22.0,178.0,18.0,70.0,18.0,16.0,146.0,2999.0,1390.0,11487.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4426.0,7.0,805.0,19.0,102.0,5663.0,40815.0
