Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
13,16.0,4.0,6.0,8.0,0.0,2.0,12.0,2.0,1.0,0.0,91.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,6.0
8,12.0,3.0,1.0,6.0,0.0,0.0,10.0,3.0,0.0,0.0,77.0,2.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0
33,37.0,22.0,9.0,42.0,1.0,5.0,41.0,10.0,2.0,0.0,326.0,1.0,8.0,19.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2.0,2.0,20.0,11.0
43,31.0,16.0,209.0,119.0,0.0,4.0,62.0,10.0,2.0,1.0,311.0,1.0,9.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,229.0,0.0,0.0,8.0,14.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,18.0,1.0,1.0,42.0,26.0
149,237.0,125.0,157.0,3519.0,9.0,44.0,543.0,60.0,52.0,6.0,2808.0,84.0,86.0,263.0,0.0,96.0,7.0,65.0,49.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,283.0,2.0,3.0,4.0,16.0,187.0,0.0,0.0,0.0,0.0,2.0,67.0,112.0,20.0,110.0,159.0,85.0
1,6.0,1.0,2.0,4.0,7.0,6.0,35.0,9.0,1.0,4.0,75.0,3.0,0.0,7.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,6.0,2.0
14,14.0,6.0,1.0,21.0,11.0,43.0,137.0,19.0,18.0,7.0,254.0,19.0,5.0,36.0,1.0,5.0,0.0,4.0,21.0,2.0,1.0,0.0,0.0,2.0,5.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,19.0,19.0,7.0
5,10.0,2.0,2.0,3.0,2.0,6.0,108.0,7.0,5.0,1.0,117.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,7.0,5.0
3,10.0,3.0,1.0,4.0,2.0,1.0,31.0,18.0,4.0,1.0,131.0,0.0,7.0,5.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,15.0,7.0
3,5.0,4.0,0.0,10.0,2.0,8.0,57.0,2.0,14.0,0.0,65.0,10.0,3.0,21.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,7.0,5.0,2.0
