Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
580,443.0,190.0,122.0,231.0,11.0,18.0,294.0,88.0,15.0,4.0,1721.0,15.0,65.0,116.0,0.0,6.0,0.0,6.0,12.0,3.0,0.0,0.0,0.0,2.0,13.0,0.0,339.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,118.0,3.0,13.0,259.0,162.0
264,480.0,119.0,29.0,142.0,7.0,15.0,268.0,73.0,19.0,3.0,1600.0,20.0,80.0,139.0,0.0,5.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,106.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,115.0,3.0,14.0,148.0,87.0
1000,1196.0,764.0,359.0,1132.0,29.0,60.0,973.0,244.0,74.0,11.0,4994.0,66.0,264.0,472.0,2.0,17.0,1.0,14.0,39.0,5.0,0.0,0.0,0.0,4.0,21.0,2.0,810.0,0.0,0.0,1.0,3.0,14.0,0.0,0.0,0.0,0.0,9.0,1.0,377.0,9.0,48.0,553.0,320.0
1100,820.0,499.0,7647.0,2992.0,32.0,56.0,895.0,245.0,57.0,11.0,4342.0,50.0,174.0,314.0,3.0,11.0,0.0,11.0,41.0,2.0,0.0,0.0,0.0,3.0,20.0,1.0,5294.0,0.0,0.0,141.0,405.0,162.0,0.0,0.0,0.0,0.0,75.0,0.0,305.0,5.0,36.0,792.0,565.0
3047,4592.0,2626.0,3879.0,110710.0,186.0,797.0,9007.0,1200.0,1144.0,115.0,24002.0,1725.0,1477.0,5868.0,11.0,1821.0,299.0,1000.0,678.0,60.0,7.0,0.0,0.0,24.0,63.0,0.0,4685.0,30.0,60.0,81.0,305.0,3635.0,0.0,0.0,1.0,1.0,18.0,1646.0,1895.0,431.0,2533.0,2224.0,1354.0
77,110.0,34.0,14.0,84.0,352.0,231.0,1062.0,315.0,93.0,91.0,1542.0,69.0,52.0,158.0,18.0,17.0,1.0,23.0,88.0,6.0,6.0,2.0,0.0,26.0,72.0,7.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,176.0,10.0,62.0,161.0,72.0
291,372.0,123.0,41.0,479.0,380.0,2024.0,5698.0,649.0,825.0,255.0,4669.0,651.0,191.0,1202.0,25.0,145.0,10.0,115.0,688.0,32.0,18.0,2.0,1.0,68.0,91.0,6.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,515.0,86.0,641.0,423.0,231.0
125,169.0,56.0,19.0,138.0,67.0,208.0,3608.0,278.0,166.0,32.0,2252.0,110.0,84.0,408.0,7.0,19.0,0.0,19.0,73.0,4.0,1.0,1.0,0.0,10.0,15.0,5.0,92.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,298.0,17.0,88.0,182.0,91.0
147,212.0,64.0,20.0,115.0,65.0,77.0,1196.0,888.0,55.0,29.0,2805.0,39.0,90.0,219.0,6.0,9.0,0.0,11.0,44.0,5.0,2.0,1.0,0.0,8.0,48.0,7.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,388.0,6.0,31.0,501.0,160.0
85,151.0,65.0,13.0,248.0,49.0,308.0,2521.0,123.0,588.0,35.0,1591.0,403.0,109.0,846.0,3.0,52.0,3.0,25.0,132.0,6.0,4.0,0.0,0.0,7.0,15.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,177.0,54.0,261.0,103.0,55.0
