Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
1892,1166.0,636.0,1031.0,1500.0,18.0,60.0,563.0,238.0,47.0,47.0,1490.0,37.0,174.0,259.0,2.0,15.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,9.0,67.0,0.0,2775.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,7.0,39.0,957.0,991.0
956,1921.0,506.0,294.0,1490.0,22.0,59.0,634.0,276.0,83.0,51.0,1988.0,70.0,334.0,486.0,2.0,26.0,0.0,5.0,71.0,0.0,0.0,0.0,0.0,10.0,70.0,0.0,1356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,16.0,71.0,731.0,902.0
2629,3109.0,2767.0,2362.0,8353.0,61.0,145.0,1620.0,671.0,204.0,127.0,4449.0,166.0,776.0,1173.0,9.0,58.0,0.0,4.0,177.0,0.0,0.0,0.0,0.0,20.0,173.0,0.0,5753.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,39.0,176.0,1886.0,2209.0
1573,880.0,780.0,31613.0,9518.0,22.0,59.0,655.0,245.0,47.0,51.0,1556.0,37.0,167.0,249.0,2.0,7.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,3.0,60.0,0.0,18423.0,0.0,0.0,405.0,1398.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,8.0,41.0,1202.0,1108.0
2667,4222.0,3100.0,9360.0,377743.0,120.0,609.0,5574.0,1194.0,1139.0,223.0,7388.0,1466.0,1471.0,5816.0,4.0,3652.0,456.0,1173.0,822.0,11.0,0.0,0.0,0.0,23.0,221.0,0.0,9756.0,13.0,103.0,58.0,519.0,10622.0,0.0,0.0,0.0,0.0,0.0,5103.0,1301.0,594.0,4922.0,2634.0,2997.0
153,215.0,84.0,51.0,439.0,1059.0,789.0,3184.0,1224.0,310.0,847.0,1243.0,177.0,128.0,440.0,82.0,126.0,3.0,231.0,581.0,31.0,54.0,17.0,2.0,187.0,645.0,42.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,395.0,30.0,180.0,609.0,550.0
543,704.0,256.0,175.0,2459.0,983.0,6910.0,12701.0,2553.0,2865.0,2561.0,3590.0,1777.0,443.0,2980.0,84.0,879.0,35.0,1067.0,4092.0,162.0,117.0,22.0,0.0,540.0,716.0,36.0,1927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1099.0,303.0,1851.0,1392.0,1451.0
345,484.0,198.0,120.0,1104.0,291.0,852.0,10286.0,1600.0,770.0,376.0,2650.0,397.0,343.0,1693.0,25.0,156.0,2.0,221.0,559.0,22.0,16.0,7.0,0.0,86.0,296.0,5.0,1109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,69.0,319.0,898.0,911.0
375,525.0,194.0,132.0,894.0,212.0,331.0,3321.0,3324.0,218.0,284.0,2725.0,98.0,282.0,557.0,26.0,65.0,0.0,130.0,297.0,16.0,19.0,7.0,0.0,67.0,505.0,19.0,1273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,882.0,18.0,106.0,2014.0,1404.0
204,425.0,191.0,67.0,1850.0,159.0,1245.0,6787.0,597.0,2790.0,362.0,1603.0,1388.0,359.0,2928.0,12.0,383.0,11.0,328.0,1015.0,49.0,16.0,1.0,0.0,83.0,145.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,480.0,240.0,977.0,472.0,453.0
