Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
841,572.0,292.0,340.0,727.0,25.0,82.0,381.0,213.0,62.0,64.0,902.0,52.0,112.0,235.0,5.0,38.0,7.0,41.0,98.0,12.0,14.0,4.0,4.0,25.0,114.0,13.0,729.0,0.0,0.0,10.0,7.0,14.0,0.0,0.0,0.0,0.0,33.0,18.0,117.0,14.0,54.0,693.0,534.0
562,999.0,368.0,233.0,1142.0,36.0,105.0,513.0,304.0,115.0,82.0,1443.0,95.0,219.0,460.0,5.0,57.0,10.0,54.0,119.0,16.0,21.0,4.0,4.0,32.0,157.0,21.0,654.0,0.0,0.0,5.0,10.0,20.0,0.0,0.0,0.0,0.0,43.0,26.0,191.0,27.0,103.0,756.0,644.0
303,368.0,390.0,255.0,1050.0,17.0,55.0,274.0,140.0,71.0,40.0,655.0,56.0,118.0,271.0,3.0,35.0,4.0,27.0,67.0,6.0,13.0,3.0,0.0,15.0,81.0,10.0,463.0,0.0,0.0,8.0,4.0,19.0,0.0,0.0,0.0,0.0,19.0,16.0,92.0,16.0,61.0,386.0,318.0
367,219.0,269.0,8343.0,2436.0,17.0,48.0,244.0,123.0,39.0,41.0,477.0,31.0,52.0,125.0,5.0,23.0,4.0,26.0,63.0,8.0,6.0,3.0,0.0,15.0,83.0,10.0,3158.0,0.0,0.0,419.0,845.0,163.0,0.0,0.0,0.0,0.0,50.0,4.0,60.0,7.0,34.0,473.0,382.0
798,1198.0,1079.0,2451.0,108076.0,94.0,462.0,1911.0,661.0,641.0,243.0,2656.0,756.0,459.0,2119.0,19.0,2111.0,418.0,852.0,738.0,109.0,81.0,15.0,1.0,128.0,453.0,45.0,2351.0,123.0,162.0,179.0,710.0,3931.0,0.0,0.0,4.0,8.0,53.0,3396.0,390.0,336.0,2092.0,1539.0,1409.0
25,36.0,16.0,16.0,99.0,175.0,177.0,393.0,204.0,70.0,180.0,188.0,41.0,19.0,94.0,24.0,41.0,7.0,52.0,136.0,16.0,34.0,13.0,4.0,71.0,191.0,24.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,45.0,10.0,46.0,143.0,104.0
75,99.0,48.0,47.0,483.0,177.0,1502.0,1523.0,432.0,593.0,500.0,527.0,379.0,68.0,563.0,33.0,254.0,23.0,213.0,810.0,64.0,65.0,17.0,10.0,177.0,232.0,23.0,197.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,72.0,124.0,84.0,450.0,321.0,245.0
388,533.0,306.0,252.0,1963.0,408.0,1510.0,10276.0,1902.0,1394.0,673.0,2935.0,778.0,401.0,2557.0,73.0,443.0,60.0,391.0,1110.0,101.0,125.0,48.0,29.0,273.0,763.0,94.0,1002.0,0.0,0.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,76.0,143.0,831.0,178.0,720.0,1565.0,1197.0
214,296.0,149.0,119.0,751.0,198.0,410.0,1905.0,2251.0,252.0,320.0,1599.0,126.0,172.0,483.0,47.0,125.0,20.0,150.0,383.0,37.0,59.0,25.0,15.0,137.0,555.0,49.0,544.0,0.0,0.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,56.0,48.0,417.0,29.0,153.0,1454.0,855.0
59,118.0,72.0,40.0,642.0,68.0,579.0,1537.0,224.0,1104.0,181.0,463.0,528.0,101.0,1000.0,11.0,236.0,18.0,154.0,472.0,45.0,29.0,6.0,5.0,72.0,111.0,15.0,133.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,56.0,111.0,120.0,444.0,229.0,173.0
59,76.0,40.0,38.0,254.0,189.0,496.0,697.0,347.0,185.0,3432.0,360.0,123.0,39.0,194.0,116.0,153.0,22.0,253.0,834.0,162.0,227.0,58.0,23.0,891.0,786.0,93.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,104.0,75.0,28.0,153.0,416.0,345.0
878,1479.0,662.0,469.0,2645.0,195.0,539.0,2794.0,1681.0,501.0,366.0,7501.0,342.0,842.0,1622.0,43.0,215.0,40.0,234.0,565.0,53.0,87.0,27.0,18.0,147.0,801.0,87.0,1847.0,0.0,0.0,10.0,16.0,42.0,0.0,0.0,0.0,0.0,165.0,94.0,1106.0,94.0,323.0,3037.0,2398.0
