Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
532,380.0,174.0,103.0,202.0,8.0,14.0,202.0,76.0,13.0,3.0,597.0,12.0,44.0,94.0,0.0,5.0,0.0,5.0,10.0,2.0,0.0,0.0,0.0,3.0,11.0,0.0,304.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,84.0,3.0,11.0,224.0,144.0
224,427.0,105.0,23.0,116.0,6.0,12.0,139.0,58.0,13.0,2.0,548.0,13.0,35.0,88.0,0.0,4.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,74.0,2.0,10.0,111.0,72.0
908,1032.0,712.0,320.0,1015.0,25.0,53.0,750.0,219.0,61.0,9.0,2261.0,54.0,195.0,401.0,3.0,15.0,1.0,11.0,35.0,4.0,0.0,0.0,0.0,3.0,21.0,2.0,742.0,0.0,0.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,9.0,1.0,299.0,8.0,40.0,490.0,288.0
944,710.0,459.0,7278.0,2766.0,27.0,47.0,701.0,222.0,45.0,11.0,1507.0,42.0,121.0,269.0,3.0,10.0,0.0,9.0,35.0,2.0,0.0,0.0,0.0,2.0,18.0,1.0,4947.0,0.0,0.0,134.0,373.0,147.0,0.0,0.0,0.0,0.0,66.0,0.0,229.0,4.0,30.0,710.0,512.0
2838,4158.0,2476.0,3654.0,105936.0,172.0,730.0,7696.0,1110.0,1025.0,111.0,13722.0,1583.0,1230.0,5350.0,10.0,1696.0,278.0,898.0,615.0,54.0,6.0,0.0,0.0,22.0,58.0,0.0,4325.0,29.0,55.0,74.0,283.0,3413.0,0.0,0.0,2.0,1.0,17.0,1530.0,1629.0,389.0,2333.0,2003.0,1237.0
69,97.0,32.0,13.0,75.0,324.0,202.0,743.0,287.0,81.0,86.0,500.0,61.0,35.0,138.0,19.0,15.0,1.0,20.0,79.0,5.0,5.0,2.0,0.0,23.0,64.0,6.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,130.0,8.0,55.0,139.0,65.0
263,333.0,111.0,37.0,434.0,340.0,1843.0,3122.0,595.0,679.0,234.0,1636.0,537.0,130.0,1001.0,23.0,133.0,10.0,105.0,625.0,28.0,16.0,2.0,1.0,60.0,87.0,5.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,340.0,65.0,526.0,375.0,206.0
103,132.0,51.0,15.0,115.0,52.0,150.0,2938.0,220.0,109.0,29.0,711.0,74.0,47.0,281.0,6.0,15.0,0.0,16.0,60.0,3.0,1.0,1.0,0.0,9.0,13.0,4.0,76.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,188.0,9.0,58.0,149.0,74.0
129,179.0,59.0,17.0,99.0,57.0,64.0,611.0,834.0,42.0,26.0,964.0,31.0,54.0,171.0,5.0,7.0,0.0,9.0,40.0,4.0,2.0,2.0,0.0,7.0,44.0,7.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,273.0,4.0,23.0,406.0,138.0
74,132.0,64.0,10.0,221.0,42.0,245.0,1334.0,108.0,532.0,31.0,440.0,336.0,61.0,650.0,3.0,45.0,2.0,21.0,112.0,5.0,3.0,0.0,0.0,7.0,13.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,97.0,43.0,191.0,87.0,49.0
