Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
1171,711.0,392.0,638.0,945.0,11.0,35.0,324.0,166.0,27.0,27.0,785.0,22.0,103.0,156.0,1.0,8.0,0.0,1.0,48.0,0.0,0.0,0.0,0.0,7.0,45.0,0.0,1796.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,4.0,25.0,605.0,621.0
575,1190.0,313.0,182.0,920.0,13.0,37.0,342.0,191.0,47.0,34.0,1019.0,41.0,174.0,275.0,2.0,16.0,0.0,3.0,45.0,0.0,0.0,0.0,0.0,5.0,39.0,0.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,8.0,40.0,450.0,559.0
1610,1909.0,1754.0,1492.0,5310.0,36.0,88.0,970.0,479.0,128.0,80.0,2576.0,101.0,466.0,718.0,8.0,36.0,0.0,3.0,115.0,0.0,0.0,0.0,0.0,14.0,111.0,0.0,3777.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,23.0,109.0,1192.0,1399.0
957,535.0,489.0,20407.0,6107.0,13.0,38.0,385.0,176.0,29.0,32.0,821.0,23.0,98.0,152.0,2.0,4.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,12167.0,0.0,0.0,278.0,942.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,4.0,25.0,766.0,705.0
1674,2649.0,2028.0,6057.0,244958.0,73.0,378.0,3437.0,862.0,710.0,146.0,4519.0,907.0,899.0,3642.0,2.0,2369.0,298.0,762.0,542.0,5.0,0.0,0.0,0.0,13.0,145.0,0.0,6365.0,9.0,63.0,42.0,354.0,7009.0,0.0,0.0,0.0,0.0,0.0,3351.0,827.0,358.0,3146.0,1689.0,1943.0
98,131.0,52.0,30.0,280.0,658.0,479.0,1875.0,935.0,187.0,534.0,628.0,108.0,76.0,272.0,52.0,79.0,3.0,147.0,378.0,20.0,33.0,12.0,1.0,122.0,412.0,26.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,244.0,18.0,113.0,377.0,351.0
337,432.0,162.0,108.0,1575.0,605.0,4293.0,6996.0,1952.0,1706.0,1622.0,1765.0,1065.0,262.0,1803.0,55.0,567.0,17.0,681.0,2663.0,103.0,75.0,14.0,0.0,344.0,457.0,24.0,1265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,636.0,183.0,1148.0,877.0,919.0
206,287.0,120.0,76.0,678.0,171.0,483.0,6033.0,1161.0,419.0,233.0,1219.0,217.0,186.0,959.0,13.0,100.0,2.0,135.0,351.0,14.0,9.0,6.0,0.0,57.0,187.0,2.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,38.0,186.0,547.0,559.0
232,320.0,119.0,81.0,566.0,129.0,196.0,1772.0,2440.0,126.0,179.0,1411.0,57.0,160.0,321.0,15.0,36.0,0.0,82.0,194.0,11.0,12.0,3.0,0.0,45.0,317.0,13.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,521.0,10.0,65.0,1231.0,883.0
121,262.0,121.0,41.0,1170.0,95.0,736.0,3454.0,445.0,1714.0,229.0,668.0,816.0,201.0,1731.0,7.0,239.0,8.0,206.0,653.0,33.0,10.0,0.0,0.0,52.0,95.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,261.0,142.0,583.0,294.0,286.0
