Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
639,424.0,220.0,231.0,502.0,19.0,62.0,278.0,176.0,47.0,45.0,647.0,39.0,79.0,180.0,5.0,27.0,5.0,28.0,67.0,9.0,11.0,2.0,2.0,18.0,78.0,10.0,505.0,0.0,0.0,8.0,6.0,9.0,0.0,0.0,0.0,0.0,24.0,13.0,88.0,10.0,40.0,532.0,365.0
424,736.0,275.0,165.0,769.0,27.0,79.0,364.0,244.0,83.0,57.0,1076.0,70.0,153.0,338.0,3.0,37.0,3.0,35.0,81.0,12.0,15.0,3.0,2.0,23.0,108.0,11.0,450.0,0.0,0.0,4.0,4.0,14.0,0.0,0.0,0.0,0.0,32.0,19.0,140.0,21.0,73.0,567.0,432.0
226,271.0,292.0,171.0,719.0,10.0,39.0,208.0,115.0,56.0,28.0,529.0,43.0,87.0,203.0,3.0,26.0,2.0,21.0,43.0,4.0,9.0,2.0,0.0,11.0,57.0,7.0,323.0,0.0,0.0,7.0,3.0,15.0,0.0,0.0,0.0,0.0,14.0,9.0,70.0,13.0,46.0,299.0,212.0
278,161.0,205.0,5744.0,1669.0,14.0,33.0,185.0,101.0,28.0,30.0,368.0,22.0,39.0,99.0,3.0,18.0,1.0,20.0,43.0,5.0,4.0,2.0,0.0,11.0,56.0,6.0,2209.0,0.0,0.0,322.0,642.0,110.0,0.0,0.0,0.0,0.0,39.0,4.0,44.0,6.0,25.0,362.0,262.0
600,895.0,846.0,1685.0,74493.0,77.0,351.0,1436.0,556.0,488.0,173.0,2119.0,572.0,342.0,1620.0,14.0,1452.0,285.0,595.0,514.0,69.0,60.0,13.0,1.0,85.0,319.0,29.0,1656.0,97.0,126.0,143.0,543.0,2641.0,0.0,0.0,2.0,6.0,44.0,2418.0,299.0,252.0,1489.0,1186.0,966.0
20,27.0,11.0,13.0,66.0,132.0,132.0,295.0,175.0,52.0,126.0,145.0,30.0,15.0,73.0,18.0,28.0,5.0,36.0,94.0,10.0,23.0,10.0,2.0,52.0,130.0,16.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,34.0,7.0,35.0,107.0,71.0
55,74.0,37.0,32.0,333.0,133.0,1136.0,1094.0,371.0,450.0,346.0,401.0,285.0,54.0,424.0,28.0,171.0,18.0,145.0,563.0,44.0,45.0,12.0,8.0,120.0,153.0,14.0,139.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,51.0,86.0,61.0,344.0,244.0,173.0
287,387.0,230.0,164.0,1324.0,299.0,1076.0,6979.0,1574.0,921.0,465.0,1639.0,461.0,261.0,1767.0,55.0,296.0,41.0,256.0,728.0,71.0,82.0,33.0,21.0,181.0,520.0,63.0,678.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,55.0,101.0,522.0,86.0,456.0,1170.0,799.0
164,218.0,110.0,78.0,513.0,149.0,307.0,1320.0,1916.0,187.0,225.0,1247.0,93.0,123.0,353.0,32.0,84.0,13.0,102.0,265.0,25.0,40.0,18.0,10.0,95.0,382.0,37.0,378.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,43.0,33.0,311.0,20.0,111.0,1096.0,581.0
42,88.0,56.0,27.0,438.0,50.0,433.0,988.0,189.0,839.0,127.0,293.0,385.0,69.0,749.0,9.0,159.0,14.0,104.0,326.0,31.0,19.0,4.0,4.0,48.0,73.0,11.0,94.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,41.0,76.0,85.0,320.0,176.0,118.0
