Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
29,49.0,10.0,14.0,20.0,2.0,2.0,77.0,7.0,2.0,0.0,1019.0,2.0,18.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,2.0,23.0,12.0
31,37.0,9.0,3.0,20.0,1.0,3.0,119.0,11.0,5.0,0.0,956.0,5.0,41.0,47.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,3.0,31.0,11.0
54,118.0,25.0,26.0,69.0,3.0,5.0,176.0,13.0,7.0,0.0,2340.0,7.0,58.0,53.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,5.0,35.0,17.0
108,71.0,20.0,133.0,78.0,3.0,4.0,129.0,10.0,6.0,0.0,2424.0,5.0,44.0,29.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,4.0,36.0,19.0
44,131.0,24.0,30.0,779.0,5.0,17.0,665.0,14.0,48.0,1.0,6491.0,55.0,148.0,219.0,0.0,24.0,2.0,13.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,36.0,131.0,21.0,78.0,42.0,20.0
5,8.0,1.0,1.0,5.0,18.0,18.0,279.0,17.0,8.0,4.0,952.0,6.0,13.0,16.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,6.0,13.0,5.0
15,23.0,3.0,3.0,20.0,27.0,128.0,2419.0,30.0,121.0,13.0,2720.0,94.0,55.0,165.0,0.0,7.0,0.0,6.0,40.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,16.0,98.0,27.0,11.0
17,27.0,4.0,3.0,16.0,13.0,52.0,545.0,46.0,52.0,3.0,1404.0,33.0,33.0,110.0,0.0,2.0,0.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,7.0,26.0,25.0,12.0
14,22.0,2.0,2.0,10.0,7.0,10.0,550.0,30.0,11.0,1.0,1684.0,7.0,30.0,41.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,2.0,6.0,74.0,13.0
7,15.0,2.0,2.0,18.0,4.0,53.0,1123.0,11.0,39.0,2.0,1069.0,56.0,47.0,173.0,0.0,5.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,9.0,62.0,11.0,4.0
4,6.0,1.0,1.0,5.0,17.0,35.0,199.0,9.0,8.0,0.0,479.0,6.0,9.0,13.0,1.0,1.0,0.0,3.0,14.0,2.0,2.0,0.0,0.0,15.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,6.0,11.0,5.0
17,20.0,3.0,3.0,12.0,2.0,4.0,128.0,12.0,7.0,0.0,108.0,4.0,15.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,3.0,27.0,9.0
5,10.0,2.0,1.0,24.0,3.0,26.0,436.0,7.0,46.0,1.0,480.0,21.0,25.0,144.0,0.0,5.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,13.0,27.0,7.0,4.0
2,5.0,0.0,0.0,2.0,0.0,1.0,34.0,1.0,2.0,0.0,181.0,3.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0
29,71.0,8.0,6.0,68.0,8.0,51.0,1913.0,33.0,131.0,3.0,3781.0,222.0,200.0,588.0,0.0,8.0,0.0,4.0,20.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,40.0,96.0,34.0,15.0
1,1.0,0.0,0.0,1.0,12.0,5.0,36.0,3.0,1.0,8.0,253.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,3.0,1.0
7,13.0,1.0,2.0,44.0,4.0,27.0,594.0,6.0,53.0,1.0,1444.0,79.0,34.0,84.0,0.0,125.0,8.0,30.0,62.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,15.0,131.0,13.0,4.0
0,1.0,0.0,0.0,1.0,0.0,1.0,45.0,1.0,2.0,0.0,169.0,3.0,2.0,3.0,0.0,9.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0
3,4.0,0.0,1.0,4.0,1.0,6.0,170.0,3.0,9.0,2.0,515.0,9.0,9.0,12.0,0.0,15.0,2.0,44.0,35.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,14.0,5.0,2.0
21,35.0,5.0,7.0,38.0,16.0,130.0,1685.0,30.0,145.0,20.0,3374.0,156.0,81.0,203.0,0.0,62.0,2.0,87.0,256.0,29.0,3.0,0.0,0.0,10.0,5.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,135.0,25.0,246.0,40.0,19.0
3,4.0,0.0,1.0,3.0,1.0,7.0,146.0,3.0,6.0,3.0,413.0,7.0,8.0,11.0,0.0,9.0,1.0,28.0,46.0,26.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,11.0,5.0,2.0
2,2.0,0.0,0.0,0.0,5.0,7.0,61.0,7.0,4.0,10.0,160.0,4.0,4.0,7.0,1.0,4.0,0.0,14.0,17.0,19.0,40.0,5.0,4.0,20.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,1.0,4.0,5.0,4.0
1,1.0,0.0,0.0,0.0,2.0,1.0,14.0,2.0,1.0,2.0,45.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,12.0,1.0,1.0,5.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0
0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0
10,14.0,2.0,2.0,10.0,24.0,61.0,412.0,17.0,16.0,127.0,1567.0,14.0,26.0,31.0,5.0,5.0,0.0,11.0,43.0,12.0,25.0,2.0,1.0,72.0,33.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,57.0,3.0,18.0,23.0,15.0
15,22.0,2.0,4.0,10.0,19.0,12.0,380.0,47.0,11.0,10.0,3171.0,12.0,39.0,31.0,1.0,1.0,0.0,2.0,6.0,1.0,2.0,1.0,1.0,6.0,148.0,13.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,99.0,4.0,11.0,152.0,80.0
0,1.0,0.0,0.0,0.0,3.0,3.0,14.0,7.0,1.0,4.0,345.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,5.0,3.0,9.0,6.0,5.0,8.0,52.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,8.0,0.0,2.0,9.0,16.0
49,47.0,10.0,43.0,38.0,5.0,6.0,240.0,18.0,9.0,1.0,3285.0,8.0,46.0,36.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,517.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,75.0,2.0,7.0,153.0,150.0
0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,108.0,84.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
6,4.0,1.0,162.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,106.0,400.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0
0,0.0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,86.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,11.0,5.0,35.0,29.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,62.0,1.0,0.0,0.0,10.0,111.0
1,3.0,0.0,0.0,139.0,1.0,5.0,28.0,1.0,6.0,2.0,102.0,9.0,4.0,16.0,0.0,32.0,8.0,87.0,25.0,23.0,6.0,0.0,0.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,890.0,3.0,2.0,14.0,1.0,5.0
7,12.0,2.0,1.0,6.0,2.0,4.0,145.0,12.0,6.0,0.0,430.0,4.0,10.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,11.0,4.0
