Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
3,4.0,2.0,3.0,4.0,0.0,1.0,18.0,1.0,1.0,0.0,122.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,4.0
13,10.0,7.0,2.0,26.0,1.0,3.0,35.0,9.0,4.0,2.0,143.0,4.0,18.0,21.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,4.0,22.0,18.0
4,4.0,3.0,3.0,10.0,0.0,1.0,4.0,2.0,1.0,0.0,23.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,4.0
4,3.0,3.0,18.0,12.0,0.0,0.0,4.0,1.0,0.0,0.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0
2,3.0,2.0,4.0,66.0,0.0,1.0,26.0,2.0,5.0,1.0,66.0,5.0,6.0,11.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,3.0,10.0,3.0,3.0
0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,3.0,1.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
1,1.0,0.0,1.0,3.0,2.0,5.0,100.0,5.0,8.0,5.0,39.0,5.0,1.0,8.0,0.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,3.0,2.0
13,18.0,7.0,9.0,47.0,14.0,102.0,1157.0,71.0,190.0,15.0,914.0,171.0,59.0,256.0,1.0,15.0,1.0,17.0,78.0,2.0,2.0,1.0,1.0,6.0,20.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,155.0,67.0,128.0,47.0,40.0
4,6.0,2.0,2.0,11.0,3.0,7.0,184.0,2.0,8.0,3.0,62.0,5.0,12.0,21.0,0.0,2.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,2.0,8.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,2.0,5.0,26.0,15.0
1,2.0,1.0,1.0,7.0,1.0,10.0,247.0,3.0,7.0,2.0,103.0,24.0,11.0,21.0,0.0,4.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,28.0,3.0,2.0
