Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
660,481.0,212.0,124.0,211.0,34.0,22.0,327.0,105.0,18.0,4.0,2147.0,16.0,98.0,118.0,1.0,1.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,310.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,159.0,4.0,12.0,292.0,160.0
274,496.0,133.0,26.0,120.0,24.0,15.0,269.0,80.0,17.0,3.0,1946.0,22.0,110.0,135.0,0.0,6.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,94.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,150.0,4.0,14.0,158.0,72.0
1066,1210.0,851.0,355.0,1042.0,82.0,60.0,980.0,257.0,68.0,13.0,5878.0,70.0,359.0,470.0,1.0,13.0,0.0,11.0,29.0,2.0,0.0,0.0,0.0,4.0,20.0,0.0,737.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,470.0,13.0,48.0,589.0,295.0
1231,876.0,571.0,8234.0,2813.0,86.0,69.0,981.0,286.0,52.0,12.0,5468.0,50.0,246.0,330.0,3.0,9.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,4.0,22.0,1.0,5491.0,0.0,0.0,148.0,366.0,93.0,0.0,0.0,0.0,0.0,66.0,0.0,415.0,10.0,37.0,906.0,594.0
3557,5154.0,3272.0,4477.0,128135.0,554.0,990.0,9797.0,1404.0,1252.0,101.0,31616.0,2139.0,2268.0,7038.0,9.0,2122.0,344.0,921.0,711.0,54.0,8.0,0.0,0.0,41.0,43.0,0.0,5233.0,29.0,77.0,93.0,345.0,3509.0,0.0,0.0,0.0,0.0,11.0,1754.0,2656.0,560.0,3121.0,2665.0,1359.0
75,107.0,29.0,12.0,75.0,1731.0,308.0,1685.0,316.0,103.0,100.0,1820.0,85.0,64.0,196.0,24.0,20.0,1.0,20.0,99.0,7.0,6.0,1.0,1.0,23.0,83.0,7.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,237.0,13.0,76.0,169.0,70.0
273,344.0,122.0,37.0,408.0,1143.0,2434.0,6637.0,705.0,845.0,263.0,5343.0,747.0,246.0,1340.0,17.0,142.0,7.0,100.0,711.0,27.0,17.0,1.0,0.0,70.0,76.0,11.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,760.0,101.0,727.0,435.0,192.0
107,149.0,53.0,12.0,112.0,239.0,221.0,3750.0,321.0,163.0,27.0,2540.0,116.0,105.0,435.0,1.0,16.0,1.0,15.0,64.0,1.0,2.0,1.0,0.0,8.0,12.0,3.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,436.0,16.0,92.0,172.0,78.0
138,191.0,58.0,16.0,84.0,179.0,88.0,1366.0,987.0,48.0,24.0,3246.0,39.0,115.0,212.0,5.0,8.0,0.0,9.0,34.0,3.0,2.0,1.0,0.0,9.0,46.0,1.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,520.0,5.0,30.0,531.0,146.0
84,144.0,68.0,9.0,213.0,149.0,359.0,2562.0,150.0,614.0,28.0,1918.0,463.0,149.0,968.0,2.0,49.0,3.0,23.0,131.0,5.0,4.0,0.0,0.0,7.0,15.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,263.0,63.0,296.0,107.0,48.0
41,54.0,19.0,7.0,53.0,314.0,193.0,733.0,159.0,60.0,693.0,710.0,54.0,26.0,107.0,33.0,28.0,3.0,50.0,259.0,28.0,25.0,2.0,1.0,148.0,118.0,14.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,104.0,8.0,61.0,145.0,68.0
82,141.0,42.0,10.0,47.0,27.0,17.0,312.0,86.0,17.0,5.0,1966.0,14.0,79.0,97.0,2.0,1.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,3.0,11.0,108.0,48.0
