Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
2303,1332.0,776.0,1097.0,1576.0,65.0,73.0,688.0,309.0,49.0,60.0,2033.0,51.0,280.0,331.0,1.0,20.0,0.0,3.0,84.0,0.0,0.0,0.0,0.0,13.0,96.0,0.0,2945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,11.0,53.0,1219.0,1159.0
1020,2022.0,586.0,284.0,1531.0,67.0,70.0,688.0,329.0,85.0,57.0,2468.0,81.0,486.0,569.0,3.0,28.0,0.0,5.0,83.0,0.0,0.0,0.0,0.0,13.0,69.0,0.0,1424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,20.0,86.0,851.0,997.0
2885,3236.0,3216.0,2415.0,8412.0,174.0,164.0,1735.0,784.0,207.0,146.0,5419.0,193.0,1122.0,1361.0,8.0,63.0,0.0,3.0,188.0,0.0,0.0,0.0,0.0,25.0,172.0,0.0,5698.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,45.0,209.0,2182.0,2414.0
1862,980.0,942.0,35699.0,8701.0,69.0,76.0,779.0,315.0,51.0,59.0,2069.0,46.0,261.0,314.0,3.0,6.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,4.0,71.0,0.0,20164.0,0.0,0.0,415.0,1333.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,11.0,50.0,1476.0,1241.0
2949,4583.0,3749.0,11111.0,448181.0,349.0,730.0,6170.0,1458.0,1174.0,241.0,9570.0,1688.0,2238.0,6913.0,8.0,4073.0,549.0,970.0,905.0,12.0,0.0,0.0,0.0,29.0,192.0,0.0,10980.0,14.0,137.0,89.0,749.0,10730.0,0.0,0.0,0.0,0.0,0.0,5301.0,1828.0,683.0,5744.0,3110.0,3394.0
215,286.0,114.0,68.0,575.0,4252.0,1145.0,4890.0,1984.0,397.0,1178.0,1907.0,251.0,229.0,680.0,117.0,179.0,3.0,308.0,849.0,49.0,73.0,21.0,3.0,257.0,894.0,65.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,770.0,43.0,270.0,942.0,730.0
560,710.0,287.0,183.0,2582.0,2525.0,8289.0,14026.0,2966.0,2927.0,2970.0,4304.0,2089.0,640.0,3464.0,89.0,993.0,36.0,1110.0,4881.0,196.0,113.0,21.0,0.0,633.0,715.0,35.0,1972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1540.0,361.0,2233.0,1599.0,1529.0
332,445.0,196.0,111.0,1040.0,846.0,943.0,10962.0,1786.0,746.0,409.0,2899.0,437.0,434.0,1836.0,21.0,159.0,1.0,206.0,602.0,27.0,11.0,5.0,0.0,88.0,286.0,7.0,1070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.0,81.0,356.0,968.0,892.0
379,515.0,205.0,125.0,827.0,633.0,374.0,3629.0,3780.0,214.0,320.0,3244.0,110.0,389.0,587.0,32.0,68.0,0.0,125.0,326.0,16.0,21.0,8.0,0.0,78.0,521.0,21.0,1303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1244.0,18.0,115.0,2248.0,1419.0
209,427.0,216.0,67.0,1890.0,436.0,1451.0,7435.0,685.0,2806.0,414.0,1828.0,1610.0,510.0,3343.0,14.0,414.0,12.0,323.0,1125.0,55.0,12.0,1.0,0.0,91.0,143.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,689.0,280.0,1148.0,515.0,450.0
