Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
920,572.0,326.0,360.0,788.0,58.0,86.0,398.0,226.0,57.0,64.0,1043.0,57.0,157.0,262.0,5.0,40.0,6.0,42.0,96.0,12.0,14.0,5.0,3.0,27.0,122.0,16.0,781.0,0.0,0.0,7.0,8.0,13.0,0.0,0.0,0.0,0.0,36.0,19.0,152.0,15.0,68.0,769.0,561.0
565,951.0,382.0,233.0,1157.0,76.0,107.0,485.0,309.0,106.0,78.0,1561.0,98.0,287.0,481.0,9.0,50.0,15.0,48.0,120.0,12.0,19.0,6.0,1.0,34.0,140.0,19.0,659.0,0.0,0.0,4.0,9.0,18.0,0.0,0.0,0.0,0.0,46.0,28.0,234.0,29.0,105.0,774.0,637.0
343,385.0,456.0,288.0,1177.0,44.0,55.0,297.0,157.0,73.0,43.0,764.0,66.0,176.0,305.0,3.0,38.0,4.0,28.0,70.0,8.0,11.0,4.0,0.0,22.0,77.0,15.0,501.0,0.0,0.0,3.0,10.0,17.0,0.0,0.0,0.0,0.0,25.0,16.0,121.0,18.0,71.0,430.0,344.0
403,219.0,295.0,9081.0,2575.0,34.0,52.0,249.0,126.0,35.0,39.0,542.0,33.0,78.0,141.0,4.0,23.0,4.0,29.0,59.0,8.0,6.0,3.0,0.0,20.0,85.0,13.0,3409.0,0.0,0.0,420.0,879.0,182.0,0.0,0.0,0.0,0.0,47.0,4.0,83.0,7.0,41.0,519.0,392.0
863,1224.0,1210.0,2584.0,121400.0,229.0,504.0,1950.0,708.0,621.0,249.0,3097.0,817.0,647.0,2335.0,22.0,2192.0,494.0,818.0,773.0,113.0,82.0,19.0,1.0,134.0,443.0,52.0,2472.0,113.0,169.0,171.0,798.0,4576.0,0.0,0.0,2.0,8.0,53.0,3500.0,529.0,362.0,2306.0,1643.0,1483.0
58,70.0,43.0,37.0,239.0,1024.0,393.0,972.0,522.0,147.0,368.0,470.0,95.0,62.0,222.0,54.0,98.0,14.0,119.0,310.0,33.0,70.0,29.0,12.0,142.0,396.0,52.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,38.0,154.0,21.0,116.0,361.0,223.0
79,104.0,59.0,49.0,530.0,395.0,1760.0,1646.0,478.0,602.0,544.0,621.0,439.0,93.0,651.0,25.0,285.0,25.0,233.0,887.0,73.0,60.0,15.0,8.0,190.0,222.0,28.0,222.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,22.0,80.0,182.0,99.0,526.0,361.0,259.0
386,509.0,321.0,255.0,1986.0,999.0,1626.0,10642.0,2034.0,1328.0,675.0,3167.0,833.0,525.0,2719.0,71.0,452.0,71.0,397.0,1139.0,104.0,119.0,41.0,25.0,265.0,685.0,97.0,1055.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,80.0,153.0,1166.0,194.0,783.0,1651.0,1204.0
230,301.0,171.0,133.0,790.0,506.0,458.0,2053.0,2498.0,251.0,342.0,1893.0,141.0,244.0,530.0,53.0,132.0,22.0,162.0,408.0,38.0,62.0,26.0,17.0,141.0,565.0,51.0,598.0,0.0,0.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,60.0,55.0,595.0,32.0,168.0,1609.0,858.0
58,110.0,71.0,36.0,615.0,143.0,590.0,1474.0,223.0,984.0,172.0,475.0,537.0,127.0,1018.0,9.0,228.0,22.0,141.0,447.0,44.0,26.0,7.0,3.0,62.0,94.0,15.0,132.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,54.0,140.0,123.0,454.0,221.0,159.0
