Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
1424,813.0,480.0,685.0,994.0,40.0,45.0,407.0,217.0,27.0,38.0,1096.0,32.0,161.0,198.0,1.0,13.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,9.0,61.0,0.0,1923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,6.0,31.0,769.0,731.0
612,1257.0,361.0,178.0,945.0,40.0,39.0,367.0,224.0,50.0,36.0,1224.0,47.0,254.0,322.0,2.0,18.0,0.0,3.0,52.0,0.0,0.0,0.0,0.0,7.0,42.0,0.0,933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,11.0,52.0,527.0,616.0
1765,1989.0,2048.0,1528.0,5338.0,106.0,99.0,1041.0,557.0,125.0,91.0,3142.0,119.0,671.0,838.0,2.0,42.0,0.0,2.0,119.0,0.0,0.0,0.0,0.0,18.0,110.0,0.0,3765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,25.0,130.0,1386.0,1529.0
1136,596.0,585.0,23056.0,5581.0,41.0,46.0,471.0,228.0,31.0,39.0,1094.0,29.0,153.0,190.0,1.0,4.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,13350.0,0.0,0.0,291.0,895.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,7.0,30.0,940.0,791.0
1857,2872.0,2461.0,7204.0,290665.0,218.0,456.0,3824.0,1054.0,726.0,152.0,5874.0,1053.0,1383.0,4338.0,4.0,2651.0,353.0,626.0,601.0,8.0,0.0,0.0,0.0,22.0,129.0,0.0,7187.0,11.0,85.0,62.0,514.0,7124.0,0.0,0.0,0.0,0.0,0.0,3479.0,1160.0,426.0,3688.0,2001.0,2185.0
129,177.0,74.0,41.0,366.0,2672.0,684.0,2825.0,1517.0,241.0,745.0,940.0,152.0,136.0,416.0,73.0,115.0,3.0,198.0,551.0,30.0,47.0,13.0,2.0,162.0,572.0,40.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,461.0,27.0,170.0,587.0,463.0
345,441.0,179.0,118.0,1650.0,1516.0,5110.0,7636.0,2266.0,1725.0,1873.0,1970.0,1235.0,376.0,2097.0,54.0,633.0,23.0,708.0,3152.0,127.0,71.0,16.0,0.0,404.0,464.0,23.0,1292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,853.0,212.0,1367.0,1011.0,965.0
195,265.0,122.0,72.0,646.0,491.0,528.0,6172.0,1309.0,408.0,254.0,1297.0,241.0,232.0,1057.0,13.0,103.0,1.0,126.0,372.0,19.0,8.0,1.0,0.0,54.0,175.0,6.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,41.0,207.0,597.0,549.0
232,316.0,126.0,78.0,523.0,379.0,223.0,1948.0,2778.0,124.0,201.0,1634.0,63.0,223.0,343.0,19.0,42.0,0.0,77.0,209.0,12.0,12.0,6.0,0.0,50.0,330.0,13.0,872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,720.0,11.0,68.0,1374.0,891.0
127,260.0,138.0,41.0,1201.0,265.0,843.0,3807.0,512.0,1725.0,259.0,751.0,914.0,288.0,1986.0,9.0,265.0,7.0,204.0,719.0,35.0,8.0,1.0,0.0,59.0,93.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,363.0,155.0,683.0,319.0,280.0
48,60.0,24.0,11.0,92.0,269.0,278.0,578.0,279.0,86.0,2971.0,239.0,63.0,35.0,110.0,54.0,67.0,3.0,191.0,669.0,70.0,61.0,11.0,1.0,489.0,377.0,29.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,85.0,12.0,80.0,205.0,196.0
223,385.0,129.0,71.0,497.0,60.0,51.0,509.0,333.0,53.0,36.0,1635.0,40.0,219.0,280.0,4.0,11.0,0.0,11.0,61.0,0.0,0.0,0.0,0.0,12.0,73.0,1.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,5.0,37.0,477.0,529.0
71,128.0,69.0,20.0,958.0,80.0,312.0,1019.0,139.0,435.0,99.0,294.0,866.0,140.0,937.0,4.0,191.0,10.0,118.0,377.0,19.0,1.0,0.0,0.0,30.0,22.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114.0,169.0,489.0,140.0,125.0
94,190.0,94.0,34.0,298.0,22.0,26.0,269.0,131.0,43.0,16.0,563.0,37.0,297.0,254.0,2.0,12.0,0.0,4.0,28.0,1.0,0.0,0.0,0.0,3.0,26.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7.0,30.0,184.0,189.0
635,1248.0,653.0,204.0,5140.0,402.0,959.0,7431.0,1105.0,1756.0,316.0,3565.0,1778.0,1229.0,8088.0,16.0,458.0,25.0,294.0,910.0,45.0,4.0,0.0,0.0,77.0,200.0,2.0,1719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1225.0,491.0,1162.0,1196.0,1268.0
33,51.0,22.0,12.0,50.0,355.0,121.0,476.0,409.0,40.0,876.0,298.0,31.0,35.0,77.0,285.0,20.0,0.0,100.0,184.0,38.0,128.0,40.0,8.0,537.0,1270.0,116.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,115.0,5.0,28.0,299.0,313.0
