Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
702,424.0,245.0,246.0,537.0,43.0,65.0,282.0,189.0,44.0,43.0,750.0,42.0,114.0,199.0,4.0,28.0,4.0,28.0,68.0,8.0,10.0,4.0,2.0,19.0,87.0,10.0,544.0,0.0,0.0,5.0,7.0,9.0,0.0,0.0,0.0,0.0,27.0,12.0,111.0,12.0,51.0,591.0,385.0
420,703.0,290.0,160.0,781.0,56.0,76.0,296.0,250.0,75.0,56.0,1023.0,69.0,200.0,353.0,8.0,32.0,8.0,31.0,88.0,8.0,12.0,4.0,1.0,20.0,94.0,15.0,452.0,0.0,0.0,4.0,9.0,11.0,0.0,0.0,0.0,0.0,33.0,20.0,157.0,22.0,76.0,580.0,425.0
261,282.0,345.0,189.0,810.0,31.0,40.0,218.0,129.0,56.0,30.0,606.0,48.0,130.0,237.0,2.0,25.0,3.0,16.0,51.0,7.0,8.0,4.0,0.0,14.0,56.0,8.0,349.0,0.0,0.0,2.0,8.0,13.0,0.0,0.0,0.0,0.0,19.0,8.0,96.0,13.0,53.0,328.0,236.0
306,158.0,226.0,6251.0,1766.0,28.0,40.0,185.0,104.0,26.0,28.0,413.0,27.0,57.0,104.0,3.0,18.0,2.0,20.0,42.0,4.0,4.0,2.0,0.0,10.0,61.0,9.0,2388.0,0.0,0.0,326.0,665.0,126.0,0.0,0.0,0.0,0.0,36.0,2.0,63.0,6.0,30.0,397.0,269.0
650,921.0,946.0,1786.0,83677.0,178.0,383.0,1475.0,584.0,478.0,181.0,2472.0,618.0,487.0,1792.0,13.0,1522.0,332.0,563.0,541.0,77.0,55.0,10.0,1.0,95.0,308.0,40.0,1738.0,86.0,133.0,143.0,603.0,3087.0,0.0,0.0,2.0,6.0,41.0,2491.0,400.0,274.0,1646.0,1264.0,1017.0
44,51.0,33.0,26.0,163.0,781.0,296.0,681.0,445.0,108.0,258.0,350.0,73.0,49.0,167.0,42.0,68.0,10.0,83.0,213.0,22.0,47.0,21.0,8.0,97.0,275.0,37.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,27.0,110.0,15.0,88.0,273.0,152.0
59,75.0,44.0,33.0,360.0,296.0,1301.0,787.0,404.0,430.0,377.0,259.0,301.0,62.0,486.0,18.0,193.0,18.0,156.0,609.0,50.0,43.0,10.0,5.0,130.0,154.0,21.0,151.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,55.0,90.0,70.0,380.0,278.0,178.0
282,361.0,243.0,167.0,1314.0,714.0,832.0,5659.0,1643.0,545.0,451.0,935.0,381.0,276.0,1682.0,54.0,298.0,47.0,248.0,681.0,62.0,76.0,31.0,16.0,169.0,461.0,62.0,702.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,56.0,110.0,426.0,68.0,427.0,1224.0,800.0
172,221.0,130.0,88.0,534.0,378.0,333.0,1203.0,2126.0,181.0,243.0,1165.0,100.0,172.0,389.0,39.0,93.0,15.0,109.0,281.0,27.0,43.0,17.0,10.0,97.0,390.0,34.0,419.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,44.0,39.0,373.0,22.0,124.0,1213.0,581.0
44,79.0,56.0,25.0,413.0,108.0,406.0,498.0,187.0,725.0,118.0,141.0,308.0,87.0,758.0,7.0,152.0,16.0,96.0,306.0,30.0,18.0,5.0,2.0,43.0,67.0,10.0,93.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,38.0,56.0,62.0,300.0,167.0,107.0
48,52.0,31.0,25.0,174.0,285.0,380.0,406.0,307.0,127.0,2420.0,233.0,94.0,39.0,154.0,96.0,102.0,15.0,180.0,568.0,108.0,134.0,41.0,15.0,579.0,560.0,75.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,78.0,60.0,22.0,120.0,335.0,232.0
741,1055.0,588.0,347.0,2029.0,341.0,231.0,546.0,1534.0,127.0,261.0,4425.0,136.0,634.0,1077.0,41.0,145.0,34.0,157.0,336.0,36.0,62.0,19.0,15.0,106.0,542.0,69.0,1393.0,0.0,0.0,6.0,13.0,31.0,0.0,0.0,0.0,0.0,142.0,80.0,421.0,19.0,178.0,2439.0,1683.0
41,71.0,52.0,26.0,529.0,68.0,281.0,388.0,109.0,317.0,89.0,163.0,629.0,76.0,640.0,7.0,204.0,20.0,102.0,307.0,29.0,16.0,5.0,2.0,36.0,46.0,9.0,88.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,46.0,49.0,132.0,431.0,139.0,87.0
116,206.0,133.0,55.0,431.0,47.0,68.0,230.0,205.0,84.0,38.0,784.0,73.0,298.0,371.0,5.0,32.0,6.0,27.0,63.0,5.0,8.0,5.0,1.0,12.0,77.0,9.0,200.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,19.0,14.0,134.0,18.0,64.0,344.0,229.0
207,369.0,232.0,97.0,1541.0,162.0,481.0,1776.0,409.0,761.0,144.0,1203.0,675.0,386.0,2837.0,11.0,243.0,23.0,131.0,385.0,35.0,28.0,6.0,3.0,56.0,148.0,19.0,354.0,0.0,0.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,31.0,66.0,281.0,195.0,486.0,573.0,400.0
4,7.0,3.0,3.0,16.0,42.0,22.0,52.0,47.0,8.0,95.0,38.0,7.0,4.0,14.0,54.0,7.0,2.0,13.0,27.0,9.0,30.0,13.0,5.0,75.0,164.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,1.0,5.0,56.0,44.0
34,50.0,28.0,19.0,1488.0,71.0,226.0,395.0,135.0,180.0,111.0,208.0,246.0,40.0,280.0,7.0,6550.0,636.0,1337.0,1311.0,177.0,99.0,15.0,15.0,89.0,79.0,31.0,85.0,11.0,6.0,0.0,0.0,25.0,0.0,0.0,2.0,0.0,7.0,525.0,46.0,63.0,557.0,123.0,95.0
7,12.0,2.0,2.0,322.0,12.0,24.0,57.0,25.0,18.0,17.0,45.0,22.0,4.0,30.0,1.0,666.0,3507.0,1006.0,158.0,49.0,34.0,3.0,7.0,27.0,29.0,10.0,6.0,18.0,4.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,894.0,13.0,7.0,55.0,24.0,14.0
36,39.0,19.0,18.0,496.0,90.0,202.0,347.0,177.0,116.0,187.0,234.0,124.0,30.0,149.0,17.0,1383.0,984.0,16464.0,1907.0,990.0,461.0,54.0,56.0,267.0,236.0,89.0,101.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,29.0,2043.0,54.0,27.0,226.0,146.0,136.0
71,85.0,49.0,43.0,527.0,218.0,655.0,771.0,388.0,333.0,574.0,425.0,337.0,63.0,423.0,26.0,1283.0,138.0,1811.0,4349.0,598.0,313.0,40.0,30.0,377.0,240.0,62.0,189.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,28.0,413.0,100.0,65.0,690.0,300.0,223.0
8,10.0,11.0,5.0,80.0,26.0,53.0,88.0,41.0,34.0,116.0,54.0,35.0,7.0,45.0,8.0,182.0,51.0,1000.0,635.0,1703.0,761.0,75.0,64.0,221.0,147.0,63.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,666.0,11.0,10.0,66.0,42.0,46.0
13,14.0,8.0,4.0,55.0,57.0,45.0,86.0,53.0,17.0,146.0,67.0,20.0,12.0,32.0,30.0,119.0,33.0,470.0,339.0,764.0,3105.0,362.0,348.0,494.0,456.0,199.0,23.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,70.0,791.0,17.0,5.0,43.0,76.0,107.0
3,2.0,5.0,2.0,17.0,23.0,15.0,29.0,28.0,6.0,42.0,26.0,3.0,5.0,8.0,16.0,16.0,5.0,56.0,43.0,74.0,366.0,454.0,136.0,113.0,209.0,196.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,43.0,95.0,6.0,1.0,4.0,29.0,40.0
2,1.0,2.0,0.0,1.0,10.0,7.0,23.0,18.0,5.0,20.0,20.0,4.0,2.0,5.0,6.0,13.0,3.0,63.0,40.0,70.0,378.0,148.0,1968.0,53.0,151.0,251.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,234.0,425.0,7.0,1.0,3.0,21.0,39.0
17,21.0,13.0,12.0,91.0,112.0,135.0,177.0,132.0,50.0,605.0,105.0,40.0,14.0,61.0,82.0,78.0,24.0,256.0,402.0,216.0,478.0,111.0,50.0,1508.0,712.0,175.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,146.0,31.0,10.0,69.0,150.0,150.0
89,107.0,63.0,57.0,331.0,296.0,171.0,503.0,493.0,74.0,608.0,652.0,54.0,89.0,170.0,178.0,74.0,29.0,219.0,247.0,141.0,440.0,199.0,134.0,685.0,12221.0,1444.0,458.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,409.0,169.0,146.0,16.0,66.0,1673.0,2966.0
13,15.0,10.0,4.0,35.0,41.0,25.0,76.0,54.0,14.0,86.0,83.0,7.0,12.0,25.0,27.0,28.0,6.0,86.0,67.0,62.0,203.0,199.0,227.0,178.0,1510.0,4131.0,102.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,629.0,145.0,17.0,4.0,12.0,153.0,977.0
