Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
33,52.0,11.0,14.0,17.0,5.0,3.0,127.0,8.0,4.0,0.0,1271.0,3.0,28.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,2.0,26.0,12.0
30,39.0,10.0,3.0,16.0,5.0,3.0,150.0,11.0,5.0,0.0,1319.0,5.0,56.0,45.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,3.0,32.0,8.0
56,120.0,28.0,26.0,62.0,8.0,6.0,267.0,14.0,9.0,0.0,2489.0,8.0,80.0,51.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,2.0,5.0,39.0,15.0
111,71.0,21.0,136.0,63.0,8.0,7.0,276.0,11.0,7.0,0.0,2982.0,6.0,58.0,29.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,98.0,2.0,4.0,42.0,17.0
47,134.0,27.0,29.0,798.0,19.0,25.0,941.0,19.0,49.0,1.0,7612.0,65.0,211.0,227.0,0.0,26.0,2.0,11.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,37.0,221.0,14.0,81.0,48.0,18.0
5,8.0,1.0,1.0,5.0,3.0,42.0,527.0,19.0,12.0,5.0,1093.0,9.0,16.0,21.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,9.0,15.0,5.0
18,27.0,3.0,5.0,22.0,155.0,171.0,3213.0,42.0,166.0,15.0,3480.0,149.0,69.0,210.0,0.0,8.0,0.0,6.0,48.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,25.0,142.0,41.0,12.0
15,27.0,4.0,3.0,15.0,44.0,64.0,1343.0,51.0,59.0,2.0,1800.0,40.0,46.0,120.0,0.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,7.0,30.0,32.0,11.0
13,21.0,2.0,3.0,8.0,21.0,16.0,696.0,33.0,13.0,1.0,2084.0,10.0,41.0,41.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,2.0,7.0,80.0,13.0
9,17.0,2.0,2.0,18.0,17.0,83.0,1347.0,17.0,47.0,2.0,1439.0,120.0,64.0,197.0,0.0,5.0,0.0,2.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,19.0,84.0,17.0,5.0
