,Dist_No,District_Name,1 Pittsburgh Chateau Area,2 Pittsburgh Lower North Side,3 Pittsburgh Upper North Side,4 Allegheny County Northwest,5 Allegheny County North (remainder),6 Hazelwood,7 Squirrel Hill,8 Oakland,9 South Side,10 Shadyside,11 Waterfront (West Homestead Homestead Munhall(part)),12 Downtown,13 East Liberty,14 Strip District,15 Pittsburgh East (remainder),16 Hays Lincoln Place,17 Verona Oakmont Penn Hills,18 Plum Borough,19 Monroeville Pitcairn Turtle Creek,20 Wilkinsburg Wilkins Braddock and vicinity,21 Wilmerding Wall North Versailles,22 McKeesport White Oak,23 Lincoln Liberty Port Vue,24 Elizabeth Forward South Versailles,25 Munhall Whitaker Duquesne,26 Baldwin Brentwood Whitehall West Mifflin,27 Allegheny County Southeast (remainder),28 Allegheny County West,29 Armstrong County East,30 Armstrong County West,31 Beaver County South,32 Beaver County North,33 Butler County,34 Fayette County,35 Greene County,36 Indiana County,37 Lawrence County,38 Washington County,39 Westmoreland County,40 Midtown/Uptown,41 Highland Park,42 Homewood/Lincoln-Lemington,43 Pittsburgh Southwest (remainder),44 Allegheny County Southcentral
0,1,Pittsburgh Chateau Area,1.1538461538461537,1.0721649484536082,1.1071428571428572,1.0483870967741935,0.9577464788732394,3.0,1.1666666666666667,1.3958333333333333,1.2,1.1666666666666667,1.0,1.2357894736842105,1.2,1.5135135135135136,1.0810810810810811,0,0,0,0.0,0.75,0,0,0,0,0,1.0,0,0.9791666666666666,0,0,0,0,0,0,0,0,0,0,0,1.565217391304348,2.0,1.0,1.1481481481481481,1.065217391304348
1,2,Pittsburgh Lower North Side,1.0,1.0119047619047619,1.088235294117647,1.0714285714285714,0.975,4.0,1.4,1.4567901234567902,1.0810810810810811,1.1764705882352942,1.0,1.463654223968566,1.1333333333333333,1.396551724137931,1.064,0,1.0,0,0.5,1.1428571428571428,0,0,0,0,2.0,0.875,0.0,0.967741935483871,0,0,0,0,0,0,0,0,0,1.0,0.0,1.6493506493506493,1.25,1.1666666666666667,1.0681818181818181,0.9864864864864865
2,3,Pittsburgh Upper North Side,1.056910569105691,1.0325581395348837,1.140625,1.021505376344086,0.9922480620155039,2.8,1.2,1.3946360153256705,1.1,1.1333333333333333,1.0,1.082488640335547,1.1538461538461537,1.4059405940594059,1.0510204081632653,0,1.0,0,1.0,1.1666666666666667,0,0,0,0,0,1.0,0,0.9705882352941176,0,0,0,0,0,0,0,0,0,0,0,1.4891304347826086,2.0,1.0,1.131578947368421,1.0142857142857142
3,4,Allegheny County Northwest,1.0674846625766872,1.036697247706422,1.0952380952380953,1.043731778425656,0.8756218905472637,2.5,1.6666666666666667,1.7966101694915255,1.1333333333333333,1.125,1.0,1.2407137654770575,1.1666666666666667,1.396551724137931,1.0731707317073171,0,1.0,0,0.0,1.0,0,0,0,0,0,1.0,0,0.9859649122807017,0,0,1.0,0.9166666666666666,0,0,0,0,0,1.0,0,1.6470588235294117,2.0,1.0,1.1785714285714286,1.0
4,5,Allegheny County North (remainder),1.064516129032258,1.0350877192982457,1.125,0.9705882352941176,1.028002947678703,3.8333333333333335,1.375,1.2794117647058822,1.2727272727272727,0.8666666666666667,1.0,1.171944404642499,1.0476190476190477,1.4210526315789473,1.0289389067524115,0,1.064516129032258,1.0,0.7647058823529411,0.9411764705882353,1.0,0,0,0,0,1.0,0,0.8983050847457628,0,1.0,0,0,1.1666666666666667,0,0,0,0,0,1.043010752688172,1.5714285714285714,0.631578947368421,0.8375,1.1607142857142858,1.0
5,6,Hazelwood,1.375,1.2307692307692308,1.5,1.0,1.2142857142857142,0.20689655172413793,2.2954545454545454,2.029469548133595,1.5106382978723405,1.3333333333333333,1.4761904761904763,1.2857142857142858,1.4615384615384615,1.5789473684210527,1.6774193548387097,1.0,1.6666666666666667,0,1.3333333333333333,1.4705882352941178,0,2.0,0,0,1.2,1.411764705882353,2.0,1.125,0,0,0,0,0,0,0,0,0,0,0,1.796875,2.0,1.4615384615384615,1.4137931034482758,1.368421052631579
6,7,Squirrel Hill,1.0714285714285714,1.15,1.0,1.2222222222222223,1.0689655172413792,5.169811320754717,1.8465116279069766,1.3908018300024079,1.2777777777777777,1.3835125448028673,1.2714285714285714,1.390693832599119,1.782122905027933,1.423529411764706,1.2555205047318612,1.0,1.2727272727272727,0,1.2083333333333333,1.5378151260504203,1.5,3.0,0,0,1.5454545454545454,0.9285714285714286,0,1.2708333333333333,0,0,0,0,0,0,0,0,0,0,0,2.2095588235294117,1.8125,1.6184971098265897,1.3888888888888888,1.2439024390243902
7,8,Oakland,0.86,1.0389610389610389,1.0,1.2,1.182608695652174,3.6595744680851063,2.965811965811966,2.3761279737489747,1.2857142857142858,2.23342939481268,1.8387096774193548,1.527048914804017,1.6901960784313725,1.9064748201438848,1.5245901639344261,1.0,1.3333333333333333,1.0,1.4838709677419355,1.8571428571428572,4.25,2.5,1.0,1.0,2.111111111111111,0.8787878787878788,1.0,1.1081081081081081,0,0,0,0,0,0,0,0,0,1.0,1.0,2.7480106100795756,1.4588235294117646,1.586021505376344,1.1440677966101696,1.1782178217821782
8,9,South Side,0.9354838709677419,1.0,1.1111111111111112,1.2222222222222223,0.9148936170212766,3.1578947368421053,1.6285714285714286,1.3897353648757016,1.1129032258064515,1.1578947368421053,1.2,1.419650655021834,1.35,1.2876712328767124,1.0,0,1.0,0,1.1428571428571428,1.0,0,2.0,0,0,1.3333333333333333,0.9583333333333334,0.5,1.0491803278688525,0,0,0,0,0,0,0,0,0,1.0,0,2.328125,1.0,1.1111111111111112,1.1085714285714285,1.0277777777777777
9,10,Shadyside,1.0666666666666667,1.0625,1.0,1.0,1.0555555555555556,3.272727272727273,1.8102189781021898,1.3335823683227495,1.236842105263158,1.3125,1.1666666666666667,1.379942693409742,2.4035087719298245,1.316326530612245,1.1153846153846154,0,1.0,0,1.0,1.0952380952380953,3.0,0,0,0,1.5,1.0,0,1.2222222222222223,0,0,0,0,0,0,0,0,0,0,0,2.107594936708861,2.96875,1.4666666666666666,1.2962962962962963,1.15
10,11,Waterfront (West Homestead Homestead Munhall(part)),1.0,0.9166666666666666,1.0,1.0,0.875,2.5483870967741935,1.6329113924050633,1.9937694704049844,1.1724137931034482,1.3636363636363635,0,1.1218637992831542,1.7857142857142858,1.2307692307692308,1.2857142857142858,1.0,1.1428571428571428,0,1.105263157894737,1.463768115942029,1.5714285714285714,1.25,1.0,0,1.35,1.0277777777777777,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.4516129032258065,2.0,1.4666666666666666,1.0333333333333334,1.0
