District_No,District,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
1,Pittsburgh Chateau Area,0.03550452119569726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pittsburgh Lower North Side,0.17148269079573603,0.0531770725045712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pittsburgh Upper North Side,0.08828183829871376,0.134835020845795,0.026712650723146526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Allegheny County Northwest,0.1543638482803154,0.14135046750526237,0.09343766843663881,0.01281169478950312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Allegheny County North (remainder),0.07318071607902132,0.1265361212921151,0.053708186154139755,0.027828079303257366,0.004501250838685202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Hazelwood,0.1609583227230286,0.1560362763851136,0.08877584385930742,0.12492440157881335,0.06153155400620313,0.0307617606661516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Squirrel Hill,0.13014270283102672,0.19551213927922512,0.08260517615707112,0.11417281626837184,0.047772484078987015,0.11539458842522328,0.0392184305750127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Oakland,0.3118293866523156,0.45614232176525626,0.18757016412932898,0.24398939128869146,0.14842443825520113,0.32493190758357926,0.5151462380682728,0.16759961572878104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,South Side,0.13112420281094836,0.20296412636961272,0.08018255598219072,0.10997922450576683,0.07520197192089514,0.1280148064415545,0.1403331416102628,0.48811122254709505,0.021848774272286008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Shadyside,0.17345398601724,0.2729535320674858,0.1016788765339432,0.18571931131661873,0.08898151004528372,0.13654564077609133,0.23065012149250946,0.6923249639420589,0.23096337576285494,0.048161512150442225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Waterfront (West Homestead Homestead Munhall(part)),0.07249327636860174,0.10330948367852752,0.0578740157480315,0.11046181630546956,0.07126123696302357,0.14524623176660795,0.1798276796931249,0.29786287857426363,0.09139165854792083,0.14234008327585673,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Downtown,0.6648545505765002,0.6059266184505561,0.39924908188051556,0.6521842310382248,0.35607575661108815,0.6631262632405368,0.757557864144704,1.261742449953371,0.5724449124125421,1.0959629222496508,0.38860897001546846,0.12685409693852856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,East Liberty,0.2170771942511073,0.3126638632275701,0.1398696474850846,0.22354935580742036,0.12955951099119553,0.213695996743253,0.2723402781840837,0.815252717902929,0.27829241468151666,0.3347376315527405,0.16446002212281824,1.1698558280908553,0.045979979794231046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
