District_No,District,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
1,Pittsburgh Chateau Area,3313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pittsburgh Lower North Side,3963.0,3400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pittsburgh Upper North Side,5050.0,5666.0,3921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Allegheny County Northwest,4533.0,2475.0,4524.0,47603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Allegheny County North (remainder),8970.0,12786.0,17340.0,30636.0,596529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Hazelwood,309.0,426.0,241.0,152.0,1022.0,1586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Squirrel Hill,1069.0,1354.0,687.0,426.0,5289.0,2737.0,10436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Oakland,2096.0,2601.0,3427.0,2185.0,19697.0,5405.0,22492.0,24170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,South Side,1275.0,1686.0,1462.0,884.0,4815.0,2218.0,4452.0,10202.0,6463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Shadyside,472.0,911.0,677.0,263.0,5664.0,749.0,6415.0,13175.0,1469.0,4482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Waterfront (West Homestead Homestead Munhall(part)),313.0,396.0,278.0,169.0,1067.0,1623.0,4457.0,3474.0,1485.0,995.0,8543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Downtown,5301.0,7048.0,10915.0,6942.0,37256.0,3202.0,9394.0,11495.0,9148.0,4237.0,2112.0,10445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,East Liberty,310.0,569.0,477.0,190.0,6455.0,400.0,3776.0,4772.0,607.0,3827.0,563.0,2003.0,2373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Strip District,536.0,1002.0,1340.0,482.0,4061.0,229.0,792.0,1501.0,800.0,704.0,168.0,2610.0,423.0,386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pittsburgh East (remainder),2207.0,4202.0,3365.0,1217.0,24838.0,1091.0,7062.0,24353.0,3403.0,9430.0,1173.0,15597.0,6921.0,3055.0,18280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Hays Lincoln Place,119.0,159.0,66.0,39.0,215.0,552.0,486.0,1570.0,791.0,159.0,1868.0,1288.0,112.0,82.0,256.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Verona Oakmont Penn Hills,539.0,885.0,452.0,124.0,23827.0,533.0,3296.0,8830.0,1386.0,2671.0,1170.0,5159.0,3496.0,523.0,4464.0,92.0,63116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Plum Borough,96.0,140.0,49.0,9.0,6397.0,105.0,462.0,1679.0,284.0,348.0,163.0,1786.0,495.0,93.0,680.0,7.0,12706.0,30880.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Monroeville Pitcairn Turtle Creek,296.0,382.0,154.0,86.0,4708.0,511.0,2185.0,3671.0,1010.0,1045.0,1479.0,3488.0,924.0,178.0,1462.0,157.0,21463.0,22999.0,87019.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,Wilkinsburg Wilkins Braddock and vicinity,1267.0,1597.0,815.0,425.0,7255.0,1825.0,11358.0,16748.0,4101.0,5161.0,7751.0,10767.0,4539.0,805.0,6473.0,547.0,24119.0,2931.0,26587.0,42025.0,,,,,,,,,,,,,,,,,,,,,,,,
21,Wilmerding Wall North Versailles,122.0,153.0,60.0,30.0,529.0,176.0,705.0,1836.0,429.0,426.0,1333.0,1587.0,423.0,84.0,598.0,133.0,2500.0,532.0,15789.0,10777.0,12017.0,,,,,,,,,,,,,,,,,,,,,,,
22,McKeesport White Oak,123.0,156.0,47.0,10.0,270.0,493.0,801.0,1765.0,793.0,337.0,2544.0,2060.0,328.0,86.0,448.0,529.0,1341.0,207.0,8016.0,6180.0,12185.0,28645.0,,,,,,,,,,,,,,,,,,,,,,
23,Lincoln Liberty Port Vue,54.0,77.0,24.0,7.0,37.0,363.0,330.0,1472.0,646.0,115.0,1103.0,1288.0,73.0,51.0,179.0,326.0,232.0,24.0,1327.0,1297.0,1630.0,8887.0,6224.0,,,,,,,,,,,,,,,,,,,,,
24,Elizabeth Forward South Versailles,5.0,8.0,2.0,0.0,2.0,246.0,177.0,136.0,133.0,43.0,603.0,59.0,45.0,5.0,33.0,135.0,193.0,36.0,1805.0,1101.0,1769.0,8570.0,3120.0,19923.0,,,,,,,,,,,,,,,,,,,,
25,Munhall Whitaker Duquesne,505.0,623.0,236.0,88.0,830.0,1362.0,2673.0,6330.0,2064.0,908.0,12497.0,4925.0,698.0,271.0,1251.0,1886.0,1146.0,107.0,2859.0,8363.0,3368.0,9396.0,2812.0,1347.0,18463.0,,,,,,,,,,,,,,,,,,,
26,Baldwin Brentwood Whitehall West Mifflin,1521.0,2062.0,931.0,489.0,2801.0,2464.0,2312.0,9565.0,5939.0,912.0,6067.0,14215.0,607.0,979.0,2340.0,3187.0,413.0,24.0,687.0,2693.0,1305.0,6124.0,5150.0,4978.0,12350.0,76492.0,,,,,,,,,,,,,,,,,,
27,Allegheny County Southeast (remainder),158.0,189.0,61.0,28.0,102.0,447.0,358.0,1071.0,816.0,115.0,1167.0,2281.0,80.0,90.0,219.0,427.0,82.0,4.0,383.0,671.0,679.0,2947.0,4392.0,5544.0,2890.0,26207.0,39180.0,,,,,,,,,,,,,,,,,
28,Allegheny County West,7386.0,4958.0,8471.0,38652.0,23439.0,766.0,2792.0,5888.0,3553.0,911.0,695.0,15008.0,512.0,1086.0,4486.0,212.0,811.0,229.0,674.0,2022.0,213.0,260.0,116.0,147.0,663.0,6572.0,1576.0,343423.0,,,,,,,,,,,,,,,,
29,Armstrong County East,0.0,0.0,0.0,0.0,4474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,919.0,1058.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,92599.0,,,,,,,,,,,,,,,
30,Armstrong County West,0.0,1.0,0.0,0.0,5733.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,27.0,0.0,199.0,35.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19842.0,38561.0,,,,,,,,,,,,,,
31,Beaver County South,93.0,31.0,41.0,6344.0,1634.0,0.0,2.0,4.0,4.0,1.0,0.0,64.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47035.0,0.0,0.0,82007.0,,,,,,,,,,,,,
32,Beaver County North,209.0,198.0,128.0,13300.0,15468.0,0.0,1.0,9.0,15.0,2.0,0.0,658.0,0.0,39.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19838.0,0.0,0.0,53990.0,233805.0,,,,,,,,,,,,
33,Butler County,126.0,196.0,194.0,2104.0,59974.0,0.0,7.0,20.0,16.0,22.0,0.0,308.0,64.0,48.0,229.0,0.0,427.0,81.0,114.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.0,2366.0,11569.0,2291.0,33492.0,549469.0,,,,,,,,,,,
34,Fayette County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,119.0,58.0,401.0,7.0,183.0,314.0,20.0,0.0,0.0,0.0,0.0,0.0,328477.0,,,,,,,,,,
35,Greene County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,6627.0,100421.0,,,,,,,,,
36,Indiana County,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,78.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12050.0,82.0,0.0,0.0,2.0,0.0,0.0,246182.0,,,,,,,,
37,Lawrence County,0.0,0.0,0.0,3.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,674.0,24362.0,12815.0,0.0,0.0,0.0,236382.0,,,,,,,
38,Washington County,182.0,199.0,73.0,316.0,137.0,96.0,65.0,184.0,227.0,20.0,231.0,1300.0,13.0,65.0,107.0,82.0,3.0,0.0,51.0,79.0,156.0,850.0,713.0,4527.0,473.0,6623.0,13386.0,41309.0,0.0,0.0,2532.0,184.0,0.0,18366.0,5848.0,0.0,0.0,551210.0,,,,,,
39,Westmoreland County,85.0,158.0,81.0,9.0,49244.0,237.0,1126.0,1540.0,360.0,714.0,1061.0,1613.0,1011.0,136.0,1310.0,102.0,11276.0,17300.0,46195.0,8831.0,10871.0,12348.0,1581.0,8356.0,2051.0,2517.0,2383.0,671.0,20625.0,1422.0,0.0,0.0,2959.0,43768.0,28.0,13454.0,0.0,27055.0,953523.0,,,,,
40,Midtown/Uptown,711.0,1057.0,1395.0,696.0,4451.0,717.0,1959.0,4145.0,2380.0,969.0,393.0,4635.0,422.0,511.0,3178.0,246.0,742.0,204.0,449.0,1781.0,202.0,300.0,268.0,22.0,791.0,2242.0,341.0,1803.0,0.0,0.0,8.0,51.0,37.0,0.0,0.0,0.0,0.0,121.0,243.0,972.0,,,,
41,Highland Park,275.0,534.0,287.0,89.0,6078.0,151.0,1297.0,4022.0,358.0,1761.0,273.0,2305.0,2809.0,402.0,4405.0,24.0,1078.0,106.0,364.0,1331.0,100.0,53.0,11.0,7.0,158.0,184.0,12.0,394.0,1.0,9.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,7.0,200.0,392.0,1286.0,,,
