District_No,District,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
1,Pittsburgh Chateau Area,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pittsburgh Lower North Side,186.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pittsburgh Upper North Side,151.0,249.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Allegheny County Northwest,225.0,123.0,135.0,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Allegheny County North (remainder),133.0,291.0,298.0,269.0,1357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Hazelwood,11.0,16.0,7.0,7.0,20.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Squirrel Hill,34.0,50.0,16.0,15.0,82.0,97.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Oakland,194.0,320.0,279.0,197.0,931.0,556.0,4387.0,2438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,South Side,46.0,86.0,39.0,24.0,69.0,66.0,125.0,1464.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Shadyside,21.0,49.0,21.0,14.0,147.0,32.0,416.0,3024.0,76.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Waterfront (West Homestead Homestead Munhall(part)),9.0,16.0,5.0,4.0,19.0,52.0,149.0,352.0,39.0,34.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Downtown,1502.0,1635.0,2878.0,2769.0,7051.0,1246.0,3687.0,4553.0,2336.0,1892.0,562.0,938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,East Liberty,19.0,42.0,20.0,11.0,209.0,22.0,260.0,1262.0,44.0,330.0,25.0,901.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Strip District,45.0,136.0,104.0,62.0,209.0,20.0,89.0,276.0,84.0,113.0,14.0,627.0,85.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pittsburgh East (remainder),108.0,291.0,128.0,64.0,607.0,50.0,451.0,4179.0,216.0,723.0,46.0,5620.0,779.0,568.0,1146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Hays Lincoln Place,1.0,2.0,0.0,0.0,1.0,18.0,7.0,47.0,6.0,2.0,18.0,276.0,1.0,4.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Verona Oakmont Penn Hills,8.0,18.0,4.0,3.0,101.0,8.0,57.0,679.0,16.0,88.0,11.0,1506.0,131.0,38.0,138.0,0.0,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Plum Borough,0.0,1.0,0.0,0.0,4.0,0.0,1.0,46.0,1.0,2.0,0.0,169.0,4.0,2.0,4.0,0.0,33.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Monroeville Pitcairn Turtle Creek,4.0,6.0,1.0,2.0,24.0,7.0,33.0,218.0,13.0,25.0,26.0,536.0,30.0,10.0,37.0,0.0,125.0,32.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,Wilkinsburg Wilkins Braddock and vicinity,37.0,58.0,15.0,15.0,111.0,48.0,351.0,2697.0,98.0,347.0,173.0,4112.0,347.0,123.0,411.0,3.0,280.0,9.0,329.0,710.0,,,,,,,,,,,,,,,,,,,,,,,,
21,Wilmerding Wall North Versailles,3.0,4.0,0.0,1.0,5.0,2.0,15.0,168.0,5.0,9.0,18.0,423.0,12.0,8.0,17.0,0.0,26.0,1.0,118.0,143.0,45.0,,,,,,,,,,,,,,,,,,,,,,,
22,McKeesport White Oak,2.0,2.0,0.0,0.0,1.0,12.0,14.0,72.0,19.0,6.0,39.0,162.0,6.0,4.0,10.0,6.0,11.0,0.0,52.0,60.0,56.0,139.0,,,,,,,,,,,,,,,,,,,,,,
23,Lincoln Liberty Port Vue,1.0,1.0,0.0,0.0,0.0,4.0,2.0,22.0,5.0,1.0,7.0,49.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,6.0,5.0,53.0,3.0,,,,,,,,,,,,,,,,,,,,,
